"","language","numeral","morphemes","frequency"
"123","numerals-ambu1247-1","26","8",4
"124","numerals-ambu1247-1","27","7",8
"125","numerals-ambu1247-1","28","8",7
"126","numerals-ambu1247-1","29","9",7
"127","numerals-arop1243-1","16","6",15
"128","numerals-arop1243-1","18","5",117
"129","numerals-arop1243-1","26","7",15
"130","numerals-arop1243-1","27","6",64
"131","numerals-avok1242-1","8","3",13
"132","numerals-awar1248-1","3","2",6
"133","numerals-awuu1235-1","11","3",57
"134","numerals-awuu1235-1","29","5",228
"135","numerals-baka1272-1","27","8",12
"136","numerals-baka1272-1","29","8",10
"137","numerals-bamu1256-2","22","5",10
"138","numerals-bamu1256-2","24","6",6
"139","numerals-bamu1256-2","25","6",5
"140","numerals-bara1375-1","30","4",21
"141","numerals-baro1253-1","26","9",6
"142","numerals-baro1253-1","27","9",3
"143","numerals-baro1253-1","28","9",10
"144","numerals-biem1237-1","30","6",1
"145","numerals-char1269-1","23","6",6
"146","numerals-east2342-1","17","7",9
"147","numerals-east2342-1","19","7",8
"148","numerals-east2342-1","27","12",1
"149","numerals-east2342-1","29","12",2
"150","numerals-ende1246-2","18","7",5
"151","numerals-gasc1240-1","2","3",1
"152","numerals-kama1365-1","6","3",3
"153","numerals-lavu1241-1","1","2",1
"154","numerals-lewo1242-1","14","5",2
"155","numerals-manu1255-2","29","10",1
"156","numerals-meru1245-1","20","5",2
"157","numerals-mouk1239-1","4","2",6
"158","numerals-mund1320-1","10","10",1
"159","numerals-mund1320-1","11","10",1
"160","numerals-mund1320-1","12","10",1
"161","numerals-mund1320-1","13","10",1
"162","numerals-mund1320-1","14","10",1
"163","numerals-mund1320-1","15","10",1
"164","numerals-mund1320-1","16","10",1
"165","numerals-mund1320-1","17","10",2
"166","numerals-mund1320-1","18","10",1
"167","numerals-mund1320-1","19","10",1
"168","numerals-naue1237-1","17","8",1
"169","numerals-naue1237-1","18","8",4
"170","numerals-okuu1243-1","12","9",1
"171","numerals-okuu1243-1","13","9",1
"172","numerals-okuu1243-1","14","9",1
"173","numerals-okuu1243-1","15","9",1
"174","numerals-okuu1243-1","16","9",1
"175","numerals-okuu1243-1","17","9",2
"176","numerals-okuu1243-1","18","9",1
"177","numerals-okuu1243-1","19","9",2
"178","numerals-okuu1243-1","22","9",1
"179","numerals-okuu1243-1","23","9",1
"180","numerals-okuu1243-1","24","9",1
"181","numerals-okuu1243-1","25","9",2
"182","numerals-palu1252-1","25","7",2
"183","numerals-pamo1253-1","5","4",1
"184","numerals-pamo1253-1","7","6",1
"185","numerals-pamo1253-1","9","9",1
"186","numerals-pamo1253-1","10","4",1
"187","numerals-pamo1253-1","15","7",1
"188","numerals-pamo1253-1","19","14",1
"189","numerals-pamo1253-1","27","10",1
"190","numerals-pamo1253-1","29","14",1
"191","numerals-papa1265-1","6","21",1
"192","numerals-papa1265-1","7","21",1
"193","numerals-papa1265-1","8","21",1
"194","numerals-papa1265-1","9","21",1
"195","numerals-papa1265-1","11","21",1
"196","numerals-papa1265-1","12","21",1
"197","numerals-papa1265-1","13","21",1
"198","numerals-papa1265-1","14","21",1
"199","numerals-papa1265-1","15","21",1
"200","numerals-papa1265-1","16","21",1
"201","numerals-papa1265-1","17","21",1
"202","numerals-papa1265-1","18","21",1
"203","numerals-papa1265-1","19","21",1
"204","numerals-papa1265-1","21","21",1
"205","numerals-papa1265-1","22","21",1
"206","numerals-papa1265-1","23","21",1
"207","numerals-papa1265-1","24","21",1
"208","numerals-papa1265-1","25","21",1
"209","numerals-papa1265-1","26","21",1
"210","numerals-papa1265-1","27","21",1
"211","numerals-papa1265-1","28","21",1
"212","numerals-papa1265-1","29","21",1
"213","numerals-ruch1235-2","23","7",1
"214","numerals-sana1298-1","4","3",1
"215","numerals-sana1298-1","8","5",1
"216","numerals-sana1298-1","9","6",1
"217","numerals-sana1298-1","15","6",3
"218","numerals-sana1298-1","24","7",1
"219","numerals-sana1298-1","28","10",1
"220","numerals-sout2645-1","5","2",1
"221","numerals-tami1290-1","30","5",6
"222","numerals-tapi1254-1","14","6",2
"223","numerals-toto1302-2","2","2",3
"224","numerals-uppe1437-1","12","6",1
"225","numerals-uppe1437-1","13","6",1
"226","numerals-uppe1437-1","16","7",1
"227","numerals-uppe1437-1","22","6",1
"228","numerals-west2409-1","7","4",1
"229","numerals-yapu1240-1","8","4",1
