,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,
28,numerals-nali1244-1-twentyeight-1,numerals-nali1244-1,Chan2019,twentyeight,28,saŋaflu varaʔuru ma ka-vizik-tal,sangafluvaraurumakaviziktal,,FALSE,(10{RECP}⋅2){and}+{it?}[5]{go}+3,,,
29,numerals-nali1244-1-twentynine-1,numerals-nali1244-1,Chan2019,twentynine,29,saŋaflu varaʔuru ma ka-vizik-faat,sangafluvaraurumakavizikfaat,,FALSE,(10{RECP}⋅2){and}+{it?}[5]{go}+4,,,
30,numerals-nali1244-1-thirty-1,numerals-nali1244-1,Chan2019,thirty,30,saŋaflu varaorol,sangafluvaraorol,,FALSE,10{RECP}⋅3,,,
31,numerals-nali1244-1-forty-1,numerals-nali1244-1,Chan2019,forty,40,saŋaflu varalavaat,sangafluvaralavaat,,FALSE,10{RECP}⋅4,,,
32,numerals-nali1244-1-fifty-1,numerals-nali1244-1,Chan2019,fifty,50,ka zanaflu vavitmit,kazanafluvavitmit,,FALSE,{it?}10{RECP}⋅{4}5,,,{it?}10{RECP}⋅([1]−5)
33,numerals-nali1244-1-sixty-1,numerals-nali1244-1,Chan2019,sixty,60,ka zanaflu vavizikisaxei,kazanafluvavizikisaxei,,FALSE,{it?}10{RECP}⋅([5]{go}+1),,,
34,numerals-nali1244-1-seventy-1,numerals-nali1244-1,Chan2019,seventy,70,ka zanaflu vavizikuru,kazanafluvavizikuru,,FALSE,{it?}10{RECP}⋅([5]{go}+2),,,
35,numerals-nali1244-1-eighty-1,numerals-nali1244-1,Chan2019,eighty,80,ka zanaflu vaviziktal,kazanafluvaviziktal,,FALSE,{it?}10{RECP}⋅([5]{go}+3),,,
36,numerals-nali1244-1-ninety-1,numerals-nali1244-1,Chan2019,ninety,90,ka zanaflu vavikafaat,kazanafluvavikafaat,,FALSE,{it?}10{RECP}⋅([5]{go}+4),,,
37,numerals-nali1244-1-hundred-1,numerals-nali1244-1,Chan2019,hundred,100,ka zanaflu vara zuai,kazanafluvarazuai,,FALSE,{it?}10{RECP}⋅10′,,,
38,numerals-nali1244-1-twohundred-1,numerals-nali1244-1,Chan2019,twohundred,200,ka zanaflu vara zuai uru,kazanafluvarazuaiuru,,FALSE,{it?}10{RECP}⋅10′[⋅]2,,,
