ID	Language_ID	Source	Parameter_ID	NumberValue	Value	Form	Comment_contributor	Loan	Gloss	Comment_glosser	Alternate_gloss
numerals-bagi1246-1-nine-1	numerals-bagi1246-1	Chan2019	nine	9	doso	doso		FALSE	9		
numerals-bagi1246-1-ten-1	numerals-bagi1246-1	Chan2019	ten	10	dòk kemɛ́	dokkeme		FALSE	10		
numerals-bagi1246-1-eleven-1	numerals-bagi1246-1	Chan2019	eleven	11	dòk kemɛ́ kàr kɛ́ɗɛ̀	dokkemekarkede		FALSE	10+{LIG}1		
numerals-bagi1246-1-twelve-1	numerals-bagi1246-1	Chan2019	twelve	12	dòk kemɛ́ kàr sap	dokkemekarsap		FALSE	10+{LIG}2		
numerals-bagi1246-1-thirteen-1	numerals-bagi1246-1	Chan2019	thirteen	13	dòk kemɛ́ kàr mtá	dokkemekarmta		FALSE	10+{LIG}3		
numerals-bagi1246-1-fourteen-1	numerals-bagi1246-1	Chan2019	fourteen	14	dòk kemɛ́ kàr só	dokkemekarso		FALSE	10+{LIG}4		
numerals-bagi1246-1-fifteen-1	numerals-bagi1246-1	Chan2019	fifteen	15	dòk kemɛ́ kàr mí	dokkemekarmi		FALSE	10+{LIG}5		
numerals-bagi1246-1-sixteen-1	numerals-bagi1246-1	Chan2019	sixteen	16	dòk kemɛ́ kàr mìká	dokkemekarmika		FALSE	10+{LIG}5+1'		
numerals-bagi1246-1-seventeen-1	numerals-bagi1246-1	Chan2019	seventeen	17	dòk kemɛ́ kàr tʃí̄lí	dokkemekartsili		FALSE	10+{LIG}7		
numerals-bagi1246-1-eighteen-1	numerals-bagi1246-1	Chan2019	eighteen	18	dòk kemɛ́ kàr marta	dokkemekarmarta		FALSE	10+{LIG}5'+2		
numerals-bagi1246-1-nineteen-1	numerals-bagi1246-1	Chan2019	nineteen	19	dòk kemɛ́ kàr doso	dokkemekardoso		FALSE	10+{LIG}9		
numerals-bagi1246-1-twenty-1	numerals-bagi1246-1	Chan2019	twenty	20	dùɡ sap	dugsap		FALSE	10·2		
numerals-bagi1246-1-twentyone-1	numerals-bagi1246-1	Chan2019	twentyone	21	dùɡ sap kàr kɛ́ɗɛ̀	dugsapkarkede		FALSE	(10·2)+{LIG}1		
numerals-bagi1246-1-twentytwo-1	numerals-bagi1246-1	Chan2019	twentytwo	22	dùɡ sap kàr sap	dugsapkarsap		FALSE	(10·2)+{LIG}2		
numerals-bagi1246-1-twentythree-1	numerals-bagi1246-1	Chan2019	twentythree	23	dùɡ sap kàr mtá	dugsapkarmta		FALSE	(10·2)+{LIG}3		
numerals-bagi1246-1-twentyfour-1	numerals-bagi1246-1	Chan2019	twentyfour	24	dùɡ sap kàr só	dugsapkarso		FALSE	(10·2)+{LIG}4		
numerals-bagi1246-1-twentyfive-1	numerals-bagi1246-1	Chan2019	twentyfive	25	dùɡ sap kàr mí	dugsapkarmi		FALSE	(10·2)+{LIG}5		
numerals-bagi1246-1-twentysix-1	numerals-bagi1246-1	Chan2019	twentysix	26	dùɡ sap kàr mìká	dugsapkarmika		FALSE	(10·2)+{LIG}5+1'		
numerals-bagi1246-1-twentyseven-1	numerals-bagi1246-1	Chan2019	twentyseven	27	dùɡ sap kàr tʃílí	dugsapkartsili		FALSE	(10·2)+{LIG}7		
numerals-bagi1246-1-twentyeight-1	numerals-bagi1246-1	Chan2019	twentyeight	28	dùɡ sap kàr marta	dugsapkarmarta		FALSE	(10·2)+{LIG}5’+2		
numerals-bagi1246-1-twentynine-1	numerals-bagi1246-1	Chan2019	twentynine	29	dùɡ sap kàr doso	dugsapkardoso		FALSE	(10·2)+{LIG}9		
