,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,′,Comment_glosser,Alternate_gloss
54,sand-Phom-fiftyfour-1,sand-Phom,Mamta2023,fiftyfour,54,pɘɲipɘən-pɘ-əli,penipeanpeali,,,((20′⋅2)+{Lig}10)+{Lig}4,,
55,sand-Phom-fiftyfive-1,sand-Phom,Mamta2023,fiftyfive,55,pɘɲipɘən-pɘ-ŋa,penipeanpenga,,,((20′⋅2)+{Lig}10)+{Lig}5,,
56,sand-Phom-fiftysix-1,sand-Phom,Mamta2023,fiftysix,56,pɘɲipɘən-pɘ-wok,penipeanpewok,,,((20′⋅2)+{Lig}10)+{Lig}6,,
57,sand-Phom-fiftyseven-1,sand-Phom,Mamta2023,fiftyseven,57,pɘɲipɘən-pɘ-ɲət,penipeanpenat,,,((20′⋅2)+{Lig}10)+{Lig}7,,
58,sand-Phom-fiftyeight-1,sand-Phom,Mamta2023,fiftyeight,58,pɘɲipɘən-pɘ-ʃət,penipeanpesat,,,((20′⋅2)+{Lig}10)+{Lig}8,,
59,sand-Phom-fiftynine-1,sand-Phom,Mamta2023,fiftynine,59,pəɲipɘən-pɘ-ʃʉ,panipeanpesu,,,((20′⋅2)+{Lig}10)+{Lig}9,,
60,sand-Phom-sixty-1,sand-Phom,Mamta2023,sixty,60,pəʧəm,patsam,,,20′⋅3,,
61,sand-Phom-sixtyone-1,sand-Phom,Mamta2023,sixtyone,61,pɘʧəm-pɘ-hɯk,petsampehwk,,,(20′⋅3)+{Lig}1,,
62,sand-Phom-sixtytwo-1,sand-Phom,Mamta2023,sixtytwo,62,pɘʧəm-pɘ-ɲi,petsampeni,,,(20′⋅3)+{Lig}2,,
63,sand-Phom-sixtythree-1,sand-Phom,Mamta2023,sixtythree,63,pɘʧəm-pɘ-ʧəm,petsampetsam,,,(20′⋅3)+{Lig}3,,
64,sand-Phom-sixtyfour-1,sand-Phom,Mamta2023,sixtyfour,64,pɘʧəm-pɘ-əli,petsampeali,,,(20′⋅3)+{Lig}4,,
65,sand-Phom-sixtyfive-1,sand-Phom,Mamta2023,sixtyfive,65,pɘʧəm-pɘ-ŋa,petsampenga,,,(20′⋅3)+{Lig}5,,
66,sand-Phom-sixtysix-1,sand-Phom,Mamta2023,sixtysix,66,pɘʧəm-pɘ-wok,petsampewok,,,(20′⋅3)+{Lig}6,,
67,sand-Phom-sixtyseven-1,sand-Phom,Mamta2023,sixtyseven,67,pɘʧəm-pɘ-ɲət,petsampenat,,,(20′⋅3)+{Lig}7,,
68,sand-Phom-sixtyeight-1,sand-Phom,Mamta2023,sixtyeight,68,pɘʧəm-pɘ-ʃət,petsampesat,,,(20′⋅3)+{Lig}8,,
69,sand-Phom-sixtynine-1,sand-Phom,Mamta2023,sixtynine,69,pɘʧəm-pɘ-ʃʉ,petsampesu,,,(20′⋅3)+{Lig}9,,
70,sand-Phom-seventy-1,sand-Phom,Mamta2023,seventy,70,pɘʧəmpɘən,petsampean,,,(20′⋅3)+{Lig}10,,
71,sand-Phom-seventyone-1,sand-Phom,Mamta2023,seventyone,71,pɘʧəmpɘən-pɘ-hɯk,petsampeanpehwk,,,((20′⋅3)+{Lig}10)+{Lig}1,,
72,sand-Phom-seventytwo-1,sand-Phom,Mamta2023,seventytwo,72,pɘʧəmpɘən-pɘ-ɲi,petsampeanpeni,,,((20′⋅3)+{Lig}10)+{Lig}2,,
73,sand-Phom-seventythree-1,sand-Phom,Mamta2023,seventythree,73,pɘʧəmpɘən-pɘ-ʧəm,petsampeanpetsam,,,((20′⋅3)+{Lig}10)+{Lig}3,,
74,sand-Phom-seventyfour-1,sand-Phom,Mamta2023,seventyfour,74,pɘʧəmpɘən-pɘ-əli,petsampeanpeali,,,((20′⋅3)+{Lig}10)+{Lig}4,,
75,sand-Phom-seventyfive-1,sand-Phom,Mamta2023,seventyfive,75,pəʧəmpɘən-pɘ-ŋa,patsampeanpenga,,,((20′⋅3)+{Lig}10)+{Lig}5,,
76,sand-Phom-seventysix-1,sand-Phom,Mamta2023,seventysix,76,pɘʧəmpɘən-pɘ-wok,petsampeanpewok,,,((20′⋅3)+{Lig}10)+{Lig}6,,
77,sand-Phom-seventyseven-1,sand-Phom,Mamta2023,seventyseven,77,pɘʧəmpɘən-pɘ-ɲət,petsampeanpenat,,,((20′⋅3)+{Lig}10)+{Lig}7,,
78,sand-Phom-seventyeight-1,sand-Phom,Mamta2023,seventyeight,78,pɘʧəmpɘən-pɘ-ʃət,petsampeanpesat,,,((20′⋅3)+{Lig}10)+{Lig}8,,
79,sand-Phom-seventynine-1,sand-Phom,Mamta2023,seventynine,79,pɘʧəmpɘən-pɘ-ʃʉ,petsampeanpesu,,,((20′⋅3)+{Lig}10)+{Lig}9,,
80,sand-Phom-eighty-1,sand-Phom,Mamta2023,eighty,80,pʉəli,puali,,,20′⋅4,,
81,sand-Phom-eightyone-1,sand-Phom,Mamta2023,eightyone,81,pʉəli-pɘ-hɯk,pualipehwk,,,(20′⋅4)+{Lig}1,,
82,sand-Phom-eightytwo-1,sand-Phom,Mamta2023,eightytwo,82,pʉəli-pɘ-ɲi,pualipeni,,,(20′⋅4)+{Lig}2,,
83,sand-Phom-eightythree-1,sand-Phom,Mamta2023,eightythree,83,pʉəli-pɘ-ʧəm,pualipetsam,,,(20′⋅4)+{Lig}3,,
84,sand-Phom-eightyfour-1,sand-Phom,Mamta2023,eightyfour,84,pʉəli-pɘ-əli,pualipeali,,,(20′⋅4)+{Lig}4,,
85,sand-Phom-eightyfive-1,sand-Phom,Mamta2023,eightyfive,85,pʉəli-pɘ-ŋa,pualipenga,,,(20′⋅4)+{Lig}5,,
86,sand-Phom-eightysix-1,sand-Phom,Mamta2023,eightysix,86,pʉəli-pɘ-wok,pualipewok,,,(20′⋅4)+{Lig}6,,
87,sand-Phom-eightyseven-1,sand-Phom,Mamta2023,eightyseven,87,pʉəli-pɘ-ɲət,pualipenat,,,(20′⋅4)+{Lig}7,,
88,sand-Phom-eightyeight-1,sand-Phom,Mamta2023,eightyeight,88,pʉəli-pɘ-ʃət,pualipesat,,,(20′⋅4)+{Lig}8,,
89,sand-Phom-eightynine-1,sand-Phom,Mamta2023,eightynine,89,pʉəli-pɘ-ʃʉ,pualipesu,,,(20′⋅4)+{Lig}9,,
90,sand-Phom-ninety-1,sand-Phom,Mamta2023,ninety,90,pʉəlipɘən,pualipean,,,(20′⋅4)+{Lig}10,,
91,sand-Phom-ninetyone-1,sand-Phom,Mamta2023,ninetyone,91,pʉəlipɘən-pɘ-hɯk,pualipeanpehwk,,,((20′⋅4)+{Lig}10)+{Lig}1,,
92,sand-Phom-ninetytwo-1,sand-Phom,Mamta2023,ninetytwo,92,pʉəlipɘən-pɘ-ɲi,pualipeanpeni,,,((20′⋅4)+{Lig}10)+{Lig}2,,
93,sand-Phom-ninetythree-1,sand-Phom,Mamta2023,ninetythree,93,pʉəlipɘən-pɘ-ʧəm,pualipeanpetsam,,,((20′⋅4)+{Lig}10)+{Lig}3,,
94,sand-Phom-ninetyfour-1,sand-Phom,Mamta2023,ninetyfour,94,pʉəlipɘən-pɘ-əli,pualipeanpeali,,,((20′⋅4)+{Lig}10)+{Lig}4,,
95,sand-Phom-ninetyfive-1,sand-Phom,Mamta2023,ninetyfive,95,pʉəlipɘən-pɘ-ŋa,pualipeanpenga,,,((20′⋅4)+{Lig}10)+{Lig}5,,
