"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work","Gloss.math.with.ones"
"60",5,"numerals-chew1245-1-five-1","numerals-chew1245-1","Chan2019","five",5,"limãʔ","lima",NA,"FALSE","5","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","5","5","5",1,5,TRUE,"5"
"61",6,"numerals-chew1245-1-six-1","numerals-chew1245-1","Chan2019","six",6,"ʔənãm","anam",NA,"FALSE","6","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6","6","6",1,6,TRUE,"6"
"62",7,"numerals-chew1245-1-seven-1","numerals-chew1245-1","Chan2019","seven",7,"tud͡ʒoh","tudzoh",NA,"FALSE","7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"63",8,"numerals-chew1245-1-seven-2","numerals-chew1245-1","Chan2019","seven",7,"tuɟoh","tujoh",NA,"FALSE","7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7","7","7",1,7,TRUE,"7"
"64",9,"numerals-chew1245-1-eight-1","numerals-chew1245-1","Chan2019","eight",8,"lapan","lapan",NA,"FALSE","8","borrowed from Malay (Austronesian); historically subtractive",NA,"RE-GLOSSED","8","8","8",1,8,TRUE,"8"
"65",10,"numerals-chew1245-1-nine-1","numerals-chew1245-1","Chan2019","nine",9,"səmilan","samilan",NA,"FALSE","9","borrowed from Malay (Austronesian); historically subtractive",NA,"RE-GLOSSED","9","9","9",1,9,TRUE,"9"
"66",11,"numerals-chew1245-1-ten-1","numerals-chew1245-1","Chan2019","ten",10,"səpuluh","sapuluh",NA,"FALSE","1′[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[⋅]10","10","abs(1*10)",1,10,TRUE,"10"
"67",12,"numerals-chew1245-1-eleven-1","numerals-chew1245-1","Chan2019","eleven",11,"sabəlas","sabalas",NA,"FALSE","1′[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[+]10′","1+10","1+10",1,11,TRUE,"1+10"
"68",13,"numerals-chew1245-1-twelve-1","numerals-chew1245-1","Chan2019","twelve",12,"duwə bəlas","duwabalas",NA,"FALSE","2′[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[+]10′","2+10","2+10",1,12,TRUE,"2+10"
"69",14,"numerals-chew1245-1-thirteen-1","numerals-chew1245-1","Chan2019","thirteen",13,"tigə bəlas","tigabalas",NA,"FALSE","3′[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","3′[+]10′","3+10","3+10",1,13,TRUE,"3+10"
"70",15,"numerals-chew1245-1-fourteen-1","numerals-chew1245-1","Chan2019","fourteen",14,"əmpat bəlas","ampatbalas",NA,"FALSE","4′[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","4′[+]10′","4+10","4+10",1,14,TRUE,"4+10"
"71",16,"numerals-chew1245-1-fifteen-1","numerals-chew1245-1","Chan2019","fifteen",15,"limã bəlas","limabalas",NA,"FALSE","5[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","5[+]10′","5+10","5+10",1,15,TRUE,"5+10"
"72",17,"numerals-chew1245-1-sixteen-1","numerals-chew1245-1","Chan2019","sixteen",16,"ənãm bəlas","anambalas",NA,"FALSE","6[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6[+]10′","6+10","6+10",1,16,TRUE,"6+10"
"73",18,"numerals-chew1245-1-seventeen-1","numerals-chew1245-1","Chan2019","seventeen",17,"tud͡ʒoh bəlas","tudzohbalas",NA,"FALSE","7[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7[+]10′","7+10","7+10",1,17,TRUE,"7+10"
"74",19,"numerals-chew1245-1-eighteen-1","numerals-chew1245-1","Chan2019","eighteen",18,"lapan bəlas","lapanbalas",NA,"FALSE","8[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","8[+]10′","8+10","8+10",1,18,TRUE,"8+10"
"75",20,"numerals-chew1245-1-nineteen-1","numerals-chew1245-1","Chan2019","nineteen",19,"səmilan bəlas","samilanbalas",NA,"FALSE","9[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","9[+]10′","9+10","9+10",1,19,TRUE,"9+10"
"76",21,"numerals-chew1245-1-twenty-1","numerals-chew1245-1","Chan2019","twenty",20,"duwə puloh","duwapuloh",NA,"FALSE","2′[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[⋅]10","2⋅10","abs(2*10)",1,20,TRUE,"2⋅10"
"77",22,"numerals-chew1245-1-twentyone-1","numerals-chew1245-1","Chan2019","twentyone",21,"duwə puloh satu","duwapulohsatu",NA,"FALSE","(2′[⋅]10)[+]1′{?}","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]1′","2⋅10+1","abs(abs(2*10))+1",1,21,TRUE,"(2⋅10)+1"
"78",23,"numerals-chew1245-1-twentytwo-1","numerals-chew1245-1","Chan2019","twentytwo",22,"duwə puloh duwə","duwapulohduwa",NA,"FALSE","(2′[⋅]10)[+]2′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]2′","2⋅10+2","abs(abs(2*10))+2",1,22,TRUE,"(2⋅10)+2"
"79",24,"numerals-chew1245-1-twentythree-1","numerals-chew1245-1","Chan2019","twentythree",23,"duwə puloh tigə","duwapulohtiga",NA,"FALSE","(2′[⋅]10)[+]3′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]3′","2⋅10+3","abs(abs(2*10))+3",1,23,TRUE,"(2⋅10)+3"
"80",25,"numerals-chew1245-1-twentyfour-1","numerals-chew1245-1","Chan2019","twentyfour",24,"duwə puloh əmpat","duwapulohampat",NA,"FALSE","(2′[⋅]10)[+]4′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]4′","2⋅10+4","abs(abs(2*10))+4",1,24,TRUE,"(2⋅10)+4"
"81",26,"numerals-chew1245-1-twentyfive-1","numerals-chew1245-1","Chan2019","twentyfive",25,"duwə puloh limãʔ","duwapulohlima",NA,"FALSE","(2′[⋅]10)[+]5","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]5","2⋅10+5","abs(abs(2*10))+5",1,25,TRUE,"(2⋅10)+5"
"82",27,"numerals-chew1245-1-twentysix-1","numerals-chew1245-1","Chan2019","twentysix",26,"duwə puloh ʔənãm","duwapulohanam",NA,"FALSE","(2′[⋅]10)[+]6","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]6","2⋅10+6","abs(abs(2*10))+6",1,26,TRUE,"(2⋅10)+6"
"83",28,"numerals-chew1245-1-twentyseven-1","numerals-chew1245-1","Chan2019","twentyseven",27,"duwə puloh tud͡ʒoh","duwapulohtudzoh",NA,"FALSE","(2′[⋅]10)[+]7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]7","2⋅10+7","abs(abs(2*10))+7",1,27,TRUE,"(2⋅10)+7"
"84",29,"numerals-chew1245-1-twentyeight-1","numerals-chew1245-1","Chan2019","twentyeight",28,"duwə puloh lapan","duwapulohlapan",NA,"FALSE","(2′[⋅]10)[+]8","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]8","2⋅10+8","abs(abs(2*10))+8",1,28,TRUE,"(2⋅10)+8"
"85",30,"numerals-chew1245-1-twentynine-1","numerals-chew1245-1","Chan2019","twentynine",29,"duwə puloh səmilan","duwapulohsamilan",NA,"FALSE","(2′[⋅]10)[+]9","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]9","2⋅10+9","abs(abs(2*10))+9",1,29,TRUE,"(2⋅10)+9"
"86",31,"numerals-chew1245-1-thirty-1","numerals-chew1245-1","Chan2019","thirty",30,"tigə puloh","tigapuloh",NA,"FALSE","3′[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","3′[⋅]10","3⋅10","abs(3*10)",1,30,TRUE,"3⋅10"
"87",32,"numerals-chew1245-1-forty-1","numerals-chew1245-1","Chan2019","forty",40,"əmpat puloh","ampatpuloh",NA,"FALSE","4′[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","4′[⋅]10","4⋅10","abs(4*10)",1,40,TRUE,"4⋅10"
"88",33,"numerals-chew1245-1-fifty-1","numerals-chew1245-1","Chan2019","fifty",50,"limã puloh","limapuloh",NA,"FALSE","5[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","5[⋅]10","5⋅10","abs(5*10)",1,50,TRUE,"5⋅10"
"89",34,"numerals-chew1245-1-sixty-1","numerals-chew1245-1","Chan2019","sixty",60,"ʔənãm puloh","anampuloh",NA,"FALSE","6[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6[⋅]10","6⋅10","abs(6*10)",1,60,TRUE,"6⋅10"
"90",35,"numerals-chew1245-1-seventy-1","numerals-chew1245-1","Chan2019","seventy",70,"tud͡ʒoh puloh","tudzohpuloh",NA,"FALSE","7[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7[⋅]10","7⋅10","abs(7*10)",1,70,TRUE,"7⋅10"
"91",36,"numerals-chew1245-1-eighty-1","numerals-chew1245-1","Chan2019","eighty",80,"lapan puloh","lapanpuloh",NA,"FALSE","8[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","8[⋅]10","8⋅10","abs(8*10)",1,80,TRUE,"8⋅10"
"92",37,"numerals-chew1245-1-ninety-1","numerals-chew1245-1","Chan2019","ninety",90,"səmilan puloh","samilanpuloh",NA,"FALSE","9[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","9[⋅]10","9⋅10","abs(9*10)",1,90,TRUE,"9⋅10"
"93",38,"numerals-chew1245-1-hundred-1","numerals-chew1245-1","Chan2019","hundred",100,"satu ratos","saturatos",NA,"FALSE","1′{?}[⋅]100","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[⋅]100","100","abs(1*100)",1,100,TRUE,"100"
"94",39,"numerals-chew1245-1-twohundred-1","numerals-chew1245-1","Chan2019","twohundred",200,"duwə ratos","duwaratos",NA,"FALSE","2′[⋅]100","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[⋅]100","2⋅100","abs(2*100)",1,200,TRUE,"2⋅100"
"95",40,"numerals-chew1245-1-thousand-1","numerals-chew1245-1","Chan2019","thousand",1000,"satu ribu","saturibu",NA,"FALSE","1′{?}[⋅]1000","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[⋅]1000","1000","abs(1*1000)",1,1000,TRUE,"1000"
"96",41,"numerals-chew1245-1-twothousand-1","numerals-chew1245-1","Chan2019","twothousand",2000,"duwə ribu","duwaribu",NA,"FALSE","2′[⋅]1000","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[⋅]1000","2⋅1000","abs(2*1000)",1,2000,TRUE,"2⋅1000"
"97",1,"numerals-kens1248-1-one-1","numerals-kens1248-1","Chan2019","one",1,"nay","nay",NA,"false","1","",NA,"RE-GLOSSED","1","1","1",1,1,TRUE,"1"
