"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc"
"11",11,"numerals-jahh1242-1-eight-1","numerals-jahh1242-1","Chan2019","eight",8,"dəlapan","dalapan","","true","8","borrowed from Malay (Austronesian); involves subtraction historically",NA,"RE-GLOSSED","8","8","8"
"12",12,"numerals-jahh1242-1-eight-2","numerals-jahh1242-1","Chan2019","eight",8,"lapan","lapan","","true","8","borrowed from Malay (Austronesian); involves subtraction historically",NA,"RE-GLOSSED","8","8","8"
"13",13,"numerals-jahh1242-1-nine-1","numerals-jahh1242-1","Chan2019","nine",9,"səmbilan","sambilan","","true","9","borrowed from Malay (Austronesian); involves subtraction historically",NA,"RE-GLOSSED","9","9","9"
"14",14,"numerals-jahh1242-1-nine-2","numerals-jahh1242-1","Chan2019","nine",9,"səmilan","samilan","","true","9","borrowed from Malay (Austronesian); involves subtraction historically",NA,"RE-GLOSSED","9","9","9"
"15",15,"numerals-jahh1242-1-ten-1","numerals-jahh1242-1","Chan2019","ten",10,"səpuluh","sapuluh","","true","1′[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[⋅]10","1⋅10","abs(1*10)"
"16",16,"numerals-jahh1242-1-eleven-1","numerals-jahh1242-1","Chan2019","eleven",11,"sabəlas","sabalas","","true","1′[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[+]10′","1+10","1+10"
"17",17,"numerals-jahh1242-1-twelve-1","numerals-jahh1242-1","Chan2019","twelve",12,"dua bəlas","duabalas","","true","2′[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[+]10′","2+10","2+10"
"18",18,"numerals-jahh1242-1-thirteen-1","numerals-jahh1242-1","Chan2019","thirteen",13,"tiga bəlas","tigabalas","","true","3[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","3[+]10′","3+10","3+10"
"19",19,"numerals-jahh1242-1-fourteen-1","numerals-jahh1242-1","Chan2019","fourteen",14,"əmpat bəlas","ampatbalas","","true","4[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","4[+]10′","4+10","4+10"
"20",20,"numerals-jahh1242-1-fifteen-1","numerals-jahh1242-1","Chan2019","fifteen",15,"lima bəlas","limabalas","","true","5[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","5[+]10′","5+10","5+10"
"21",21,"numerals-jahh1242-1-sixteen-1","numerals-jahh1242-1","Chan2019","sixteen",16,"ənam bəlas","anambalas","","true","6[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6[+]10′","6+10","6+10"
"22",22,"numerals-jahh1242-1-sixteen-2","numerals-jahh1242-1","Chan2019","sixteen",16,"nam bəlas","nambalas","","true","6[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6[+]10′","6+10","6+10"
"23",23,"numerals-jahh1242-1-seventeen-1","numerals-jahh1242-1","Chan2019","seventeen",17,"tud͡ʒoh","tudzoh","","true","7[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7[+]10′","7+10","7+10"
"24",24,"numerals-jahh1242-1-seventeen-2","numerals-jahh1242-1","Chan2019","seventeen",17,"tuɟoh bəlas","tujohbalas","","true","7[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7[+]10′","7+10","7+10"
"25",25,"numerals-jahh1242-1-eighteen-1","numerals-jahh1242-1","Chan2019","eighteen",18,"dəlapan","dalapan","","true","8[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","8[+]10′","8+10","8+10"
"26",26,"numerals-jahh1242-1-eighteen-2","numerals-jahh1242-1","Chan2019","eighteen",18,"lapan bəlas","lapanbalas","","true","8[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","8[+]10′","8+10","8+10"
"27",27,"numerals-jahh1242-1-nineteen-1","numerals-jahh1242-1","Chan2019","nineteen",19,"səmbilan bəlas","sambilanbalas","","true","9[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","9[+]10′","9+10","9+10"
"28",28,"numerals-jahh1242-1-nineteen-2","numerals-jahh1242-1","Chan2019","nineteen",19,"səmilan bəlas","samilanbalas","","true","9[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","9[+]10′","9+10","9+10"
"29",29,"numerals-jahh1242-1-twenty-1","numerals-jahh1242-1","Chan2019","twenty",20,"dua puluh","duapuluh","","true","2′[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[⋅]10","2⋅10","abs(2*10)"
"30",30,"numerals-jahh1242-1-twentyone-1","numerals-jahh1242-1","Chan2019","twentyone",21,"dua puluh satu","duapuluhsatu","","true","(2′[⋅]10)[+]1′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]1′","(2⋅10)+1","abs(abs(2*10))+1"
"31",31,"numerals-jahh1242-1-twentytwo-1","numerals-jahh1242-1","Chan2019","twentytwo",22,"dua puluh dua","duapuluhdua","","true","(2′[⋅]10)[+]2′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]2′","(2⋅10)+2","abs(abs(2*10))+2"
"32",32,"numerals-jahh1242-1-twentythree-1","numerals-jahh1242-1","Chan2019","twentythree",23,"dua puluh tiga","duapuluhtiga","","true","(2′[⋅]10)[+]3","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]3","(2⋅10)+3","abs(abs(2*10))+3"
"33",33,"numerals-jahh1242-1-twentyfour-1","numerals-jahh1242-1","Chan2019","twentyfour",24,"dua puluh əmpat","duapuluhampat","","true","(2′[⋅]10)[+]4","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]4","(2⋅10)+4","abs(abs(2*10))+4"
"34",34,"numerals-jahh1242-1-twentyfive-1","numerals-jahh1242-1","Chan2019","twentyfive",25,"dua puluh lima","duapuluhlima","","true","(2′[⋅]10)[+]5","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]5","(2⋅10)+5","abs(abs(2*10))+5"
"35",35,"numerals-jahh1242-1-twentysix-1","numerals-jahh1242-1","Chan2019","twentysix",26,"dua puluh ənam","duapuluhanam","","true","(2′[⋅]10)[+]6","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]6","(2⋅10)+6","abs(abs(2*10))+6"
"36",36,"numerals-jahh1242-1-twentysix-2","numerals-jahh1242-1","Chan2019","twentysix",26,"dua puluh nam","duapuluhnam","","true","(2′[⋅]10)[+]6","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]6","(2⋅10)+6","abs(abs(2*10))+6"
"37",37,"numerals-jahh1242-1-twentyseven-1","numerals-jahh1242-1","Chan2019","twentyseven",27,"dua puluh tud͡ʒoh","duapuluhtudzoh","","true","(2′[⋅]10)[+]7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]7","(2⋅10)+7","abs(abs(2*10))+7"
"38",38,"numerals-jahh1242-1-twentyseven-2","numerals-jahh1242-1","Chan2019","twentyseven",27,"dua puluh tuɟoh","duapuluhtujoh","","true","(2′[⋅]10)[+]7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]7","(2⋅10)+7","abs(abs(2*10))+7"
"39",39,"numerals-jahh1242-1-twentyeight-1","numerals-jahh1242-1","Chan2019","twentyeight",28,"dua puluh dəlapan","duapuluhdalapan","","true","(2′[⋅]10)[+]8","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]8","(2⋅10)+8","abs(abs(2*10))+8"
"40",40,"numerals-jahh1242-1-twentyeight-2","numerals-jahh1242-1","Chan2019","twentyeight",28,"dua puluh lapan","duapuluhlapan","","true","(2′[⋅]10)[+]8","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]8","(2⋅10)+8","abs(abs(2*10))+8"
"41",41,"numerals-jahh1242-1-twentynine-1","numerals-jahh1242-1","Chan2019","twentynine",29,"dua puluh","duapuluh","","true","?","borrowed from Malay (Austronesian); 9 seems to be missing, there is only (2′[⋅]10).",NA,"RE-GLOSSED","?","?",NA
"42",42,"numerals-jahh1242-1-thirty-1","numerals-jahh1242-1","Chan2019","thirty",30,"tiga puluh","tigapuluh","","true","3[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","3[⋅]10","3⋅10","abs(3*10)"
"43",43,"numerals-jahh1242-1-forty-1","numerals-jahh1242-1","Chan2019","forty",40,"əmpat puluh","ampatpuluh","","true","4[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","4[⋅]10","4⋅10","abs(4*10)"
"44",44,"numerals-jahh1242-1-fifty-1","numerals-jahh1242-1","Chan2019","fifty",50,"lima puluh","limapuluh","","true","5[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","5[⋅]10","5⋅10","abs(5*10)"
"45",45,"numerals-jahh1242-1-sixty-1","numerals-jahh1242-1","Chan2019","sixty",60,"ənam puluh","anampuluh","","true","6[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6[⋅]10","6⋅10","abs(6*10)"
"46",46,"numerals-jahh1242-1-sixty-2","numerals-jahh1242-1","Chan2019","sixty",60,"nam puluh","nampuluh","","true","6[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6[⋅]10","6⋅10","abs(6*10)"
"47",47,"numerals-jahh1242-1-seventy-1","numerals-jahh1242-1","Chan2019","seventy",70,"tud͡ʒoh puluh","tudzohpuluh","","true","7[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7[⋅]10","7⋅10","abs(7*10)"
"48",48,"numerals-jahh1242-1-seventy-2","numerals-jahh1242-1","Chan2019","seventy",70,"tuɟoh puluh","tujohpuluh","","true","7[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7[⋅]10","7⋅10","abs(7*10)"
"49",49,"numerals-jahh1242-1-eighty-1","numerals-jahh1242-1","Chan2019","eighty",80,"dəlapan puluh","dalapanpuluh","","true","8[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","8[⋅]10","8⋅10","abs(8*10)"
"50",50,"numerals-jahh1242-1-eighty-2","numerals-jahh1242-1","Chan2019","eighty",80,"lapan puluh","lapanpuluh","","true","8[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","8[⋅]10","8⋅10","abs(8*10)"
"51",51,"numerals-jahh1242-1-ninety-1","numerals-jahh1242-1","Chan2019","ninety",90,"səmbilan puluh","sambilanpuluh","","true","9[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","9[⋅]10","9⋅10","abs(9*10)"
"52",52,"numerals-jahh1242-1-ninety-2","numerals-jahh1242-1","Chan2019","ninety",90,"səmilan puluh","samilanpuluh","","true","9[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","9[⋅]10","9⋅10","abs(9*10)"
"53",53,"numerals-jahh1242-1-hundred-1","numerals-jahh1242-1","Chan2019","hundred",100,"saratus","saratus","","true","1′[⋅]100","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[⋅]100","1⋅100","abs(1*100)"
"54",54,"numerals-jahh1242-1-twohundred-1","numerals-jahh1242-1","Chan2019","twohundred",200,"dua ratus","duaratus","","true","2′[⋅]100","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[⋅]100","2⋅100","abs(2*100)"
"55",55,"numerals-jahh1242-1-thousand-1","numerals-jahh1242-1","Chan2019","thousand",1000,"saribu","saribu","","true","1′[⋅]1000","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[⋅]1000","1⋅1000","abs(1*1000)"
"56",56,"numerals-jahh1242-1-twothousand-1","numerals-jahh1242-1","Chan2019","twothousand",2000,"dua ribu","duaribu","","true","2′[⋅]1000","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[⋅]1000","2⋅1000","abs(2*1000)"
"57",1,"numerals-chew1245-1-one-1","numerals-chew1245-1","Chan2019","one",1,"nãy","nay",NA,"FALSE","1","",NA,"RE-GLOSSED","1","1","1"
"58",2,"numerals-chew1245-1-two-1","numerals-chew1245-1","Chan2019","two",2,"ber","ber",NA,"FALSE","2","",NA,"RE-GLOSSED","2","2","2"
"59",3,"numerals-chew1245-1-three-1","numerals-chew1245-1","Chan2019","three",3,"pɛd","ped",NA,"FALSE","3","",NA,"RE-GLOSSED","3","3","3"
"60",4,"numerals-chew1245-1-four-1","numerals-chew1245-1","Chan2019","four",4,"pan","pan",NA,"FALSE","4","",NA,"RE-GLOSSED","4","4","4"
"61",5,"numerals-chew1245-1-five-1","numerals-chew1245-1","Chan2019","five",5,"limãʔ","lima",NA,"FALSE","5","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","5","5","5"
"62",6,"numerals-chew1245-1-six-1","numerals-chew1245-1","Chan2019","six",6,"ʔənãm","anam",NA,"FALSE","6","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6","6","6"
"63",7,"numerals-chew1245-1-seven-1","numerals-chew1245-1","Chan2019","seven",7,"tud͡ʒoh","tudzoh",NA,"FALSE","7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7","7","7"
"64",8,"numerals-chew1245-1-seven-2","numerals-chew1245-1","Chan2019","seven",7,"tuɟoh","tujoh",NA,"FALSE","7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7","7","7"
"65",9,"numerals-chew1245-1-eight-1","numerals-chew1245-1","Chan2019","eight",8,"lapan","lapan",NA,"FALSE","8","borrowed from Malay (Austronesian); historically subtractive",NA,"RE-GLOSSED","8","8","8"
"66",10,"numerals-chew1245-1-nine-1","numerals-chew1245-1","Chan2019","nine",9,"səmilan","samilan",NA,"FALSE","9","borrowed from Malay (Austronesian); historically subtractive",NA,"RE-GLOSSED","9","9","9"
"67",11,"numerals-chew1245-1-ten-1","numerals-chew1245-1","Chan2019","ten",10,"səpuluh","sapuluh",NA,"FALSE","1′[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[⋅]10","1⋅10","abs(1*10)"
"68",12,"numerals-chew1245-1-eleven-1","numerals-chew1245-1","Chan2019","eleven",11,"sabəlas","sabalas",NA,"FALSE","1′[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[+]10′","1+10","1+10"
"69",13,"numerals-chew1245-1-twelve-1","numerals-chew1245-1","Chan2019","twelve",12,"duwə bəlas","duwabalas",NA,"FALSE","2′[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[+]10′","2+10","2+10"
"70",14,"numerals-chew1245-1-thirteen-1","numerals-chew1245-1","Chan2019","thirteen",13,"tigə bəlas","tigabalas",NA,"FALSE","3′[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","3′[+]10′","3+10","3+10"
"71",15,"numerals-chew1245-1-fourteen-1","numerals-chew1245-1","Chan2019","fourteen",14,"əmpat bəlas","ampatbalas",NA,"FALSE","4′[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","4′[+]10′","4+10","4+10"
"72",16,"numerals-chew1245-1-fifteen-1","numerals-chew1245-1","Chan2019","fifteen",15,"limã bəlas","limabalas",NA,"FALSE","5[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","5[+]10′","5+10","5+10"
"73",17,"numerals-chew1245-1-sixteen-1","numerals-chew1245-1","Chan2019","sixteen",16,"ənãm bəlas","anambalas",NA,"FALSE","6[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6[+]10′","6+10","6+10"
"74",18,"numerals-chew1245-1-seventeen-1","numerals-chew1245-1","Chan2019","seventeen",17,"tud͡ʒoh bəlas","tudzohbalas",NA,"FALSE","7[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7[+]10′","7+10","7+10"
"75",19,"numerals-chew1245-1-eighteen-1","numerals-chew1245-1","Chan2019","eighteen",18,"lapan bəlas","lapanbalas",NA,"FALSE","8[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","8[+]10′","8+10","8+10"
"76",20,"numerals-chew1245-1-nineteen-1","numerals-chew1245-1","Chan2019","nineteen",19,"səmilan bəlas","samilanbalas",NA,"FALSE","9[+]10′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","9[+]10′","9+10","9+10"
"77",21,"numerals-chew1245-1-twenty-1","numerals-chew1245-1","Chan2019","twenty",20,"duwə puloh","duwapuloh",NA,"FALSE","2′[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[⋅]10","2⋅10","abs(2*10)"
"78",22,"numerals-chew1245-1-twentyone-1","numerals-chew1245-1","Chan2019","twentyone",21,"duwə puloh satu","duwapulohsatu",NA,"FALSE","(2′[⋅]10)[+]1′{?}","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]1′","(2⋅10)+1","abs(abs(2*10))+1"
"79",23,"numerals-chew1245-1-twentytwo-1","numerals-chew1245-1","Chan2019","twentytwo",22,"duwə puloh duwə","duwapulohduwa",NA,"FALSE","(2′[⋅]10)[+]2′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]2′","(2⋅10)+2","abs(abs(2*10))+2"
"80",24,"numerals-chew1245-1-twentythree-1","numerals-chew1245-1","Chan2019","twentythree",23,"duwə puloh tigə","duwapulohtiga",NA,"FALSE","(2′[⋅]10)[+]3′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]3′","(2⋅10)+3","abs(abs(2*10))+3"
"81",25,"numerals-chew1245-1-twentyfour-1","numerals-chew1245-1","Chan2019","twentyfour",24,"duwə puloh əmpat","duwapulohampat",NA,"FALSE","(2′[⋅]10)[+]4′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]4′","(2⋅10)+4","abs(abs(2*10))+4"
"82",26,"numerals-chew1245-1-twentyfive-1","numerals-chew1245-1","Chan2019","twentyfive",25,"duwə puloh limãʔ","duwapulohlima",NA,"FALSE","(2′[⋅]10)[+]5","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]5","(2⋅10)+5","abs(abs(2*10))+5"
"83",27,"numerals-chew1245-1-twentysix-1","numerals-chew1245-1","Chan2019","twentysix",26,"duwə puloh ʔənãm","duwapulohanam",NA,"FALSE","(2′[⋅]10)[+]6","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]6","(2⋅10)+6","abs(abs(2*10))+6"
"84",28,"numerals-chew1245-1-twentyseven-1","numerals-chew1245-1","Chan2019","twentyseven",27,"duwə puloh tud͡ʒoh","duwapulohtudzoh",NA,"FALSE","(2′[⋅]10)[+]7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]7","(2⋅10)+7","abs(abs(2*10))+7"
"85",29,"numerals-chew1245-1-twentyeight-1","numerals-chew1245-1","Chan2019","twentyeight",28,"duwə puloh lapan","duwapulohlapan",NA,"FALSE","(2′[⋅]10)[+]8","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]8","(2⋅10)+8","abs(abs(2*10))+8"
"86",30,"numerals-chew1245-1-twentynine-1","numerals-chew1245-1","Chan2019","twentynine",29,"duwə puloh səmilan","duwapulohsamilan",NA,"FALSE","(2′[⋅]10)[+]9","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","(2′[⋅]10)[+]9","(2⋅10)+9","abs(abs(2*10))+9"
"87",31,"numerals-chew1245-1-thirty-1","numerals-chew1245-1","Chan2019","thirty",30,"tigə puloh","tigapuloh",NA,"FALSE","3′[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","3′[⋅]10","3⋅10","abs(3*10)"
"88",32,"numerals-chew1245-1-forty-1","numerals-chew1245-1","Chan2019","forty",40,"əmpat puloh","ampatpuloh",NA,"FALSE","4′[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","4′[⋅]10","4⋅10","abs(4*10)"
"89",33,"numerals-chew1245-1-fifty-1","numerals-chew1245-1","Chan2019","fifty",50,"limã puloh","limapuloh",NA,"FALSE","5[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","5[⋅]10","5⋅10","abs(5*10)"
"90",34,"numerals-chew1245-1-sixty-1","numerals-chew1245-1","Chan2019","sixty",60,"ʔənãm puloh","anampuloh",NA,"FALSE","6[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6[⋅]10","6⋅10","abs(6*10)"
"91",35,"numerals-chew1245-1-seventy-1","numerals-chew1245-1","Chan2019","seventy",70,"tud͡ʒoh puloh","tudzohpuloh",NA,"FALSE","7[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7[⋅]10","7⋅10","abs(7*10)"
"92",36,"numerals-chew1245-1-eighty-1","numerals-chew1245-1","Chan2019","eighty",80,"lapan puloh","lapanpuloh",NA,"FALSE","8[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","8[⋅]10","8⋅10","abs(8*10)"
"93",37,"numerals-chew1245-1-ninety-1","numerals-chew1245-1","Chan2019","ninety",90,"səmilan puloh","samilanpuloh",NA,"FALSE","9[⋅]10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","9[⋅]10","9⋅10","abs(9*10)"
"94",38,"numerals-chew1245-1-hundred-1","numerals-chew1245-1","Chan2019","hundred",100,"satu ratos","saturatos",NA,"FALSE","1′{?}[⋅]100","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[⋅]100","1⋅100","abs(1*100)"
"95",39,"numerals-chew1245-1-twohundred-1","numerals-chew1245-1","Chan2019","twohundred",200,"duwə ratos","duwaratos",NA,"FALSE","2′[⋅]100","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[⋅]100","2⋅100","abs(2*100)"
"96",40,"numerals-chew1245-1-thousand-1","numerals-chew1245-1","Chan2019","thousand",1000,"satu ribu","saturibu",NA,"FALSE","1′{?}[⋅]1000","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","1′[⋅]1000","1⋅1000","abs(1*1000)"
"97",41,"numerals-chew1245-1-twothousand-1","numerals-chew1245-1","Chan2019","twothousand",2000,"duwə ribu","duwaribu",NA,"FALSE","2′[⋅]1000","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′[⋅]1000","2⋅1000","abs(2*1000)"
"98",1,"numerals-kens1248-1-one-1","numerals-kens1248-1","Chan2019","one",1,"nay","nay",NA,"false","1","",NA,"RE-GLOSSED","1","1","1"
"99",2,"numerals-kens1248-1-two-1","numerals-kens1248-1","Chan2019","two",2,"biʔe̝y","biey",NA,"false","2","",NA,"RE-GLOSSED","2","2","2"
"100",3,"numerals-kens1248-1-two-2","numerals-kens1248-1","Chan2019","two",2,"biyɛ","biye",NA,"false","2","",NA,"RE-GLOSSED","2","2","2"
"101",4,"numerals-kens1248-1-two-3","numerals-kens1248-1","Chan2019","two",2,"duˈwaʔ","duwa",NA,"false","2′","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","2′","2","2"
"102",5,"numerals-kens1248-1-three-1","numerals-kens1248-1","Chan2019","three",3,"tiˈkaʔ","tika",NA,"false","3","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","3","3","3"
"103",6,"numerals-kens1248-1-three-2","numerals-kens1248-1","Chan2019","three",3,"tiɡaʔ","tiga",NA,"false","3","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","3","3","3"
"104",7,"numerals-kens1248-1-four-1","numerals-kens1248-1","Chan2019","four",4,"ʔampat","ampat",NA,"false","4","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","4","4","4"
"105",8,"numerals-kens1248-1-five-1","numerals-kens1248-1","Chan2019","five",5,"liˈmaʔ","lima",NA,"false","5","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","5","5","5"
"106",9,"numerals-kens1248-1-six-1","numerals-kens1248-1","Chan2019","six",6,"nam","nam",NA,"false","6","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","6","6","6"
"107",10,"numerals-kens1248-1-seven-1","numerals-kens1248-1","Chan2019","seven",7,"tuˈɟoh","tujoh",NA,"false","7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7","7","7"
"108",11,"numerals-kens1248-1-seven-2","numerals-kens1248-1","Chan2019","seven",7,"tuco̝h","tucoh",NA,"false","7","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","7","7","7"
"109",12,"numerals-kens1248-1-eight-1","numerals-kens1248-1","Chan2019","eight",8,"laˈpadn","lapadn",NA,"false","8","borrowed from Malay (Austronesian); historically subtractive",NA,"RE-GLOSSED","8","8","8"
"110",13,"numerals-kens1248-1-nine-1","numerals-kens1248-1","Chan2019","nine",9,"səmiˈladn","samiladn",NA,"false","9","borrowed from Malay (Austronesian); historically subtractive",NA,"RE-GLOSSED","9","9","9"
"111",14,"numerals-kens1248-1-ten-1","numerals-kens1248-1","Chan2019","ten",10,"supuˈloh","supuloh",NA,"false","10","borrowed from Malay (Austronesian)",NA,"RE-GLOSSED","10","10","10"
"112",1,"numerals-kint1239-1-one-1","numerals-kint1239-1","Chan2019","one",1,"nay","nay","","false","1","",NA,"RE-GLOSSED","1","1","1"
