"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","FileName","Glosser"
"38",38,"numerals-jahh1242-1-twentyseven-2","numerals-jahh1242-1","Chan2019","twentyseven",27,"dua puluh tuɟoh","duapuluhtujoh","","true","(2′[⋅]10)[+]7","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"39",39,"numerals-jahh1242-1-twentyeight-1","numerals-jahh1242-1","Chan2019","twentyeight",28,"dua puluh dəlapan","duapuluhdalapan","","true","(2′[⋅]10)[+]8","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"40",40,"numerals-jahh1242-1-twentyeight-2","numerals-jahh1242-1","Chan2019","twentyeight",28,"dua puluh lapan","duapuluhlapan","","true","(2′[⋅]10)[+]8","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"41",41,"numerals-jahh1242-1-twentynine-1","numerals-jahh1242-1","Chan2019","twentynine",29,"dua puluh","duapuluh","","true","?","borrowed from Malay (Austronesian); 9 seems to be missing, there is only (2′[⋅]10).",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"42",42,"numerals-jahh1242-1-thirty-1","numerals-jahh1242-1","Chan2019","thirty",30,"tiga puluh","tigapuluh","","true","3[⋅]10","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"43",43,"numerals-jahh1242-1-forty-1","numerals-jahh1242-1","Chan2019","forty",40,"əmpat puluh","ampatpuluh","","true","4[⋅]10","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"44",44,"numerals-jahh1242-1-fifty-1","numerals-jahh1242-1","Chan2019","fifty",50,"lima puluh","limapuluh","","true","5[⋅]10","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"45",45,"numerals-jahh1242-1-sixty-1","numerals-jahh1242-1","Chan2019","sixty",60,"ənam puluh","anampuluh","","true","6[⋅]10","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"46",46,"numerals-jahh1242-1-sixty-2","numerals-jahh1242-1","Chan2019","sixty",60,"nam puluh","nampuluh","","true","6[⋅]10","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"47",47,"numerals-jahh1242-1-seventy-1","numerals-jahh1242-1","Chan2019","seventy",70,"tud͡ʒoh puluh","tudzohpuluh","","true","7[⋅]10","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"48",48,"numerals-jahh1242-1-seventy-2","numerals-jahh1242-1","Chan2019","seventy",70,"tuɟoh puluh","tujohpuluh","","true","7[⋅]10","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"49",49,"numerals-jahh1242-1-eighty-1","numerals-jahh1242-1","Chan2019","eighty",80,"dəlapan puluh","dalapanpuluh","","true","8[⋅]10","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"50",50,"numerals-jahh1242-1-eighty-2","numerals-jahh1242-1","Chan2019","eighty",80,"lapan puluh","lapanpuluh","","true","8[⋅]10","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"51",51,"numerals-jahh1242-1-ninety-1","numerals-jahh1242-1","Chan2019","ninety",90,"səmbilan puluh","sambilanpuluh","","true","9[⋅]10","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"52",52,"numerals-jahh1242-1-ninety-2","numerals-jahh1242-1","Chan2019","ninety",90,"səmilan puluh","samilanpuluh","","true","9[⋅]10","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"53",53,"numerals-jahh1242-1-hundred-1","numerals-jahh1242-1","Chan2019","hundred",100,"saratus","saratus","","true","1′[⋅]100","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"54",54,"numerals-jahh1242-1-twohundred-1","numerals-jahh1242-1","Chan2019","twohundred",200,"dua ratus","duaratus","","true","2′[⋅]100","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"55",55,"numerals-jahh1242-1-thousand-1","numerals-jahh1242-1","Chan2019","thousand",1000,"saribu","saribu","","true","1′[⋅]1000","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"56",56,"numerals-jahh1242-1-twothousand-1","numerals-jahh1242-1","Chan2019","twothousand",2000,"dua ribu","duaribu","","true","2′[⋅]1000","borrowed from Malay (Austronesian)",NA,"AA001-numerals-jahh1242-1_edited.csv","KM_NK_RB"
"57",1,"numerals-chew1245-1-one-1","numerals-chew1245-1","Chan2019","one",1,"nãy","nay",NA,"FALSE","1","",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"58",2,"numerals-chew1245-1-two-1","numerals-chew1245-1","Chan2019","two",2,"ber","ber",NA,"FALSE","2","",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"59",3,"numerals-chew1245-1-three-1","numerals-chew1245-1","Chan2019","three",3,"pɛd","ped",NA,"FALSE","3","",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"60",4,"numerals-chew1245-1-four-1","numerals-chew1245-1","Chan2019","four",4,"pan","pan",NA,"FALSE","4","",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"61",5,"numerals-chew1245-1-five-1","numerals-chew1245-1","Chan2019","five",5,"limãʔ","lima",NA,"FALSE","5","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"62",6,"numerals-chew1245-1-six-1","numerals-chew1245-1","Chan2019","six",6,"ʔənãm","anam",NA,"FALSE","6","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"63",7,"numerals-chew1245-1-seven-1","numerals-chew1245-1","Chan2019","seven",7,"tud͡ʒoh","tudzoh",NA,"FALSE","7","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"64",8,"numerals-chew1245-1-seven-2","numerals-chew1245-1","Chan2019","seven",7,"tuɟoh","tujoh",NA,"FALSE","7","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"65",9,"numerals-chew1245-1-eight-1","numerals-chew1245-1","Chan2019","eight",8,"lapan","lapan",NA,"FALSE","8","borrowed from Malay (Austronesian); historically subtractive",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"66",10,"numerals-chew1245-1-nine-1","numerals-chew1245-1","Chan2019","nine",9,"səmilan","samilan",NA,"FALSE","9","borrowed from Malay (Austronesian); historically subtractive",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"67",11,"numerals-chew1245-1-ten-1","numerals-chew1245-1","Chan2019","ten",10,"səpuluh","sapuluh",NA,"FALSE","1′[⋅]10","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"68",12,"numerals-chew1245-1-eleven-1","numerals-chew1245-1","Chan2019","eleven",11,"sabəlas","sabalas",NA,"FALSE","1′[+]10′","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"69",13,"numerals-chew1245-1-twelve-1","numerals-chew1245-1","Chan2019","twelve",12,"duwə bəlas","duwabalas",NA,"FALSE","2′[+]10′","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"70",14,"numerals-chew1245-1-thirteen-1","numerals-chew1245-1","Chan2019","thirteen",13,"tigə bəlas","tigabalas",NA,"FALSE","3′[+]10′","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"71",15,"numerals-chew1245-1-fourteen-1","numerals-chew1245-1","Chan2019","fourteen",14,"əmpat bəlas","ampatbalas",NA,"FALSE","4′[+]10′","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"72",16,"numerals-chew1245-1-fifteen-1","numerals-chew1245-1","Chan2019","fifteen",15,"limã bəlas","limabalas",NA,"FALSE","5[+]10′","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"73",17,"numerals-chew1245-1-sixteen-1","numerals-chew1245-1","Chan2019","sixteen",16,"ənãm bəlas","anambalas",NA,"FALSE","6[+]10′","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"74",18,"numerals-chew1245-1-seventeen-1","numerals-chew1245-1","Chan2019","seventeen",17,"tud͡ʒoh bəlas","tudzohbalas",NA,"FALSE","7[+]10′","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"75",19,"numerals-chew1245-1-eighteen-1","numerals-chew1245-1","Chan2019","eighteen",18,"lapan bəlas","lapanbalas",NA,"FALSE","8[+]10′","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"76",20,"numerals-chew1245-1-nineteen-1","numerals-chew1245-1","Chan2019","nineteen",19,"səmilan bəlas","samilanbalas",NA,"FALSE","9[+]10′","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"77",21,"numerals-chew1245-1-twenty-1","numerals-chew1245-1","Chan2019","twenty",20,"duwə puloh","duwapuloh",NA,"FALSE","2′[⋅]10","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"78",22,"numerals-chew1245-1-twentyone-1","numerals-chew1245-1","Chan2019","twentyone",21,"duwə puloh satu","duwapulohsatu",NA,"FALSE","(2′[⋅]10)[+]1′{?}","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"79",23,"numerals-chew1245-1-twentytwo-1","numerals-chew1245-1","Chan2019","twentytwo",22,"duwə puloh duwə","duwapulohduwa",NA,"FALSE","(2′[⋅]10)[+]2′","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"80",24,"numerals-chew1245-1-twentythree-1","numerals-chew1245-1","Chan2019","twentythree",23,"duwə puloh tigə","duwapulohtiga",NA,"FALSE","(2′[⋅]10)[+]3′","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"81",25,"numerals-chew1245-1-twentyfour-1","numerals-chew1245-1","Chan2019","twentyfour",24,"duwə puloh əmpat","duwapulohampat",NA,"FALSE","(2′[⋅]10)[+]4′","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"82",26,"numerals-chew1245-1-twentyfive-1","numerals-chew1245-1","Chan2019","twentyfive",25,"duwə puloh limãʔ","duwapulohlima",NA,"FALSE","(2′[⋅]10)[+]5","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"83",27,"numerals-chew1245-1-twentysix-1","numerals-chew1245-1","Chan2019","twentysix",26,"duwə puloh ʔənãm","duwapulohanam",NA,"FALSE","(2′[⋅]10)[+]6","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"84",28,"numerals-chew1245-1-twentyseven-1","numerals-chew1245-1","Chan2019","twentyseven",27,"duwə puloh tud͡ʒoh","duwapulohtudzoh",NA,"FALSE","(2′[⋅]10)[+]7","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"85",29,"numerals-chew1245-1-twentyeight-1","numerals-chew1245-1","Chan2019","twentyeight",28,"duwə puloh lapan","duwapulohlapan",NA,"FALSE","(2′[⋅]10)[+]8","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"86",30,"numerals-chew1245-1-twentynine-1","numerals-chew1245-1","Chan2019","twentynine",29,"duwə puloh səmilan","duwapulohsamilan",NA,"FALSE","(2′[⋅]10)[+]9","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"87",31,"numerals-chew1245-1-thirty-1","numerals-chew1245-1","Chan2019","thirty",30,"tigə puloh","tigapuloh",NA,"FALSE","3′[⋅]10","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"88",32,"numerals-chew1245-1-forty-1","numerals-chew1245-1","Chan2019","forty",40,"əmpat puloh","ampatpuloh",NA,"FALSE","4′[⋅]10","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"89",33,"numerals-chew1245-1-fifty-1","numerals-chew1245-1","Chan2019","fifty",50,"limã puloh","limapuloh",NA,"FALSE","5[⋅]10","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"90",34,"numerals-chew1245-1-sixty-1","numerals-chew1245-1","Chan2019","sixty",60,"ʔənãm puloh","anampuloh",NA,"FALSE","6[⋅]10","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"91",35,"numerals-chew1245-1-seventy-1","numerals-chew1245-1","Chan2019","seventy",70,"tud͡ʒoh puloh","tudzohpuloh",NA,"FALSE","7[⋅]10","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"92",36,"numerals-chew1245-1-eighty-1","numerals-chew1245-1","Chan2019","eighty",80,"lapan puloh","lapanpuloh",NA,"FALSE","8[⋅]10","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"93",37,"numerals-chew1245-1-ninety-1","numerals-chew1245-1","Chan2019","ninety",90,"səmilan puloh","samilanpuloh",NA,"FALSE","9[⋅]10","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"94",38,"numerals-chew1245-1-hundred-1","numerals-chew1245-1","Chan2019","hundred",100,"satu ratos","saturatos",NA,"FALSE","1′{?}[⋅]100","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"95",39,"numerals-chew1245-1-twohundred-1","numerals-chew1245-1","Chan2019","twohundred",200,"duwə ratos","duwaratos",NA,"FALSE","2′[⋅]100","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"96",40,"numerals-chew1245-1-thousand-1","numerals-chew1245-1","Chan2019","thousand",1000,"satu ribu","saturibu",NA,"FALSE","1′{?}[⋅]1000","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"97",41,"numerals-chew1245-1-twothousand-1","numerals-chew1245-1","Chan2019","twothousand",2000,"duwə ribu","duwaribu",NA,"FALSE","2′[⋅]1000","borrowed from Malay (Austronesian)",NA,"AA002-numerals-chew1245-1.csv","KM_NK_RB"
"98",1,"numerals-kens1248-1-one-1","numerals-kens1248-1","Chan2019","one",1,"nay","nay",NA,"false","1","",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"99",2,"numerals-kens1248-1-two-1","numerals-kens1248-1","Chan2019","two",2,"biʔe̝y","biey",NA,"false","2","",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"100",3,"numerals-kens1248-1-two-2","numerals-kens1248-1","Chan2019","two",2,"biyɛ","biye",NA,"false","2","",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"101",4,"numerals-kens1248-1-two-3","numerals-kens1248-1","Chan2019","two",2,"duˈwaʔ","duwa",NA,"false","2′","borrowed from Malay (Austronesian)",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"102",5,"numerals-kens1248-1-three-1","numerals-kens1248-1","Chan2019","three",3,"tiˈkaʔ","tika",NA,"false","3","borrowed from Malay (Austronesian)",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"103",6,"numerals-kens1248-1-three-2","numerals-kens1248-1","Chan2019","three",3,"tiɡaʔ","tiga",NA,"false","3","borrowed from Malay (Austronesian)",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"104",7,"numerals-kens1248-1-four-1","numerals-kens1248-1","Chan2019","four",4,"ʔampat","ampat",NA,"false","4","borrowed from Malay (Austronesian)",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"105",8,"numerals-kens1248-1-five-1","numerals-kens1248-1","Chan2019","five",5,"liˈmaʔ","lima",NA,"false","5","borrowed from Malay (Austronesian)",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"106",9,"numerals-kens1248-1-six-1","numerals-kens1248-1","Chan2019","six",6,"nam","nam",NA,"false","6","borrowed from Malay (Austronesian)",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"107",10,"numerals-kens1248-1-seven-1","numerals-kens1248-1","Chan2019","seven",7,"tuˈɟoh","tujoh",NA,"false","7","borrowed from Malay (Austronesian)",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"108",11,"numerals-kens1248-1-seven-2","numerals-kens1248-1","Chan2019","seven",7,"tuco̝h","tucoh",NA,"false","7","borrowed from Malay (Austronesian)",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"109",12,"numerals-kens1248-1-eight-1","numerals-kens1248-1","Chan2019","eight",8,"laˈpadn","lapadn",NA,"false","8","borrowed from Malay (Austronesian); historically subtractive",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"110",13,"numerals-kens1248-1-nine-1","numerals-kens1248-1","Chan2019","nine",9,"səmiˈladn","samiladn",NA,"false","9","borrowed from Malay (Austronesian); historically subtractive",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"111",14,"numerals-kens1248-1-ten-1","numerals-kens1248-1","Chan2019","ten",10,"supuˈloh","supuloh",NA,"false","10","borrowed from Malay (Austronesian)",NA,"AA003-numerals-kens1248-1.csv","KM_NK_RB"
"112",1,"numerals-kint1239-1-one-1","numerals-kint1239-1","Chan2019","one",1,"nay","nay","","false","1","",NA,"AA004-numerals-kint1239-1.csv","KM_NK_RB"
