"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser"
"43",41,"numerals-chau1259-1-twohundred-1","numerals-chau1259-1","Chan2019","twohundred",200,"nisi səi","nisisai","","false","2⋅100","<səi> ‘hundred’ borrowed from Indo-Aryan (Indo-European)",NA,"RE-GLOSSED"
"44",42,"numerals-chau1259-1-thousand-1","numerals-chau1259-1","Chan2019","thousand",1000,"toŋ","tong","","false","1000","",NA,"RE-GLOSSED"
"45",43,"numerals-chau1259-1-thousand-2","numerals-chau1259-1","Chan2019","thousand",1000,"həzar","hazar","< from Indo-Aryan","true","1000′","borrowed from Indo-Aryan (Indo-European), ultimately from Iranian",NA,"RE-GLOSSED"
"46",44,"numerals-chau1259-1-twothousand-1","numerals-chau1259-1","Chan2019","twothousand",2000,"do həzar","dohazar","","false","2⋅1000′","<həzar> ‘thousand’ borrowed from Indo-Aryan (Indo-European), ultimately from Iranian",NA,"RE-GLOSSED"
"47",30,"numerals-gheg1238-1-twentyfive-1","numerals-gheg1238-1","Chan2019","twentyfive",25,"ɲəˌzɛteˈpɛs","nazetepes","","false","(1⋅20)+{and}5","",NA,"RE-GLOSSED"
"48",30,"numerals-gheg1238-1-twentyfive-1","numerals-gheg1238-1","Chan2019","twentyfive",25,"ɲəˌzɛteˈpɛsə","nazetepesa","","false","(1⋅20)+{and}5","",NA,"RE-GLOSSED"
"49",31,"numerals-gheg1238-1-twentysix-1","numerals-gheg1238-1","Chan2019","twentysix",26,"ɲəˌzɛteˈɟaːʃt","nazetejast","","false","(1⋅20)+{and}6","",NA,"RE-GLOSSED"
"50",31,"numerals-gheg1238-1-twentysix-1","numerals-gheg1238-1","Chan2019","twentysix",26,"ɲəˌzɛteˈɟaːʃtə","nazetejasta","","false","(1⋅20)+{and}6","",NA,"RE-GLOSSED"
"51",32,"numerals-gheg1238-1-twentyseven-1","numerals-gheg1238-1","Chan2019","twentyseven",27,"ɲəˌzɛteˈʃtaːt","nazetestat","","false","(1⋅20)+{and}7","",NA,"RE-GLOSSED"
"52",32,"numerals-gheg1238-1-twentyseven-1","numerals-gheg1238-1","Chan2019","twentyseven",27,"ɲəˌzɛteˈʃtaːtə","nazetestata","","false","(1⋅20)+{and}7","",NA,"RE-GLOSSED"
"53",33,"numerals-gheg1238-1-twentyeight-1","numerals-gheg1238-1","Chan2019","twentyeight",28,"ɲəˌzɛteˈtɛːt","nazetetet","","false","(1⋅20)+{and}8","",NA,"RE-GLOSSED"
"54",33,"numerals-gheg1238-1-twentyeight-1","numerals-gheg1238-1","Chan2019","twentyeight",28,"ɲəˌzɛteˈtɛːtə","nazeteteta","","false","(1⋅20)+{and}8","",NA,"RE-GLOSSED"
"55",34,"numerals-gheg1238-1-twentynine-1","numerals-gheg1238-1","Chan2019","twentynine",29,"ɲəˌzɛteˈnəːnt","nazetenant","","false","(1⋅20)+{and}9","",NA,"RE-GLOSSED"
"56",34,"numerals-gheg1238-1-twentynine-1","numerals-gheg1238-1","Chan2019","twentynine",29,"ɲəˌzɛteˈnəːntə","nazetenanta","","false","(1⋅20)+{and}9","",NA,"RE-GLOSSED"
"57",51,"numerals-nort2663-1-hundred-2","numerals-nort2663-1","Chan2019","hundred",100,"ˈpɔnbiɕi","ponbici","( 5 x 20)","false","5⋅20","",NA,"RE-GLOSSED"
"58",52,"numerals-nort2663-1-hundred-2","numerals-nort2663-1","Chan2019","hundred",100,"ɕol","col","","false","100","according to the contributor, borrowed from a “neighboring dominant language”, likely Khowar (Indo-Aryan, Indo-European)",NA,"RE-GLOSSED"
"59",28,"numerals-maza1291-1-twenty-1","numerals-maza1291-1","Chan2019","twenty",20,"bist","bist","","false","20","historically 2⋅10","","RE-GLOSSED"
"60",28,"numerals-maza1291-1-twenty-1","numerals-maza1291-1","Chan2019","twenty",20,"bis","bis","","false","20","historically 2⋅10","","RE-GLOSSED"
"61",29,"numerals-maza1291-1-twentyone-1","numerals-maza1291-1","Chan2019","twentyone",21,"bist-o-yak","bistoyak","","false","20+{and}1","","","RE-GLOSSED"
"62",29,"numerals-maza1291-1-twentyone-1","numerals-maza1291-1","Chan2019","twentyone",21,"bis-o-yak","bisoyak","","false","20+{and}1","","","RE-GLOSSED"
"63",30,"numerals-maza1291-1-twentytwo-1","numerals-maza1291-1","Chan2019","twentytwo",22,"bist-o-de","bistode","","false","20+{and}2","","","RE-GLOSSED"
"64",30,"numerals-maza1291-1-twentytwo-1","numerals-maza1291-1","Chan2019","twentytwo",22,"bis-o-de","bisode","","false","20+{and}2","","","RE-GLOSSED"
"65",31,"numerals-maza1291-1-twentythree-1","numerals-maza1291-1","Chan2019","twentythree",23,"bist-o-se","bistose","","false","20+{and}3","","","RE-GLOSSED"
"66",31,"numerals-maza1291-1-twentythree-1","numerals-maza1291-1","Chan2019","twentythree",23,"bis-o-se","bisose","","false","20+{and}3","","","RE-GLOSSED"
