"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work"
"38",28,"numerals-stan1289-1-twentyfour-1","numerals-stan1289-1","Chan2019","twentyfour",24,"bin̪tiˈkwatɾə","bintikwatra","","false","20+{and}6","","(2′⋅10′′′)+{and}4","RE-GLOSSED","20+6","20+6","20+6",1,26,FALSE
"39",29,"numerals-stan1289-1-twentyfive-1","numerals-stan1289-1","Chan2019","twentyfive",25,"bin̪tiˈsiŋ","bintising","","false","20+{and}7","","(2′⋅10′′′)+{and}5","RE-GLOSSED","20+7","20+7","20+7",1,27,FALSE
"40",30,"numerals-stan1289-1-twentysix-1","numerals-stan1289-1","Chan2019","twentysix",26,"bin̪tiˈsis","bintisis","","false","20+{and}8","","(2′⋅10′′′)+{and}6","RE-GLOSSED","20+8","20+8","20+8",1,28,FALSE
"41",31,"numerals-stan1289-1-twentyseven-1","numerals-stan1289-1","Chan2019","twentyseven",27,"bin̪tiˈsɛt","bintiset","","false","20+{and}9","","(2′⋅10′′′)+{and}7","RE-GLOSSED","20+9","20+9","20+9",1,29,FALSE
"42",32,"numerals-stan1289-1-twentyeight-1","numerals-stan1289-1","Chan2019","twentyeight",28,"bin̪tiˈbujt","bintibujt","","false","20+{and}10","","(2′⋅10′′′)+{and}8","RE-GLOSSED","20+10","20+10","20+10",1,30,FALSE
"43",33,"numerals-stan1289-1-twentynine-1","numerals-stan1289-1","Chan2019","twentynine",29,"bin̪tiˈnɔw","bintinow","","false","20+{and}11","","(2′⋅10′′′)+{and}9","RE-GLOSSED","20+11","20+11","20+11",1,31,FALSE
"44",8,"numerals-balt1258-1-eight-1","numerals-balt1258-1","Chan2019","eight",8,"βɡyʌt","bgyt","","false","9","prefix (?)","","RE-GLOSSED","9","9","9",1,9,FALSE
"45",9,"numerals-balt1258-1-nine-1","numerals-balt1258-1","Chan2019","nine",9,"rɡu","rgu","","false","8","","","RE-GLOSSED","8","8","8",1,8,FALSE
"46",23,"numerals-bodo1269-1-twentyfour-1","numerals-bodo1269-1","Chan2019","twentyfour",24,"nɯizibrɯi","nwizibrwi",NA,"false","(2[⋅]10)[+]3",NA,NA,"RE-GLOSSED","(2[⋅]10)[+]3","(2⋅10)+3","abs(abs(2*10))+3",1,23,FALSE
"47",24,"numerals-bodo1269-1-twentyfive-1","numerals-bodo1269-1","Chan2019","twentyfive",25,"nɯiziba","nwiziba",NA,"false","(2[⋅]10)[+]4",NA,NA,"RE-GLOSSED","(2[⋅]10)[+]4","(2⋅10)+4","abs(abs(2*10))+4",1,24,FALSE
