Language,Glottocode,Language_ID,Concept,Form,Gloss,Alternate_gloss,Comment_glosser,Source,Meaning,Referent_resource,comment_referent_resource,tabooed,ligature_form,ligature_meaning,ligature_type: associative link = 1; commitative link = 2; covert/abstent = ?; number doesnt need ligatures = !; leave in comment if the ligature or conjunction can be inferred ,comment_ligature,comment_ligatures,Absolute_vs_contextual,comments_enumerative,class_marker,comment_classmarkers,Agreement_host,,currency
Tafi,tafi1243,tafi1243,five,ití,"{CL""}5",,,Bobuafor2013,,,,,!,,,,,,,,,,,
Tafi,tafi1243,tafi1243,five,tí,5,,,Bobuafor2013,,,,,!,,,,,,,,,,,
Tafi,tafi1243,tafi1243,six,holo,6,,,Bobuafor2013,,,,,?,,,,,,,,,,,
Tafi,tafi1243,tafi1243,seven,gene,7,,,Bobuafor2013,,,,,?,,,,,,,,,,,
Tafi,tafi1243,tafi1243,eight,ansɛ,8,,,Bobuafor2013,,,,,?,,,,,,,,,,,
Tafi,tafi1243,tafi1243,nine,ʒita,9,,zhitá?,Bobuafor2013,,,,,?,,,,,,,,,,,
Tafi,tafi1243,tafi1243,nine,hitá,9',,,Bobuafor2013,,,,,?,,,,,,,,,,,
Tafi,tafi1243,tafi1243,ten,kɛfɔ,{3P?}10,,,Bobuafor2013,,,,,?,,,,,,,,,,,
Tafi,tafi1243,tafi1243,ten,kí-fɔ,"{CL""}10'",,,Bobuafor2013,,,,,,,,,,,,,,,,
Tafi,tafi1243,tafi1243,eleven,kį-fɔ n't-olí,"{CL""}10+[+]{CL}1",,,Bobuafor2013,,,,,n't,,,,,,,,,,,
Tafi,tafi1243,tafi1243,twelve,kį-fɔ n'tia-bha,"{CL""}10+[+]{CL'}2",,,Bobuafor2013,,,,,n'tia,,,,,,,,,,,
Tafi,tafi1243,tafi1243,thirteen,kį-fɔ n'tie-tí,{LIG}10+[+]{CL'}3,,,Bobuafor2013,,,,,n'tie,,,,,,,,,,,
Tafi,tafi1243,tafi1243,twenty,afɛ tabʰa,"{PLU}10""·{CL'}2",,,Bobuafor2013,,,,,a ... ta .. n .. t,PLU ... ,,,,,,,,,,
Tafi,tafi1243,tafi1243,twenty one,áf-t-a-bha-n’t-olí,"({PLU}(10""·{CL'}2)+[+]{CL}1",,,Bobuafor2013,,,,,ta ... n'tia,,,,,,,,,,,
Tafi,tafi1243,tafi1243,twenty two,áf-t-a-bha n’tia-bha,({PLU}(10·{CL'}2)+[+}{CL'}2,,,Bobuafor2013,,,,,ta ... n'tia,,,,,,,,,,,
Tafi,tafi1243,tafi1243,twenty three,áf-t-a-bha n’tia-tá,({PLU}(10·{CL'}2)+[+]{CL'}3,,,Bobuafor2013,,,,,ta ... n'tia,,,,,,,,,,,
Tafi,tafi1243,tafi1243,thirty,afa ata,{PLU}10·{CL'}3,,,Bobuafor2013,,,,,0,,,,,,,,,,,
Tafi,tafi1243,tafi1243,thirty,áf-aa-tá,{PLU}10·{CL'}3,,,Bobuafor2013,,,,,0,,,,,,,,,,,
Tafi,tafi1243,tafi1243,thirty one,áf-aa-tā n’t-o-li,({PLU}10·{CL'}3)+[+]{CL}1,,,Bobuafor2013,,,,,ta ... n't,,,,,,,,,,,
Tafi,tafi1243,tafi1243,thirty two,áf-aa-tā- n’tia-bhā,({PLU}10·{CL'}3)+[+]{CL''}2,,,Bobuafor2013,,,,,ta ... n'tia,,,,,,,,,,,
Tafi,tafi1243,tafi1243,forty,afɛ talɛ,{PLU}10·{LIG}4,,,Bobuafor2013,,,,,ta,,,,,,,,,,,
Tafi,tafi1243,tafi1243,fifty,afe etí,{PLU}10·{CL'}5,,,Bobuafor2013,,,,,0,,,,,,,,,,,
Tafi,tafi1243,tafi1243,sixty,afɛ teholo,"{PLU}10·{CL""}6",,,Bobuafor2013,,,,,te,,,,,,,,,,,
Tafi,tafi1243,tafi1243,seventy,afɛ tegegene,"{PLU}10·{CL""}7",,,Bobuafor2013,,,,,te,,,,,,,,,,,
Tafi,tafi1243,tafi1243,eighty,afɛ tansɛ,"{PLU}10·{CL""}8",,,Bobuafor2013,,,,,ta,,,,,,,,,,,
Tafi,tafi1243,tafi1243,ninety,afɛ teʒita,"{PLU}10·{CL""}9",,,Bobuafor2013,,,,,te,,,,,,,,,,,
Tafi,tafi1243,tafi1243,hundred,alafa zɛzɛ,100·1,,alafa = borrowed? zɛzɛ means one?,Bobuafor2013,,,,,zɛzɛ,,,,,,,,,,,
Tafi,tafi1243,tafi1243,hundred,ohotu,100,,,Bobuafor2013,,,,,?,,,,,,,,,,,
Tafi,tafi1243,tafi1243,thousand,akpé,1000,,,Bobuafor2013,,,,,?,,,,,,,,,,,
Tafi,tafi1243,tafi1243,million,miliɔ̃,1000000,,borrowed,Bobuafor2013,,,,,?,,,,,,,,,,,
Siwu,sigh1238,sigh1238,one,ɔwe,{CL}1,,,Atsu2006:12,,,,,!,,,,,,,,,,,
