"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","FileName","Glosser"
"77","numerals-furr1244-1-sixteen-1","numerals-furr1244-1","Chan2019","sixteen","16","wèyè nà òsàndík","weyenaosandik","","FALSE","10{LIG}+5{LIG}+1",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"78","numerals-furr1244-1-seventeen-1","numerals-furr1244-1","Chan2019","seventeen","17","wèyè nà sààbè","weyenasaabe","","FALSE","10{LIG}+7",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"79","numerals-furr1244-1-eighteen-1","numerals-furr1244-1","Chan2019","eighteen","18","wèyè nà tàmàn","weyenataman","","FALSE","10{LIG}+8",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"80","numerals-furr1244-1-nineteen-1","numerals-furr1244-1","Chan2019","nineteen","19","wèyè nà tììsè","weyenatiise","","FALSE","10{LIG}+9",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"81","numerals-furr1244-1-twenty-1","numerals-furr1244-1","Chan2019","twenty","20","wèyèŋa òù","weyengaou","","FALSE","10{?}·2",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"82","numerals-furr1244-1-twentyone-1","numerals-furr1244-1","Chan2019","twentyone","21","wèyèŋa òù nà díík","weyengaounadiik","","FALSE","10{?}·2{LIG}+1",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"83","numerals-furr1244-1-twentytwo-1","numerals-furr1244-1","Chan2019","twentytwo","22","wèyèŋa òù nà òù","weyengaounaou","","FALSE","10{?}·2{LIG}+2",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"84","numerals-furr1244-1-twentythree-1","numerals-furr1244-1","Chan2019","twentythree","23","wèyèŋa òù nà ììs","weyengaounaiis","","FALSE","10{?}·2{LIG}+3",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"85","numerals-furr1244-1-twentyfour-1","numerals-furr1244-1","Chan2019","twentyfour","24","wèyèŋa òù nà òŋàl","weyengaounaongal","","FALSE","10{?}·2{LIG}+4",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"86","numerals-furr1244-1-twentyfive-1","numerals-furr1244-1","Chan2019","twentyfive","25","wèyèŋa òù nà òòs","weyengaounaoos","","FALSE","10{?}·2{LIG}+5",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"87","numerals-furr1244-1-twentysix-1","numerals-furr1244-1","Chan2019","twentysix","26","wèyèŋa òù nà òsàndík","weyengaounaosandik","","FALSE","10{?}·2{LIG}+5{LIG}+1",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"88","numerals-furr1244-1-twentyseven-1","numerals-furr1244-1","Chan2019","twentyseven","27","wèyèŋa òù nà sààbè","weyengaounasaabe","","FALSE","10{?}·2{LIG}+7",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"89","numerals-furr1244-1-twentyeight-1","numerals-furr1244-1","Chan2019","twentyeight","28","wèyèŋa òù nà tàmàn","weyengaounataman","","FALSE","10{?}·2{LIG}+8",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"90","numerals-furr1244-1-twentynine-1","numerals-furr1244-1","Chan2019","twentynine","29","wèyèŋa òù nà tììsè","weyengaounatiise","","FALSE","10{?}·2{LIG}+9",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"91","numerals-furr1244-1-thirty-1","numerals-furr1244-1","Chan2019","thirty","30","wèyèŋa ììs","weyengaiis","","FALSE","10{?}·3",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"92","numerals-furr1244-1-forty-1","numerals-furr1244-1","Chan2019","forty","40","wèyèŋa òŋàl","weyengaongal","","FALSE","10{?}·4",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"93","numerals-furr1244-1-fifty-1","numerals-furr1244-1","Chan2019","fifty","50","wèyèŋa òòs","weyengaoos","","FALSE","10{?}·5",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"94","numerals-furr1244-1-sixty-1","numerals-furr1244-1","Chan2019","sixty","60","wèyèŋa òsàndík","weyengasaabe","","FALSE","10{?}·(5{LIG}+1)","There seems to be an error in the ordering of Forms and Values in the original dataset. I edited the numerals for 60-90 assuming the sistematicity observed in the other numerals.",NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"95","numerals-furr1244-1-seventy-1","numerals-furr1244-1","Chan2019","seventy","70","wèyèŋa sààbè","weyengataman","","FALSE","10{?}·7","There seems to be an error in the ordering of Forms and Values in the original dataset. I edited the numerals for 60-90 assuming the sistematicity observed in the other numerals.",NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"96","numerals-furr1244-1-eighty-1","numerals-furr1244-1","Chan2019","eighty","80","wèyèŋa tàmàn","weyengatiise","","FALSE","10{?}·8","There seems to be an error in the ordering of Forms and Values in the original dataset. I edited the numerals for 60-90 assuming the sistematicity observed in the other numerals.",NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"97","numerals-furr1244-1-ninety-1","numerals-furr1244-1","Chan2019","ninety","90","wèyèŋa tììsè","weyenga","","FALSE","10{?}·9","There seems to be an error in the ordering of Forms and Values in the original dataset. I edited the numerals for 60-90 assuming the sistematicity observed in the other numerals.",NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"98","numerals-furr1244-1-hundred-1","numerals-furr1244-1","Chan2019","hundred","100","fírí","firi","","FALSE","100",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"99","numerals-furr1244-1-twohundred-1","numerals-furr1244-1","Chan2019","twohundred","200","fíríŋa òù","firingaou","","FALSE","100{?}·2",NA,NA,"Decimal-Africa - numerals-furr1244-1-EDITED.csv","EK"
"100","numerals-kale1246-1-one-1","numerals-kale1246-1","Chan2019","one","1","akɛ̀ːŋkɛ","akengke","","FALSE","1",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"101","numerals-kale1246-1-two-1","numerals-kale1246-1","Chan2019","two","2","áɛ̂ːŋ","aeng","","FALSE","2",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"102","numerals-kale1246-1-three-1","numerals-kale1246-1","Chan2019","three","3","sómòk","somok","","FALSE","3",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"103","numerals-kale1246-1-four-1","numerals-kale1246-1","Chan2019","four","4","áŋwàn","angwan","","FALSE","4",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"104","numerals-kale1246-1-five-1","numerals-kale1246-1","Chan2019","five","5","mûːt","mut","","FALSE","5",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"105","numerals-kale1246-1-six-1","numerals-kale1246-1","Chan2019","six","6","là","la","","FALSE","6",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"106","numerals-kale1246-1-seven-1","numerals-kale1246-1","Chan2019","seven","7","tísap","tisap","","FALSE","7",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"107","numerals-kale1246-1-eight-1","numerals-kale1246-1","Chan2019","eight","8","sisíːt","sisit","","FALSE","8",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"108","numerals-kale1246-1-nine-1","numerals-kale1246-1","Chan2019","nine","9","sókôːl","sokol","","FALSE","9",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"109","numerals-kale1246-1-ten-1","numerals-kale1246-1","Chan2019","ten","10","táman","taman","","FALSE","10",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"110","numerals-kale1246-1-eleven-1","numerals-kale1246-1","Chan2019","eleven","11","táman àk akɛ̀ːŋkɛ","tamanakakengke","","FALSE","10{LIG}+1",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"111","numerals-kale1246-1-twelve-1","numerals-kale1246-1","Chan2019","twelve","12","táman àk áɛ̂ːŋ","tamanakaeng","","FALSE","10{LIG}+2",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"112","numerals-kale1246-1-thirteen-1","numerals-kale1246-1","Chan2019","thirteen","13","táman àk sómòk","tamanaksomok","","FALSE","10{LIG}+3",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"113","numerals-kale1246-1-fourteen-1","numerals-kale1246-1","Chan2019","fourteen","14","táman àk áŋwàn","tamanakangwan","","FALSE","10{LIG}+4",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"114","numerals-kale1246-1-fifteen-1","numerals-kale1246-1","Chan2019","fifteen","15","táman àk mûːt","tamanakmut","","FALSE","10{LIG}+5",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"115","numerals-kale1246-1-sixteen-1","numerals-kale1246-1","Chan2019","sixteen","16","táman àk là","tamanakla","","FALSE","10{LIG}+6",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"116","numerals-kale1246-1-seventeen-1","numerals-kale1246-1","Chan2019","seventeen","17","táman àk tísap","tamanaktisap","","FALSE","10{LIG}+7",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"117","numerals-kale1246-1-eighteen-1","numerals-kale1246-1","Chan2019","eighteen","18","táman àk sisíːt","tamanaksisit","","FALSE","10{LIG}+8",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"118","numerals-kale1246-1-nineteen-1","numerals-kale1246-1","Chan2019","nineteen","19","táman àk sókôːl","tamanaksokol","","FALSE","10{LIG}+9",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"119","numerals-kale1246-1-twenty-1","numerals-kale1246-1","Chan2019","twenty","20","típtém","tiptem","","FALSE","20",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"120","numerals-kale1246-1-twentyone-1","numerals-kale1246-1","Chan2019","twentyone","21","típtém àk akɛ̀ːŋkɛ","tiptemakakengke","","FALSE","20{LIG}+1",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"121","numerals-kale1246-1-twentytwo-1","numerals-kale1246-1","Chan2019","twentytwo","22","típtém àk áɛ̂ːŋ","tiptemakaeng","","FALSE","20{LIG}+2",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"122","numerals-kale1246-1-twentythree-1","numerals-kale1246-1","Chan2019","twentythree","23","típtém àk sómòk","tiptemaksomok","","FALSE","20{LIG}+3",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"123","numerals-kale1246-1-twentyfour-1","numerals-kale1246-1","Chan2019","twentyfour","24","típtém àk áŋwàn","tiptemakangwan","","FALSE","20{LIG}+4",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"124","numerals-kale1246-1-twentyfive-1","numerals-kale1246-1","Chan2019","twentyfive","25","típtém àk mûːt","tiptemakmut","","FALSE","20{LIG}+5",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
"125","numerals-kale1246-1-twentysix-1","numerals-kale1246-1","Chan2019","twentysix","26","típtém àk là","tiptemakla","","FALSE","20{LIG}+6",NA,NA,"Decimal-Africa - numerals-kale1246-1.csv","EK"
