enock,Africa,Glottocode,Language-level Glottocode,Glottolog 5.3 Classification
numerals-koon1245-1.csv,Africa022-AtlanticCongo-numerals-koon1245-1.csv,koon1245,koon1245,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Makaa-Njem (A.80), Mpoic, Njemic, Koonzime"
bomw1238.csv,Africa023-AtlanticCongo-numerals-bomw1238-1.csv,bomw1238,bomw1238,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Makaa-Njem (A.80), Bomwali"
byep1241.csv,Africa024-AtlanticCongo-numerals-byep1241-1.csv,byep1241,byep1241,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Makaa-Njem (A.80), Western A80, Makaaic, North-Central Makaaic, Byep-Besep"
numerals-maka1304-1.csv,Africa025-AtlanticCongo-numerals-maka1304-1.csv,maka1304,maka1304,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Makaa-Njem (A.80), Western A80, Makaaic, North-Central Makaaic, Makaa"
numerals-kolc1235-1.csv,Africa026-AtlanticCongo-numerals-kolc1235-1.csv,kolc1235,kolc1235,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Makaa-Njem (A.80), Western A80, Makaaic, Southern Makaaic, Kol (Cameroon)"
gyel1242.csv,Africa027-AtlanticCongo-numerals-gyel1242-1.csv,gyel1242,gyel1242,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Makaa-Njem (A.80), Western A80, Mvumboic, Kwasio-Gyele, Gyele"
kwas1243.csv,Africa028-AtlanticCongo-numerals-kwas1243-1.csv,kwas1243,kwas1243,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Makaa-Njem (A.80), Western A80, Mvumboic, Kwasio-Gyele, Kwasio"
numerals-kako1242-1.csv,Africa029-AtlanticCongo-numerals-kako1242-1.csv,kako1242,kako1242,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Kako"
numerals-pomo1271-1.csv,Africa030-AtlanticCongo-numerals-pomo1271-1.csv,pomo1271,pomo1271,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Pol"
kwak1266.csv,Africa031-AtlanticCongo-numerals-kwak1266-1.csv,kwak1266,kwak1266,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Makaa-Kako (A.80-90), Kwakum"
numerals-seki1238-1.csv,Africa032-AtlanticCongo-numerals-seki1238-1.csv,seki1238,seki1238,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Seki"
numerals-bafi1243-1.csv,Africa033-AtlanticCongo-numerals-bafi1243-1.csv,bafi1243,bafi1243,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Bafia (A.50), Nuclear Bafia (A.50), Lefa-Bafia, Bafia"
numerals-lefa1242-1.csv,Africa034-AtlanticCongo-numerals-lefa1242-1.csv,lefa1242,lefa1242,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Bafia (A.50), Nuclear Bafia (A.50), Lefa-Bafia, Lefa"
mwes1234.csv,Africa035-AtlanticCongo-numerals-mwes1234-1.csv,mwes1234,mwes1234,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Bantu B20B, Mwesa"
numerals-kele1257-1.csv,Africa036-AtlanticCongo-numerals-kele1257-4.csv,kele1257,kele1257,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Bantu B20B, Nuclear Ngomic, Akeleic, Kélé"
numerals-ngom1270-1.csv,Africa037-AtlanticCongo-numerals-ngom1270-1.csv,ngom1270,ngom1270,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Bantu B20B, Nuclear Ngomic, Akeleic, Ngom"
numerals-mban1268-1.csv,Africa038-AtlanticCongo-numerals-mban1268-1.csv,mban1268,mban1268,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Bantu B20B, Nuclear Ngomic, Mbangwe"
numerals-sake1247-1.csv,Africa039-AtlanticCongo-numerals-sake1247-2.csv,sake1247,sake1247,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Bantu B20B, Nuclear Ngomic, Sake-Ndambomo, Sake"
numerals-kota1274-1.csv,Africa040-AtlanticCongo-numerals-kota1274-2.csv,kota1274,kota1274,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Bantu B20A, Kotaic, Kota-Mahongwe, Kota (Gabon)"
numerals-maho1248-2.csv,Africa041-AtlanticCongo-numerals-maho1248-2.csv,maho1248,maho1248,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Bantu B20A, Kotaic, Kota-Mahongwe, Mahongwe"
numerals-ndas1238-1.csv,Africa042-AtlanticCongo-numerals-ndas1238-1.csv,ndas1238,ndas1238,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Bantu B20A, Siguic, Ndasa-Wumbvu, Ndasa"
numerals-wumb1242-1.csv,Africa043-AtlanticCongo-numerals-wumb1242-2.csv,wumb1242,wumb1242,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Bantu B20A, Siguic, Ndasa-Wumbvu, Wumbvu"
numerals-sigh1238-1.csv,Africa044-AtlanticCongo-numerals-sigh1238-1.csv,sigh1238,sigh1238,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Bantu B20A, Siguic, Sighu"
bako1249.csv,Africa045-AtlanticCongo-numerals-bako1249-1.csv,bako1249,bako1249,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa-Yaunde (A40-70), Basaa (A.40), Basaa-Bakoko, Bakoko"
numerals-basa1284-1.csv,Africa046-AtlanticCongo-numerals-basa1284-1.csv,basa1284,basa1284,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa-Yaunde (A40-70), Basaa (A.40), Basaa-Bakoko, Basaa-Hijuk, Basa (Cameroon)"
hiju1238.csv,Africa047-AtlanticCongo-numerals-hiju1238-1.csv,hiju1238,hiju1238,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa-Yaunde (A40-70), Basaa (A.40), Basaa-Bakoko, Basaa-Hijuk, Hijuk"
numerals-bank1256-1.csv,Africa048-AtlanticCongo-numerals-bank1256-1.csv,bank1256,bank1256,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa-Yaunde (A40-70), Basaa (A.40), Abo-Barombi, Bankon"
numerals-baro1252-1.csv,Africa049-AtlanticCongo-numerals-baro1252-1.csv,baro1252,baro1252,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa-Yaunde (A40-70), Basaa (A.40), Abo-Barombi, Barombi"
bebe1248.csv,Africa050-AtlanticCongo-numerals-bebe1248-1.csv,bebe1248,bebe1248,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa-Yaunde (A40-70), Yaunde-Fang (A.70), Ewondo-Bebele, Bebele"
beti1249.csv,Africa051-AtlanticCongo-numerals-beti1249-1.csv,beti1249,ewon1239,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa-Yaunde (A40-70), Yaunde-Fang (A.70), Ewondo-Bebele, Ewondo"
bebi1242.csv,Africa052-AtlanticCongo-numerals-bebi1242-1.csv,bebi1242,bebi1242,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa-Yaunde (A40-70), Yaunde-Fang (A.70), Ewondo-Bebele, Bebil"
numerals-bulu1251-1.csv,Africa053-AtlanticCongo-numerals-bulu1251-1.csv,bulu1251,bulu1251,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa-Yaunde (A40-70), Yaunde-Fang (A.70), Bulu (Cameroon)"
numerals-fang1246-1.csv,Africa054-AtlanticCongo-numerals-fang1246-1.csv,fang1246,fang1246,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa-Yaunde (A40-70), Yaunde-Fang (A.70), Fang (Equatorial Guinea)"
numerals-eton1253-1.csv,Africa055-AtlanticCongo-numerals-eton1253-1.csv,eton1253,eton1253,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa-Yaunde (A40-70), Yaunde-Fang (A.70), Eton-Mengisa"
numerals-tsog1243-1.csv,Africa056-AtlanticCongo-numerals-tsog1243-1.csv,tsog1243,tsog1243,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, B10-B30, Okani (B.30), Southern Okani, Tsogo"
numerals-pinj1243-1.csv,Africa057-AtlanticCongo-numerals-pinj1243-1.csv,pinj1243,pinj1243,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, B10-B30, Okani (B.30), Northern Okani, Himba-Pinji, Pinji"
numerals-myen1241-1.csv,Africa058-AtlanticCongo-numerals-myen1241-1.csv,myen1241,myen1241,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, B10-B30, Myene"
nuba1241.csv,Africa059-AtlanticCongo-numerals-nuba1241-1.csv,nuba1241,nuba1241,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Mbam-Bubi, Mbam, Nubaca"
bati1251.csv,Africa060-AtlanticCongo-numerals-bati1251-1.csv,bati1251,bati1251,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Mbam-Bubi, Mbam, Nuclear Mbam, Bati-Mbure-Yambassa, Bati (Cameroon)"
numerals-yang1293-1.csv,Africa061-AtlanticCongo-numerals-yang1293-1.csv,yang1293,yang1293,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Mbam-Bubi, Mbam, Nuclear Mbam, Bati-Mbure-Yambassa, Mbure-Yambassa, Yambassa (A.60), Nuasue"
numerals-mmaa1238-1.csv,Africa062-AtlanticCongo-numerals-mmaa1238-1.csv,mmaa1238,mmaa1238,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Mbam-Bubi, Mbam, Nuclear Mbam, Bati-Mbure-Yambassa, Mbure-Yambassa, Yambassa (A.60), Mmala-Elip-Gunu, Mmaala"
numerals-elip1238-1.csv,Africa063-AtlanticCongo-numerals-elip1238-1.csv,elip1238,elip1238,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Mbam-Bubi, Mbam, Nuclear Mbam, Bati-Mbure-Yambassa, Mbure-Yambassa, Yambassa (A.60), Mmala-Elip-Gunu, Elip-Gunu, Elip"
numerals-nugu1242-1.csv,Africa064-AtlanticCongo-numerals-nugu1242-1.csv,nugu1242,nugu1242,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Mbam-Bubi, Mbam, Nuclear Mbam, Bati-Mbure-Yambassa, Mbure-Yambassa, Yambassa (A.60), Mmala-Elip-Gunu, Elip-Gunu, Nugunu (Cameroon)"
mbul1262.csv,Africa065-AtlanticCongo-numerals-mbul1262-1.csv,mbul1262,mbul1262,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Mbam-Bubi, Mbam, Nuclear Mbam, Bati-Mbure-Yambassa, Mbure-Yambassa, Mbule"
numerals-tuki1240-1.csv,Africa066-AtlanticCongo-numerals-tuki1240-1.csv,tuki1240,tuki1240,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Mbam-Bubi, Mbam, Nuclear Mbam, Sanaga-West Mbam (A.40), Sanaga (A.60), Tuki"
numerals-noma1260-1.csv,Africa067-AtlanticCongo-numerals-noma1260-1.csv,noma1260,noma1260,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Mbam-Bubi, Mbam, Nuclear Mbam, Sanaga-West Mbam (A.40), West Mbam (A.40), Mandi-Nyokon, Nomaande"
numerals-tune1261-1.csv,Africa068-AtlanticCongo-numerals-tune1261-1.csv,tune1261,tune1261,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Mbam-Bubi, Mbam, Nuclear Mbam, Sanaga-West Mbam (A.40), West Mbam (A.40), Mandi-Nyokon, Tunen"
numerals-tuot1238-1.csv,Africa069-AtlanticCongo-numerals-tuot1238-1.csv,tuot1238,tuot1238,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Mbam-Bubi, Mbam, Nuclear Mbam, Sanaga-West Mbam (A.40), West Mbam (A.40), Tuotomb"
numerals-yamb1252-1.csv,Africa070-AtlanticCongo-numerals-yamb1252-1.csv,yamb1252,yamb1252,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Mbam-Bubi, Mbam, Nuclear Mbam, Sanaga-West Mbam (A.40), West Mbam (A.40), Yambeta"
bang1350.csv,Africa071-AtlanticCongo-numerals-bang1350-1.csv,bang1350,bang1350,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Luban, Luba-Kaonde, Lubaic, Bangubangu-Kasai, Bangubangu"
luba1249.csv,Africa072-AtlanticCongo-numerals-luba1249-1.csv,luba1249,luba1249,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Luban, Luba-Kaonde, Lubaic, Bangubangu-Kasai, Luba-Lulua"
numerals-kany1247-1.csv,Africa073-AtlanticCongo-numerals-kany1247-1.csv,kany1247,kany1247,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Luban, Luba-Kaonde, Lubaic, Kanyok"
numerals-sang1331-1.csv,Africa074-AtlanticCongo-numerals-sang1331-1.csv,sang1331,sang1331,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Luban, Luba-Kaonde, Kaonde-Shaba-Sanga, Sanga (Democratic Republic of Congo)"
luba1250.csv,Africa075-AtlanticCongo-numerals-luba1250-1.csv,luba1250,luba1250,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Luban, Luba-Kaonde, Kaonde-Shaba-Sanga, Luba-Katanga"
numerals-song1303-1.csv,Africa076-AtlanticCongo-numerals-song1303-1.csv,song1303,song1303,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Luban, Luba-Kaonde, Songe"
binj1249.csv,Africa077-AtlanticCongo-numerals-binj1249-1.csv,binj1249,binj1249,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Luban, Mbagani-Lwalwa, Binji"
numerals-nkoy1244-1.csv,Africa078-AtlanticCongo-numerals-nkoy1244-1.csv,nkoy1244,nkoy1244,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Luban, Nkoya"
numerals-mbow1246-1.csv,Africa079-AtlanticCongo-numerals-mbow1246-1.csv,mbow1246,mbow1246,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Greater Luyana, Eastern Greater Luyana, Mbowe"
mbuk1240.csv,Africa080-AtlanticCongo-numerals-mbuk1240-1.csv,mbuk1240,mbuk1240,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Greater Luyana, Western Greater Luyana, Mashi-Mbukushi, Mbukushu"
numerals-sima1258-1.csv,Africa081-AtlanticCongo-numerals-sima1258-1.csv,sima1258,sima1258,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Greater Luyana, Western Greater Luyana, Simaaic, Simaa"
numerals-kimb1241-1.csv,Africa082-AtlanticCongo-numerals-kimb1241-1.csv,kimb1241,kimb1241,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Northern Njila, Mbundu (H.20), Kimbundu"
numerals-phen1239-1.csv,Africa083-AtlanticCongo-numerals-phen1239-1.csv,phen1239,phen1239,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Northern Njila, Mbala-Holu-Sondi (K.10), Holu (K.10), Pheende-Kwezo, Phende"
numerals-mbal1257-2.csv,Africa084-AtlanticCongo-numerals-mbal1257-2.csv,mbal1257,mbal1257,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Northern Njila, Mbala-Holu-Sondi (K.10), Mbala-Sondi, Mbala"
chok1245.csv,Africa085-AtlanticCongo-numerals-chok1245-1.csv,chok1245,chok1245,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Southern Njila, Chokwe-Lunda, Chokwe-Ngangela-Nyemba (K.20), Chokwe-Lwena, Chokwe"
luch1239.csv,Africa086-AtlanticCongo-numerals-luch1239-1.csv,luch1239,luch1239,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Southern Njila, Chokwe-Lunda, Chokwe-Ngangela-Nyemba (K.20), Ngangela-Nyemba, Luchazi"
numerals-nyem1238-1.csv,Africa087-AtlanticCongo-numerals-nyem1238-1.csv,nyem1238,nyem1238,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Southern Njila, Chokwe-Lunda, Chokwe-Ngangela-Nyemba (K.20), Ngangela-Nyemba, Nyemba"
numerals-mbun1249-1.csv,Africa088-AtlanticCongo-numerals-mbun1249-1.csv,mbun1249,mbun1249,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Southern Njila, Chokwe-Lunda, Chokwe-Ngangela-Nyemba (K.20), Ngangela-Nyemba, Mbwela-Mbunda, Mbunda"
numerals-lund1266-1.csv,Africa089-AtlanticCongo-numerals-lund1266-1.csv,lund1266,lund1266,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Southern Njila, Chokwe-Lunda, Ruund-Salampasu, Lunda-Ruund-Kete, Lunda"
diri1252.csv,Africa090-AtlanticCongo-numerals-diri1252-1.csv,diri1252,diri1252,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Southern Njila, Kunene, Kwangali-Diriku, Diriku-Shambyu"
kwan1273.csv,Africa091-AtlanticCongo-numerals-kwan1273-1.csv,kwan1273,kwan1273,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Njila, Southern Njila, Kunene, Kwangali-Diriku, Kwangali"
