"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work"
"19","numerals-gagn1235-1-seventy-1","numerals-gagn1235-1","Chan2019","seventy","70","ɡɵ̯̄ɺō.tɑ̄.yɛ́.kō.ɡ͡bɔ́","gorotayekogbo","","FALSE","(20⋅2)+10","","","EAT","(20⋅2)+10","(20⋅2)+10","abs(abs(20*2))+10",1,50,FALSE
"20","numerals-gagn1235-1-ninety-1","numerals-gagn1235-1","Chan2019","ninety","90","ɡɵ̯̄ɺō.mɔ̀ɔ̀nɔ̄.yɛ́.kō.ɡ͡bɔ́","goromoonoyekogbo","","FALSE","(20⋅2)+10","","","EAT","(20⋅2)+10","(20⋅2)+10","abs(abs(20*2))+10",1,50,FALSE
"21","numerals-kuwa1247-1-sixty-1","numerals-kuwa1247-1","Chan2019","sixty","60","kowaa wɔ̀rfɔlɛ̀","kowaaworfole","","FALSE","10⋅5","","(5””·2”)·5’+1’","EAT","10⋅5","10⋅5","abs(10*5)",1,50,FALSE
"22","numerals-neyo1238-1-twohundred-1","numerals-neyo1238-1","Chan2019","twohundred","200","ɡʊ̄lɪ́ kʊ́ɡ͡bá","gulikugba","","FALSE","(20⋅5)+10","",NA,"EAT","(20⋅5)+10","(20⋅5)+10","abs(abs(20*5))+10",1,110,FALSE
"23","numerals-nucl1418-1-two-1","numerals-nucl1418-1","Chan2019","two","2","sɔ̃́","so","","FALSE","3","",NA,"EAT","3","3","3",1,3,FALSE
"24","numerals-nucl1418-1-three-1","numerals-nucl1418-1","Chan2019","three","3","tã","ta","","FALSE","4","",NA,"EAT","4","4","4",1,4,FALSE
"25","numerals-nucl1418-1-four-1","numerals-nucl1418-1","Chan2019","four","4","hĩinyɛ","hiinye","","FALSE","5","",NA,"EAT","5","5","5",1,5,FALSE
"26","numerals-nyab1255-1-twothousand-1","numerals-nyab1255-1","Chan2019","twothousand","2000","dui1 mu4u1","dui1mu4u1","( 400 x 5 )","FALSE","400⋅20","",NA,"EAT","400⋅20","400⋅20","abs(400*20)",1,8000,FALSE
"27","numerals-pyek1235-1-eleven-1","numerals-pyek1235-1","Chan2019","eleven","11","pù tǔ ó dò","putuodo","('ten plus one')","FALSE","10{+}1","",NA,"EAT","101","101","101",1,101,FALSE
"28","numerals-pyek1235-1-twelve-1","numerals-pyek1235-1","Chan2019","twelve","12","pù tǔ ó hʋɛ̃́","putuohve","('ten plus two')","FALSE","10{+}2","",NA,"EAT","102","102","102",1,102,FALSE
"29","numerals-pyek1235-1-thirteen-1","numerals-pyek1235-1","Chan2019","thirteen","13","pù tǔ ó tā","putuota","('ten plus three')","FALSE","10{+}3","",NA,"EAT","103","103","103",1,103,FALSE
"30","numerals-pyek1235-1-fourteen-1","numerals-pyek1235-1","Chan2019","fourteen","14","pù tǔ ó hɛ̃̀","putuohe","('ten plus four')","FALSE","10{+}4","",NA,"EAT","104","104","104",1,104,FALSE
"31","numerals-pyek1235-1-forty-1","numerals-pyek1235-1","Chan2019","forty","40","wlɩ̀ hʋɛ̃́","wlihve","(litː 'twenties two')","FALSE","20′{PLU?}+2","20’ u > i - vowel raising",NA,"EAT","20′+2","20+2","20+2",1,22,FALSE
"32","numerals-soub1242-1-seventy-1","numerals-soub1242-1","Chan2019","seventy","70","ɡwlì tá kʊ́ɡ͡ba","gwlitakugba","","FALSE","(20′⋅1)+10","",NA,"EAT","(20′⋅1)+10","(20⋅1)+10","abs(abs(20*1))+10",1,30,FALSE
"33","numerals-soub1242-1-ninety-1","numerals-soub1242-1","Chan2019","ninety","90","ɡwlì mʊ̄wana kʊ́ɡ͡ba","gwlimuwanakugba","","FALSE","(20⋅1)+10","",NA,"EAT","(20⋅1)+10","(20⋅1)+10","abs(abs(20*1))+10",1,30,FALSE
"34","numerals-taju1238-1-ninety-1","numerals-taju1238-1","Chan2019","ninety","90","quilar-siɛrdoe","quilarsierdoe","","FALSE","10′⋅{LIG}[10]−1","",NA,"EAT","10′⋅[10]−1","10⋅10−1","abs(10*10)-1",1,99,FALSE
"35","numerals-tepo1239-1-eight-2","numerals-tepo1239-1","Chan2019","eight","8","yèhɛ̃̀yèhɛ̃̀","yeheyehe","( 2 x 4 )","FALSE","4′⋅4′","4’ = prefix “ye”",NA,"EAT","4′⋅4′","4⋅4","abs(4*4)",1,16,FALSE
"36","numerals-tepo1239-1-hundred-2","numerals-tepo1239-1","Chan2019","hundred","100","hɔ̀trʊ̄","hotru","","FALSE","(20⋅5)+{+}10","",NA,"EAT","(20⋅5)+10","(20⋅5)+10","abs(abs(20*5))+10",1,110,FALSE
"37","numerals-yoco1235-1-thousand-1","numerals-yoco1235-1","Chan2019","thousand","1000","ɡólí ɛŋɡ͡bɪ́a tʃɪ́ kóɡ͡ba","golienggbiatsikogba","( 20 x 5 x 10 )","FALSE","(20⋅5)+{and}10","",NA,"EAT","(20⋅5)+10","(20⋅5)+10","abs(abs(20*5))+10",1,110,FALSE
"38","numerals-yoco1235-1-twothousand-1","numerals-yoco1235-1","Chan2019","twothousand","2000","ɡólí ɛŋɡ͡bɪ́a tʃɪ́ ɡóló","golienggbiatsigolo","( 20 x 5 x 20 )","FALSE","(20⋅5)+{and}20","",NA,"EAT","(20⋅5)+20","(20⋅5)+20","abs(abs(20*5))+20",1,120,FALSE
"39","aghe1239-1-7-1","aghe1239-1",NA,"seven","7","sə̀ˠàⁿbə̄ˠā","sə̀ˠàⁿbə̄ˠā",NA,"FALSE","3′⋅2{?}","5 = 3?","5 + 2","EAT","3′⋅2","3⋅2","abs(3*2)",1,6,FALSE
"40","aghe1239-1-70-1","aghe1239-1",NA,"seventy","70","ŋ̩́ɣə́msə̀ɣàⁿbə̄ˠā","ŋ̩́ɣə́msə̀ɣàⁿbə̄ˠā",NA,"FALSE","10⋅(3′⋅2{?})",NA,NA,"EAT","10⋅(3′⋅2)","10⋅(3⋅2)","10*abs(abs(3*2))",1,60,FALSE
"41","aghe1239-1-2000-1","aghe1239-1",NA,"two thousand","2000","tə́kámtə́bə̀ˠà","tə́kámtə́bə̀ˠà",NA,"FALSE","100⋅2",NA,"1000 · 2","EAT","100⋅2","100⋅2","abs(100*2)",1,200,FALSE
"42","aghe1239-2-7-1","aghe1239-2",NA,"seven","7","sɨ̀ɣàmbɨ̀ɣà","sɨ̀ɣàmbɨ̀ɣà",NA,"FALSE","3⋅2","5+2","5 + 2","EAT","3⋅2","3⋅2","abs(3*2)",1,6,FALSE
"43","aghe1239-2-17-1","aghe1239-2",NA,"seventeen","17","é-ʔɣɨ́m àɣɛ̀ zě sɨ̀ɣàmbɨ̀ɣà","é-ʔɣɨ́m àɣɛ̀ zě sɨ̀ɣàmbɨ̀ɣà",NA,"FALSE","10+{+}(3′⋅2{?})",NA,"10 + (x + 2)","EAT","10+(3′⋅2)","10+(3⋅2)","10+abs(abs(3*2))",1,16,FALSE
"44","aghe1239-2-70-1","aghe1239-2",NA,"seventy","70","ŋ́-ʔɣɨ́m ǹ-sɨ̀ɣàmbɨ̀ɣà","ŋ́-ʔɣɨ́m ǹ-sɨ̀ɣàmbɨ̀ɣà",NA,"FALSE","10′⋅(3′⋅2{?})",NA,NA,"EAT","10′⋅(3′⋅2)","10⋅(3⋅2)","10*abs(abs(3*2))",1,60,FALSE
"45","asut1235-1-2-1","asut1235-1",NA,"two","2","mbiri","mbiri",NA,"FALSE","3",NA,"3","EAT","3","3","3",1,3,FALSE
"46","baka1273-1-17-1","baka1273-1",NA,"seventeen","17","dyòòm nɛ̀ sàámbá","dyòòm nɛ̀ sàámbá",NA,"FALSE","5′+2′",NA,"10 + (5 + 2)","EAT","5′+2′","5+2","5+2",1,7,FALSE
"47","bekw1242-1-20-1","bekw1242-1",NA,"twenty","20","mɛkǎm-mɛmbá","mɛkǎm-mɛmbá",NA,"FALSE","{PLU}10+{+}{PLU}5",NA,"10 · 2","EAT","10+5","10+5","10+5",1,15,FALSE
"48","bemb1257-1-19-1","bemb1257-1",NA,"nineteen","19","íkúmí nà pààbúlá","íkúmí nà pààbúlá",NA,"FALSE","{CL″}10+{+}0",NA,NA,"EAT","10+0","10+0","10+0",1,10,FALSE
"49","bemb1257-1-100-1","bemb1257-1",NA,"one hundred","100","ùmwándá ùmò","ùmwándá ùmò",NA,"FALSE","{CL″⁗}1000⋅{CL″⁗}1",NA,NA,"EAT","1000⋅1","1000⋅1","abs(1000*1)",1,1000,FALSE
"50","bena1262-2-100-1","bena1262-2",NA,"one hundred","100","liɡana limwi","liɡana limwi",NA,"FALSE","{CL″}10⋅{CL″}1",NA,NA,"EAT","10⋅1","10⋅1","abs(10*1)",1,10,FALSE
"51","bena1262-2-200-1","bena1262-2",NA,"two hundred","200","maɡana ɡavili","maɡana ɡavili",NA,"FALSE","{CL″}10⋅{CL″″}2",NA,NA,"EAT","10⋅2","10⋅2","abs(10*2)",1,20,FALSE
"52","bend1258-1-80-1","bend1258-1",NA,"eighty","80","makumí munanɛ","makumí munanɛ",NA,"FALSE","{CL‴}10⋅{CL′}4′+4",NA,NA,"EAT","10⋅4′+4","10⋅4+4","abs(10*4)+4",1,44,FALSE
"53","bend1258-1-1000-1","bend1258-1",NA,"one thousand","1000","elufu ɟimʷi","elufu ɟimʷi",NA,"FALSE","100′⋅1′","(elufu < Swahili /Arabic )",NA,"EAT","100′⋅1′","100⋅1","abs(100*1)",1,100,FALSE
"54","bend1258-2-80-1","bend1258-2",NA,"eighty","80","makumí múnaané","makumí múnaané",NA,"FALSE","{CL‴}10⋅{CL′}4′+4",NA,NA,"EAT","10⋅4′+4","10⋅4+4","abs(10*4)+4",1,44,FALSE
"55","bend1258-3-1000-1","bend1258-3",NA,"one thousand","1000","álfu ɟimwí","álfu ɟimwí",NA,"FALSE","100⋅{CL″″‴}1",NA,NA,"EAT","100⋅1","100⋅1","abs(100*1)",1,100,FALSE
"56","bend1258-3-2000-1","bend1258-3",NA,"two thousand","2000","élfu iβílí","élfu iβílí",NA,"FALSE","100⋅{CL″‴}1",NA,NA,"EAT","100⋅1","100⋅1","abs(100*1)",1,100,FALSE
"57","bera1259-2-80-1","bera1259-2",NA,"eighty","80","makumi munani","makumi munani",NA,"FALSE","{CL}10⋅{CL}4′+4",NA,NA,"EAT","10⋅4′+4","10⋅4+4","abs(10*4)+4",1,44,FALSE
"58","bolo1263-1-12-1","bolo1263-1",NA,"twelve","12","ɡyomí líɓále","ɡyomí líɓále",NA,"FALSE","10+{CL′?}1","merging of classifier and ligature",NA,"EAT","10+1","10+1","10+1",1,11,FALSE
"59","bolo1263-1-13-1","bolo1263-1",NA,"thirteen","13","ɡyomí la íyáto","ɡyomí la íyáto",NA,"FALSE","10+{CL′?}2",NA,NA,"EAT","10+2","10+2","10+2",1,12,FALSE
"60","bolo1263-1-14-1","bolo1263-1",NA,"fourteen","14","ɡyomí linéé","ɡyomí linéé",NA,"FALSE","10+{CL′?}3",NA,NA,"EAT","10+3","10+3","10+3",1,13,FALSE
"61","bolo1263-1-15-1","bolo1263-1",NA,"fifteen","15","ɡyomí litáno","ɡyomí litáno",NA,"FALSE","10+{CL′?}4",NA,NA,"EAT","10+4","10+4","10+4",1,14,FALSE
"62","bolo1263-1-16-1","bolo1263-1",NA,"sixteen","16","ɡyomí liyámano","ɡyomí liyámano",NA,"FALSE","10+{CL′?}5",NA,NA,"EAT","10+5","10+5","10+5",1,15,FALSE
"63","bolo1263-1-17-1","bolo1263-1",NA,"seventeen","17","ɡyomí la sambo","ɡyomí la sambo",NA,"FALSE","10+{+}6",NA,NA,"EAT","10+6","10+6","10+6",1,16,FALSE
"64","bolo1263-1-18-1","bolo1263-1",NA,"eighteen","18","ɡyomí la monanáé","ɡyomí la monanáé",NA,"FALSE","10+{+}7",NA,NA,"EAT","10+7","10+7","10+7",1,17,FALSE
"65","bolo1263-1-19-1","bolo1263-1",NA,"nineteen","19","ɡyomí la liɓuá","ɡyomí la liɓuá",NA,"FALSE","10+{+}{CL′?}7",NA,NA,"EAT","10+7","10+7","10+7",1,17,FALSE
"66","bolo1263-1-22-1","bolo1263-1",NA,"twenty-two","22","makáɓálé líɓale","makáɓálé líɓale",NA,"FALSE","(10′⋅2)+{CL′?}1",NA,NA,"EAT","(10′⋅2)+1","(10⋅2)+1","abs(abs(10*2))+1",1,21,FALSE
"67","buku1249-1-13-1","buku1249-1",NA,"thirteen","13","kúmi ná táátu","kúmi ná táátu",NA,"FALSE","10+{+}2",NA,NA,"EAT","10+2","10+2","10+2",1,12,FALSE
"68","buku1249-1-14-1","buku1249-1",NA,"fourteen","14","kúmi ná yine","kúmi ná yine",NA,"FALSE","10+{+}3",NA,NA,"EAT","10+3","10+3","10+3",1,13,FALSE
"69","buku1249-1-15-1","buku1249-1",NA,"fifteen","15","kúmi ná tááno","kúmi ná tááno",NA,"FALSE","10+{+}4",NA,NA,"EAT","10+4","10+4","10+4",1,14,FALSE
"70","chig1238-1-20-1","chig1238-1",NA,"twenty","20","(mɑ̀kùmí) ɑ̀ːβìɾí","(mɑ̀kùmí) ɑ̀ːβìɾí",NA,"FALSE","{CL″}10+{+}{PLU}2",NA,"10·2","EAT","10+2","10+2","10+2",1,12,FALSE
"71","chig1238-1-21-1","chig1238-1",NA,"twenty-one","21","ɑ̀ːβíɾì néːmʷè","ɑ̀ːβíɾì néːmʷè",NA,"FALSE","{PLU}2+{+}1",NA,"(10·2)+1","EAT","2+1","2+1","2+1",1,3,FALSE
"72","chig1238-1-22-1","chig1238-1",NA,"twenty-two","22","ɑ̀ːβíɾí nèⁱβíɾí","ɑ̀ːβíɾí nèⁱβíɾí",NA,"FALSE","{PLU}2+{+}{CL}2",NA,"(10·2)+2","EAT","2+2","2+2","2+2",1,4,FALSE
"73","chig1238-1-23-1","chig1238-1",NA,"twenty-three","23","ɑ̀ːβíɾí nèⁱʃɑ̀tù","ɑ̀ːβíɾí nèⁱʃɑ̀tù",NA,"FALSE","{PLU}2+{+}{CL}3",NA,"(10·2)+3","EAT","2+3","2+3","2+3",1,5,FALSE
"74","chig1238-1-24-1","chig1238-1",NA,"twenty-four","24","ɑ̀ːβíɾí néⁱnɑ́","ɑ̀ːβíɾí néⁱnɑ́",NA,"FALSE","{PLU}2+{+}{CL}4",NA,"(10·2)+4","EAT","2+4","2+4","2+4",1,6,FALSE
"75","chig1238-1-25-1","chig1238-1",NA,"twenty-five","25","ɑ̀ːβíɾí nèⁱtɑ̀ːnó","ɑ̀ːβíɾí nèⁱtɑ̀ːnó",NA,"FALSE","{PLU}2+{+}{CL}5",NA,"(10·2)+5","EAT","2+5","2+5","2+5",1,7,FALSE
"76","chig1238-1-26-1","chig1238-1",NA,"twenty-six","26","ɑ̀ːβíɾí nɑ̀mùkɑ̂ːɡɑ̀","ɑ̀ːβíɾí nɑ̀mùkɑ̂ːɡɑ̀",NA,"FALSE","{PLU}2+{+}{CL″}6",NA,"(10·2)+(5+1)","EAT","2+6","2+6","2+6",1,8,FALSE
"77","chig1238-1-27-1","chig1238-1",NA,"twenty-seven","27","ɑ̀ːβíɾí nɑ̀mùʃɑ́ˑⁿʒú","ɑ̀ːβíɾí nɑ̀mùʃɑ́ˑⁿʒú",NA,"FALSE","{PLU}2+{+}{CL″}7",NA,"(10·2)+(5+2)","EAT","2+7","2+7","2+7",1,9,FALSE
"78","chig1238-1-28-1","chig1238-1",NA,"twenty-eight","28","ɑ̀ːβíɾí nɑ̀mùnɑ́ːnɑ̀","ɑ̀ːβíɾí nɑ̀mùnɑ́ːnɑ̀",NA,"FALSE","{PLU}2+{+}{CL″}4+4",NA,"(10·2)+(5+3)","EAT","2+4+4","2+4+4","2+4+4",1,10,FALSE
"79","chig1238-1-29-1","chig1238-1",NA,"twenty-nine","29","ɑ̀ːβíɾí nɑ̀mʷèˑⁿdɑ̀","ɑ̀ːβíɾí nɑ̀mʷèˑⁿdɑ̀",NA,"FALSE","{PLU}2+{+}{CL″}9",NA,"(10·2)+(5+4)","EAT","2+9","2+9","2+9",1,11,FALSE
"80","chig1238-1-30-1","chig1238-1",NA,"thirty","30","ɑ̀ːʃɑ̀tú","ɑ̀ːʃɑ̀tú",NA,"FALSE","{PLU}3","x likely plural marker and ten is ellided","x3","EAT","3","3","3",1,3,FALSE
"81","chig1238-1-40-1","chig1238-1",NA,"forty","40","ɑ́ːnɑ̀","ɑ́ːnɑ̀",NA,"FALSE","{PLU}4",NA,"x4","EAT","4","4","4",1,4,FALSE
"82","chig1238-1-50-1","chig1238-1",NA,"fifty","50","ɑ̀ːtɑ̀ːnó","ɑ̀ːtɑ̀ːnó",NA,"FALSE","{PLU}5",NA,"x5","EAT","5","5","5",1,5,FALSE
"83","chig1238-1-60-1","chig1238-1",NA,"sixty","60","ŋ̩kɑ̂ːɡɑ̀","ŋ̩kɑ̂ːɡɑ̀",NA,"FALSE","{PLU′}6′",NA,"x·(5+1)","EAT","6′","6","6",1,6,FALSE
"84","chig1238-1-70-1","chig1238-1",NA,"seventy","70","n̩sɑ̀ˑⁿʒú","n̩sɑ̀ˑⁿʒú",NA,"FALSE","{PLU′}7",NA,"x·(5+2)","EAT","7","7","7",1,7,FALSE
"85","chig1238-1-80-1","chig1238-1",NA,"eighty","80","kìnɑ̂ːnɑ̀","kìnɑ̂ːnɑ̀",NA,"FALSE","{?}4+4",NA,"x·(5+3)","EAT","4+4","4+4","4+4",1,8,FALSE
"86","chig1238-1-90-1","chig1238-1",NA,"ninety","90","kʸêˑⁿdɑ̀","kʸêˑⁿdɑ̀",NA,"FALSE","{CL}9",NA,"x·(5+4)","EAT","9","9","9",1,9,FALSE
"87","chok1245-1-30-1","chok1245-1",NA,"thirty","30","mákumi atátù","mákumi atátù",NA,"FALSE","{PLU}10+{PLU}3",NA,"10·3","EAT","10+3","10+3","10+3",1,13,FALSE
"88","chok1245-1-40-1","chok1245-1",NA,"forty","40","mákumi àwánà","mákumi àwánà",NA,"FALSE","{PLU}10+{PLU}4",NA,"10·4","EAT","10+4","10+4","10+4",1,14,FALSE
"89","chok1245-1-50-1","chok1245-1",NA,"fifty","50","mákumi àtànò","mákumi àtànò",NA,"FALSE","{PLU}10+{PLU}5",NA,"10·5","EAT","10+5","10+5","10+5",1,15,FALSE
"90","chok1245-1-60-1","chok1245-1",NA,"sixty","60","mákumi sàmbàno","mákumi sàmbàno",NA,"FALSE","{PLU}10+6",NA,"10·6","EAT","10+6","10+6","10+6",1,16,FALSE
"91","chok1245-1-70-1","chok1245-1",NA,"seventy","70","mákumi chimbyàlì","mákumi chimbyàlì",NA,"FALSE","{PLU}10+5′+2′",NA,"10·(5+2)","EAT","10+5′+2′","10+5+2","10+5+2",1,17,FALSE
"92","chok1245-1-80-1","chok1245-1",NA,"eighty","80","mákumi nàkè","mákumi nàkè",NA,"FALSE","{PLU}10+8",NA,"10·8","EAT","10+8","10+8","10+8",1,18,FALSE
"93","chok1245-1-90-1","chok1245-1",NA,"ninety","90","mákumi lívwe","mákumi lívwe",NA,"FALSE","{PLU}10+[10]−1′",NA,"10·(x-1)","EAT","10+[10]−1′","10+10−1","10+abs(10-1)",1,19,FALSE
"94","chuk1274-1-15-2","chuk1274-1",NA,"fifteen","15","ithano","ithano",NA,"FALSE","{CL}5′",NA,"{CL}5’","EAT","5′","5","5",1,5,FALSE
"95","chuk1274-1-16-2","chuk1274-1",NA,"sixteen","16","ithathatû","ithathatû",NA,"FALSE","{CL}3′+3","6 = 2x3?","{CL}6’","EAT","3′+3","3+3","3+3",1,6,FALSE
"96","chuk1274-1-18-1","chuk1274-1",NA,"eighteen","18","îkûmi na inyanya","îkûmi na inyanya",NA,"FALSE","{CL}10+{+}{CL′}7",NA,"10+(x4)","EAT","10+7","10+7","10+7",1,17,FALSE
"97","chuk1274-1-19-1","chuk1274-1",NA,"nineteen","19","îkûmi na kenda","îkûmi na kenda",NA,"FALSE","{CL}10+{+}{CL′}4+4",NA,"10+9","EAT","10+4+4","10+4+4","10+4+4",1,18,FALSE
"98","chuk1274-1-25-2","chuk1274-1",NA,"twenty-five","25","ithano","ithano",NA,"FALSE","{CL}5′",NA,"{CL}5","EAT","5′","5","5",1,5,FALSE
"99","chuk1274-1-26-2","chuk1274-1",NA,"twenty-six","26","ithathatû","ithathatû",NA,"FALSE","{CL}3′+3",NA,"(10·2)+(x3)","EAT","3′+3","3+3","3+3",1,6,FALSE
"100","chuk1274-1-50-2","chuk1274-1",NA,"fifty","50","ithano","ithano",NA,"FALSE","{CL}5",NA,"5","EAT","5","5","5",1,5,FALSE
"101","chuk1274-1-60-2","chuk1274-1",NA,"sixty","60","ithathatû","ithathatû",NA,"FALSE","{CL}3′⋅3",NA,"x3","EAT","3′⋅3","3⋅3","abs(3*3)",1,9,FALSE
"102","chuk1274-1-60-1","chuk1274-1",NA,"sixty","60","mĩronɡo itatatû","mĩronɡo itatatû",NA,"FALSE","{CL″}10⋅{CL}3′+3″",NA,"10·(x3)","EAT","10⋅3′+3″","10⋅3+3","abs(10*3)+3",1,33,FALSE
"103","chuk1274-1-80-1","chuk1274-1",NA,"eighty","80","mĩronɡo inyanya","mĩronɡo inyanya",NA,"FALSE","{CL″}10⋅{CL}4+4",NA,"10·(x4)","EAT","10⋅4+4","10⋅4+4","abs(10*4)+4",1,44,FALSE
"104","digo1243-1-7-1","digo1243-1",NA,"seven","7","sabaa","sabaa",NA,"FALSE","8","( < Sw.)",NA,"EAT","8","8","8",1,8,FALSE
"105","digo1243-1-14-1","digo1243-1",NA,"fourteen","14","kumi nanɛ","kumi nanɛ",NA,"FALSE","10+{+}4′+4",NA,"10+4","EAT","10+4′+4","10+4+4","10+4+4",1,18,FALSE
"106","digo1243-1-19-1","digo1243-1",NA,"nineteen","19","kumi na tisa","kumi na tisa",NA,"FALSE","10+{+}5",NA,"10·9","EAT","10+5","10+5","10+5",1,15,FALSE
"107","digo1243-1-20-2","digo1243-1",NA,"twenty","20","miɾɔŋɡɔ miiɾi","miɾɔŋɡɔ miiɾi",NA,"FALSE","{CL′}10″+{CL′}2","( old)","20·1","EAT","10″+2","10+2","10+2",1,12,FALSE
"108","digo1243-1-30-2","digo1243-1",NA,"thirty","30","miɾɔŋɡɔ tãhu","miɾɔŋɡɔ tãhu",NA,"FALSE","{CL′}10″+{CL′}3",NA,"10·3","EAT","10″+3","10+3","10+3",1,13,FALSE
"109","digo1243-1-40-2","digo1243-1",NA,"forty","40","miɾɔŋɡɔ minɛ","miɾɔŋɡɔ minɛ",NA,"FALSE","{CL′}10″+{CL′}4",NA,"10·4","EAT","10″+4","10+4","10+4",1,14,FALSE
"110","digo1243-1-50-2","digo1243-1",NA,"fifty","50","miɾɔŋɡɔ mitsanɔ","miɾɔŋɡɔ mitsanɔ",NA,"FALSE","{CL′}10″+{CL′}5",NA,"10·5","EAT","10″+5","10+5","10+5",1,15,FALSE
