"","Glottocode","ID","is.glossed"
"252","asur1254","numerals-asur1254-1",TRUE
"253","asut1235","numerals-asut1235-1",TRUE
"254","atam1240","numerals-atam1240-1",TRUE
"255","atay1247","numerals-atay1247-1",TRUE
"256","atem1241","barlowpacific-atem1241-2",TRUE
"257","athp1241","numerals-athp1241-1",TRUE
"258","atoh1238","barlowpacific-atoh1238-3",TRUE
"259","aton1241","numerals-aton1241-1",TRUE
"260","atsu1245","numerals-atsu1245-1",TRUE
"261","atti1239","numerals-atti1239-1",TRUE
"262","atzi1235","numerals-atzi1235-1",TRUE
"263","auhe1237","numerals-auhe1237-1",TRUE
"264","aulu1238","numerals-aulu1238-1",TRUE
"265","aust1304","numerals-aust1304-1",TRUE
"266","auuu1241","numerals-auuu1241-1",TRUE
"267","auve1239","numerals-auve1239-1",TRUE
"268","auwe1239","barlowpacific-auwe1239-1",TRUE
"269","auye1238","numerals-auye1238-1",TRUE
"270","avac1239","numerals-avac1239-1",TRUE
"271","avar1256","numerals-avar1256-1",TRUE
"272","avat1244","numerals-avat1244-1",TRUE
"273","avau1237","numerals-avau1237-2",TRUE
"274","avik1243","numerals-avik1243-1",TRUE
"275","avok1242","numerals-avok1242-1",TRUE
"276","awab1243","bowernnumerals-Awabak",TRUE
"277","awac1239","numerals-awac1239-1",TRUE
"278","awad1243","numerals-awad1243-1",TRUE
"279","awad1244","numerals-awad1244-2",TRUE
"280","awak1250","numerals-awak1250-1",TRUE
"281","awap1236","barlowpacific-awap1236-1",TRUE
"282","awar1248","numerals-awar1248-1",TRUE
"283","awar1249","barlowpacific-awar1249-2",TRUE
"284","awbo1238","barlowpacific-awbo1238-1",TRUE
"285","awer1241","numerals-awer1241-1",TRUE
"286","awet1244","numerals-awet1244-1",TRUE
"287","awia1234","numerals-awia1234-1",TRUE
"288","awin1248","numerals-awin1248-1",TRUE
"289","awiy1238","barlowpacific-awiy1238-1",TRUE
"290","awtu1239","barlowpacific-awtu1239-1",TRUE
"291","awun1245","barlowpacific-awun1245-1",TRUE
"292","awut1241","numerals-awut1241-1",TRUE
"293","awuu1235","numerals-awuu1235-1",TRUE
"294","awyi1241","barlowpacific-awyi1241-5",TRUE
"295","axam1237","numerals-axam1237-1",TRUE
"296","axiy1235","numerals-axiy1235-1",TRUE
"297","ayer1245","numerals-ayer1245-1",TRUE
"298","ayiw1239","numerals-ayiw1239-1",TRUE
"299","ayor1240","numerals-ayor1240-2",TRUE
