"","NumberValue","Gloss.math","n","prop","number.strategies"
"110","10000000000","10⋅1000000000",13,0.866666666666667,3
"111","10000000000","10⋅1000⋅1000000",1,0.0666666666666667,3
"112","100000000000","100⋅1000000000",13,0.866666666666667,3
"113","100000000000","100⋅1000⋅1000000",1,0.0666666666666667,3
"114","100000000000","10⋅10000000000",1,0.0666666666666667,3
"115","1001","1000+1",5,1,1
"116","1002","1000+2",1,1,1
"117","101","100+1",21,0.91304347826087,3
"118","101","10⋅10+1",1,0.0434782608695652,3
"119","101","20⋅5+1",1,0.0434782608695652,3
"120","102","100+2",3,0.75,2
"121","102","10⋅10+2",1,0.25,2
"122","103","100+3",4,1,1
"123","108","100+8",1,1,1
"124","11","(2−1)⋅10+1",1,0.000268528464017186,22
"125","11","1+(2−1)⋅10",1,0.000268528464017186,22
"126","11","1+10",597,0.16031149301826,22
"127","11","1+5+5",3,0.000805585392051557,22
"128","11","10+1",2739,0.735499462943072,22
"129","11","11",90,0.0241675617615467,22
"130","11","12−1",1,0.000268528464017186,22
"131","11","12−4+3",2,0.000537056928034372,22
"132","11","1−12",1,0.000268528464017186,22
"133","11","2+2+2+2+2+1",1,0.000268528464017186,22
"134","11","2+2+2+2+3",1,0.000268528464017186,22
"135","11","2⋅5+1",66,0.0177228786251343,22
"136","11","4⋅2+3",8,0.00214822771213749,22
"137","11","5+2+2+2",1,0.000268528464017186,22
"138","11","5+5+1",48,0.0128893662728249,22
"139","11","5+6",1,0.000268528464017186,22
"140","11","5⋅2+1",154,0.0413533834586466,22
"141","11","6+2+2+1",1,0.000268528464017186,22
"142","11","6+5",4,0.00107411385606874,22
"143","11","8+2+1",1,0.000268528464017186,22
"144","11","8+3",2,0.000537056928034372,22
"145","11","9+2",1,0.000268528464017186,22
"146","110","100+10",4,0.5,5
"147","110","10⋅10+10",1,0.125,5
"148","110","20⋅5+10",1,0.125,5
"149","110","2⋅5⋅10+10",1,0.125,5
"150","110","5⋅20+10",1,0.125,5
"151","111","100+1+10",1,0.25,2
"152","111","100+10+1",3,0.75,2
"153","12","(2−1)⋅10+2",1,0.000279955207166853,22
"154","12","1+11",1,0.000279955207166853,22
"155","12","10+1+1",1,0.000279955207166853,22
"156","12","10+2",2656,0.743561030235162,22
"157","12","11+1",1,0.000279955207166853,22
"158","12","12",90,0.0251959686450168,22
"159","12","2+(2−1)⋅10",1,0.000279955207166853,22
"160","12","2+10",568,0.159014557670773,22
"161","12","2+2+2+2+2+2",2,0.000559910414333707,22
"162","12","2+5+5",3,0.00083986562150056,22
"163","12","2⋅(3+3)",1,0.000279955207166853,22
"164","12","2⋅5+2",61,0.0170772676371781,22
"165","12","2⋅6",5,0.00139977603583427,22
"166","12","4⋅2+4",1,0.000279955207166853,22
"167","12","4⋅3",7,0.00195968645016797,22
"168","12","5+2+2+3",1,0.000279955207166853,22
"169","12","5+5+2",40,0.0111982082866741,22
"170","12","5+7",1,0.000279955207166853,22
"171","12","5⋅2+2",128,0.0358342665173572,22
"172","12","6+6",1,0.000279955207166853,22
"173","12","8+2+2",1,0.000279955207166853,22
"174","12","8+4",1,0.000279955207166853,22
"175","120","(5+1)⋅20",1,0.0196078431372549,15
"176","120","100+(2⋅10)",3,0.0588235294117647,15
"177","120","100+10⋅2",3,0.0588235294117647,15
"178","120","100+20",21,0.411764705882353,15
"179","120","100+2⋅10",10,0.196078431372549,15
"180","120","100+2⋅10+0",1,0.0196078431372549,15
"181","120","100⋅1+2⋅10",2,0.0392156862745098,15
"182","120","10⋅10+2⋅10",1,0.0196078431372549,15
"183","120","20+5⋅20",1,0.0196078431372549,15
"184","120","20⋅(5+1)",1,0.0196078431372549,15
"185","120","20⋅5+20",2,0.0392156862745098,15
"186","120","40⋅3",1,0.0196078431372549,15
"187","120","5⋅20+20",2,0.0392156862745098,15
"188","120","60⋅2",1,0.0196078431372549,15
"189","120","6⋅20",1,0.0196078431372549,15
"190","1200","3⋅400",1,1,1
"191","123","100+10⋅2+3",2,1,1
"192","1296","1296",5,1,1
"193","13","(2−1)⋅10+3",1,0.000289184499710815,25
"194","13","1+12",1,0.000289184499710815,25
"195","13","10+1+2",1,0.000289184499710815,25
"196","13","10+2+1",13,0.0037593984962406,25
"197","13","10+3",2574,0.744360902255639,25
"198","13","12+1",12,0.00347021399652979,25
"199","13","13",6,0.00173510699826489,25
