ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,Glosser,Gloss.clean,Gloss.math
mpuo1241-2-24-1,mpuo1241-2,NA,24,NA,akǔm mwɔl ɪːna,akǔm mwɔl ɪːna,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}4,NA,NA,EAT,(10⋅2)+[LIG]4,(10⋅2)+LIG4
mpuo1241-2-25-1,mpuo1241-2,NA,25,NA,akǔm mwɔl ɪːtân,akǔm mwɔl ɪːtân,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}5,NA,NA,EAT,(10⋅2)+[LIG]5,(10⋅2)+LIG5
mpuo1241-2-26-1,mpuo1241-2,NA,26,NA,akǔm mwɔl ɪːsâm,akǔm mwɔl ɪːsâm,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}6,NA,NA,EAT,(10⋅2)+[LIG]6,(10⋅2)+LIG6
mpuo1241-2-27-1,mpuo1241-2,NA,27,NA,akǔm mwɔl ɪnsámwâːn,akǔm mwɔl ɪnsámwâːn,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}6′+1′,NA,NA,EAT,(10⋅2)+[LIG]6′+1′,(10⋅2)+LIG6+1
mpuo1241-2-28-1,mpuo1241-2,NA,28,NA,akǔm mwɔl ɪːnán,akǔm mwɔl ɪːnán,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}[4]+4′,NA,NA,EAT,(10⋅2)+[LIG][4]+4′,(10⋅2)+LIG4+4
mpuo1241-2-29-1,mpuo1241-2,NA,29,NA,akǔm mwɔl ɪːwa,akǔm mwɔl ɪːwa,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}9,NA,NA,EAT,(10⋅2)+[LIG]9,(10⋅2)+LIG9
mpuo1241-3-7-1,mpuo1241-3,NA,7,NA,nsámwɛ̂ːn,nsámwɛ̂ːn,NA,NA,6+[LIG]1′,NA,NA,EAT,6+[LIG]1′,6+LIG1
mpuo1241-3-22-1,mpuo1241-3,NA,22,NA,makwǐm mɔːl ɛ yɔ́ːl,makwǐm mɔːl ɛ yɔ́ːl,NA,NA,({CL′}10⋅{CL″}2)+[LIG]2,NA,NA,EAT,(10⋅2)+[LIG]2,(10⋅2)+LIG2
mpuo1241-3-23-1,mpuo1241-3,NA,23,NA,makwǐm mɔːl ɛ ɛtár,makwǐm mɔːl ɛ ɛtár,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}3,NA,NA,EAT,(10⋅2)+[LIG]3,(10⋅2)+LIG3
mpuo1241-3-24-1,mpuo1241-3,NA,24,NA,makwǐm mɔːl ɛ ɛ́na,makwǐm mɔːl ɛ ɛ́na,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}4,NA,NA,EAT,(10⋅2)+[LIG]4,(10⋅2)+LIG4
mpuo1241-3-25-1,mpuo1241-3,NA,25,NA,makwǐm mɔːl ɛ ɛ́tɛ́ːn,makwǐm mɔːl ɛ ɛ́tɛ́ːn,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}5,NA,NA,EAT,(10⋅2)+[LIG]5,(10⋅2)+LIG5
mpuo1241-3-26-1,mpuo1241-3,NA,26,NA,makwǐm mɔːl ɛ ɛʃɛ́ːm,makwǐm mɔːl ɛ ɛʃɛ́ːm,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}6,NA,NA,EAT,(10⋅2)+[LIG]6,(10⋅2)+LIG6
mpuo1241-3-27-1,mpuo1241-3,NA,27,NA,makwǐm mɔːl ɛ nsámwɛ̂ːn,makwǐm mɔːl ɛ nsámwɛ̂ːn,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}6′+1′,NA,NA,EAT,(10⋅2)+[LIG]6′+1′,(10⋅2)+LIG6+1
mpuo1241-3-28-1,mpuo1241-3,NA,28,NA,makwǐm mɔːl ɛ ɛ́nán,makwǐm mɔːl ɛ ɛ́nán,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}[4]+4′,NA,NA,EAT,(10⋅2)+[LIG][4]+4′,(10⋅2)+LIG4+4
mpuo1241-3-29-1,mpuo1241-3,NA,29,NA,makwǐm mɔːl ɛ ɛ́wa,makwǐm mɔːl ɛ ɛ́wa,NA,NA,({CL′}10⋅{CL″}2)+[LIG]{CL′}9,NA,NA,EAT,(10⋅2)+[LIG]9,(10⋅2)+LIG9
sang1333-1-23-1,sang1333-1,NA,23,NA,màɣúmì màbèyì nə́ bìrèrù,màɣúmì màbèyì nə́ bìrèrù,NA,NA,NA({CL″}10⋅{CL″}2)+{and}3,NA,NA,EAT,NA(10⋅2)+3,NA(10⋅2)+3
sang1333-1-24-1,sang1333-1,NA,24,NA,màɣúmì màbèyì nə́ bǐːbìnə̀,màɣúmì màbèyì nə́ bǐːbìnə̀,NA,NA,NA({CL″}10⋅{CL″}2)+{and}4,NA,NA,EAT,NA(10⋅2)+4,NA(10⋅2)+4
sang1333-1-25-1,sang1333-1,NA,25,NA,màɣúmì màbèyì nə́ bìràːnù,màɣúmì màbèyì nə́ bìràːnù,NA,NA,NA({CL″}10⋅{CL″}2)+{and}5,NA,NA,EAT,NA(10⋅2)+5,NA(10⋅2)+5
sang1333-1-26-1,sang1333-1,NA,26,NA,màɣúmì màbèyì nə́ bìsàːmùnù,màɣúmì màbèyì nə́ bìsàːmùnù,NA,NA,NA({CL″}10⋅{CL″}2)+{and}6,NA,NA,EAT,NA(10⋅2)+6,NA(10⋅2)+6
sang1333-1-27-1,sang1333-1,NA,27,NA,màɣúmì màbèyì nə́ tsâːmbù,màɣúmì màbèyì nə́ tsâːmbù,NA,NA,NA({CL″}10⋅{CL″}2)+{and}7,NA,NA,EAT,NA(10⋅2)+7,NA(10⋅2)+7
sang1333-1-28-1,sang1333-1,NA,28,NA,màɣúmì màbèyì nə́ pòːmbù,màɣúmì màbèyì nə́ pòːmbù,NA,NA,NA({CL″}10⋅{CL″}2)+{and}8,NA,NA,EAT,NA(10⋅2)+8,NA(10⋅2)+8
sang1333-1-29-1,sang1333-1,NA,29,NA,màɣúmì màbèyì nə́ yìwè,màɣúmì màbèyì nə́ yìwè,NA,NA,NA({CL″}10⋅{CL″}2)+{and}9,NA,NA,EAT,NA(10⋅2)+9,NA(10⋅2)+9
numerals-sele1249-1-twentyfive-1,numerals-sele1249-1,Chan2019,twentyfive,25,àfósì àɲɔ́ ɔ̀nɔ́ɔ̀,afosianoonoo,NA,FALSE,({CL′}U10⋅{CL′}2)+{CL}5,NA,NA,EAT,(U10⋅2)+5,(U10⋅2)+5
swah1253-2-29-1,swah1253-2,NA,29,NA,eʃiríini na tiísíya,eʃiríini na tiísíya,NA,NA,NA(2″⋅10)+{and}9,NA,NA,EAT,NA(2″⋅10)+9,NA(2⋅10)+9
numerals-yomm1242-1-thousand-1,numerals-yomm1242-1,Chan2019,thousand,1000,wʊrɣʊ wʊrɣʊ nɔr fɛ̀ɣa,wurguwurgunorfega,,FALSE,(100⋅100)/10,NA,NA,EAT,(100⋅100)/10,(100⋅100)/10
numerals-yomm1242-1-twothousand-1,numerals-yomm1242-1,Chan2019,twothousand,2000,wʊrɣʊ wʊrɣʊ nɔr ɡarɣa,wurguwurgunorgarga,,FALSE,(100⋅100)/20,NA,NA,EAT,(100⋅100)/20,(100⋅100)/20
numerals-zara1247-1-one-1,numerals-zara1247-1,Chan2019,one,1,-imwe,imwe,,FALSE,Gloss,NA,NA,EAT,Gloss,Gloss
