"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Glosser","Alternate_gloss","Comment_glosser"
"76","barlowpacific-plat1254-1-fifty-2","barlowpacific-plat1254-1","Barlow2024","fifty","50","dimam-polŏ","dimampolo",NA,"FALSE","5·10","EAT",NA,NA
"77","barlowpacific-plat1254-1-sixty-1","barlowpacific-plat1254-1","Barlow2024","sixty","60","enim polŏ","enimpolo",NA,"FALSE","6·10","EAT",NA,NA
"78","barlowpacific-plat1254-1-sixty-2","barlowpacific-plat1254-1","Barlow2024","sixty","60","enėm polŏ","enempolo",NA,"FALSE","6·10","EAT",NA,NA
"79","barlowpacific-plat1254-1-hundred-1","barlowpacific-plat1254-1","Barlow2024","hundred","100","zató","zato",NA,"FALSE","100","EAT",NA,NA
"80","barlowpacific-plat1254-1-hundred-2","barlowpacific-plat1254-1","Barlow2024","hundred","100","zató","zato",NA,"FALSE","100","EAT",NA,NA
"81","barlowpacific-plat1254-1-thousand-1","barlowpacific-plat1254-1","Barlow2024","thousand","1000","arivŏ","arivo",NA,"FALSE","1000","EAT",NA,NA
"82","barlowpacific-plat1254-1-thousand-2","barlowpacific-plat1254-1","Barlow2024","thousand","1000","arivŏ","arivo",NA,"FALSE","1000","EAT",NA,NA
"83","barlowpacific-plat1254-1-tenthousand-1","barlowpacific-plat1254-1","Barlow2024","tenthousand","10000","iraý alínă","irayalina",NA,"FALSE","2′·100","EAT",NA,NA
"84","barlowpacific-plat1254-1-tenthousand-2","barlowpacific-plat1254-1","Barlow2024","tenthousand","10000","iraý alínă","irayalina",NA,"FALSE","2′·100","EAT",NA,NA
"85","barlowpacific-plat1254-1-onehundredthousand-1","barlowpacific-plat1254-1","Barlow2024","onehundredthousand","100000","iraý hetsý","irayhetsy",NA,"FALSE","?","EAT",NA,"insufficient data"
"86","barlowpacific-plat1254-1-onehundredthousand-2","barlowpacific-plat1254-1","Barlow2024","onehundredthousand","100000","iraý hetsė","irayhetse",NA,"FALSE","?","EAT",NA,"insufficient data"
"87","barlowpacific-plat1254-1-onemillion-1","barlowpacific-plat1254-1","Barlow2024","onemillion","1000000","tapítrisă","tapitrisa",NA,"FALSE","?","EAT",NA,"insufficient data"
"88","barlowpacific-plat1254-1-onemillion-2","barlowpacific-plat1254-1","Barlow2024","onemillion","1000000","tapítrisă","tapitrisa",NA,"FALSE","?","EAT",NA,"insufficient data"
