"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","Glosser","rb","sb","cb"
"12","numerals-baba1266-1-fourteen-1","numerals-baba1266-1","Chan2019","fourteen","14","ǹdʒùsə̀ kàʔ","ndzusaka","","FALSE","{LIG}[10]+{LIG]4",NA,NA,"EAT",TRUE,FALSE,FALSE
"13","numerals-baba1266-1-fifteen-1","numerals-baba1266-1","Chan2019","fifteen","15","ǹdʒùsə̀ tàn","ndzusatan","","FALSE","{LIG}[10]+{LIG]5",NA,NA,"EAT",TRUE,FALSE,FALSE
"14","numerals-baba1266-1-sixteen-1","numerals-baba1266-1","Chan2019","sixteen","16","ǹdʒùsə̀ ńtʉ́fə́","ndzusantufa","","FALSE","{LIG}[10]+{LIG]6",NA,NA,"EAT",TRUE,FALSE,FALSE
"15","numerals-baba1266-1-seventeen-1","numerals-baba1266-1","Chan2019","seventeen","17","ǹdʒùsə̀ sómbô","ndzusasombo","","FALSE","{LIG}[10]+{LIG]7",NA,NA,"EAT",TRUE,FALSE,FALSE
"16","numerals-baba1266-1-eighteen-1","numerals-baba1266-1","Chan2019","eighteen","18","ǹdʒùsə̀ fwómə́","ndzusafwoma","","FALSE","{LIG}[10]+{LIG]8",NA,NA,"EAT",TRUE,FALSE,FALSE
"17","numerals-bala1301-1-sixteen-1","numerals-bala1301-1","Chan2019","sixteen","16","t͡ʃɪːfmɛn kə kt͡ʃɪf kə fhdon","tsifmenkaktsifkafhdon","","FALSE","(5⋅2′)+{LIG}5+{LIG]1",NA,NA,"EAT",TRUE,FALSE,FALSE
"18","numerals-bala1301-1-seventeen-1","numerals-bala1301-1","Chan2019","seventeen","17","t͡ʃɪːfmɛn kə kt͡ʃɪf kə ksibm","tsifmenkaktsifkaksibm","","FALSE","(5⋅2′)+{LIG}5+{LIG]2",NA,NA,"EAT",TRUE,FALSE,FALSE
"19","numerals-bala1301-1-eighteen-1","numerals-bala1301-1","Chan2019","eighteen","18","t͡ʃɪːfmɛn kə kt͡ʃɪf kə khobm","tsifmenkaktsifkakhobm","","FALSE","(5⋅2′)+{LIG}5+{LIG]3",NA,NA,"EAT",TRUE,FALSE,FALSE
"20","numerals-bala1301-1-nineteen-1","numerals-bala1301-1","Chan2019","nineteen","19","t͡ʃɪːfmɛn kə kt͡ʃɪf kə ktalhi","tsifmenkaktsifkaktalhi","","FALSE","(5⋅2′)+{LIG}5+{LIG]4",NA,NA,"EAT",TRUE,FALSE,FALSE
"21","numerals-bamb1266-1-eleven-1","numerals-bamb1266-1","Chan2019","eleven","11","(nɨ̀ɣám) ntʃù mɔ̀ʔɔ̀","nigamntsumoo",NA,"FALSE","{CL}10+{LIG]1",NA,NA,"EAT",TRUE,FALSE,FALSE
"22","numerals-bamb1266-1-twelve-1","numerals-bamb1266-1","Chan2019","twelve","12","(nɨ̀ɣám) ntʃù bə̀ɡə̀","nigamntsubaga",NA,"FALSE","{CL}10+{LIG]2",NA,NA,"EAT",TRUE,FALSE,FALSE
"23","numerals-bamb1266-1-thirteen-1","numerals-bamb1266-1","Chan2019","thirteen","13","(nɨ̀ɣám) ntʃù tyè","nigamntsutye",NA,"FALSE","{CL}10+{LIG]3",NA,NA,"EAT",TRUE,FALSE,FALSE
"24","numerals-bamb1266-1-fourteen-1","numerals-bamb1266-1","Chan2019","fourteen","14","(nɨ̀ɣám) ntʃù kyà tɔ̀ɔ̀","nigamntsukyatoo",NA,"FALSE","{CL}10+{LIG]4",NA,NA,"EAT",TRUE,FALSE,FALSE
"25","numerals-bamb1266-1-fifteen-1","numerals-bamb1266-1","Chan2019","fifteen","15","(nɨ̀ɣám) ntʃù tɔ̀ɔ̀","nigamntsutoo",NA,"FALSE","{CL}10+{LIG]5",NA,NA,"EAT",TRUE,FALSE,FALSE
"26","numerals-bamb1266-1-sixteen-1","numerals-bamb1266-1","Chan2019","sixteen","16","(nɨ̀ɣám) ntʃù ntúú","nigamntsuntuu",NA,"FALSE","{CL}10+{LIG]6",NA,NA,"EAT",TRUE,FALSE,FALSE
"27","numerals-bamb1266-1-seventeen-1","numerals-bamb1266-1","Chan2019","seventeen","17","(nɨ̀ɣám) ntʃù ʃàmbà","nigamntsusamba",NA,"FALSE","{CL}10+{LIG]7",NA,NA,"EAT",TRUE,FALSE,FALSE
"28","numerals-bamb1266-1-eighteen-1","numerals-bamb1266-1","Chan2019","eighteen","18","(nɨ̀ɣám) ntʃù nɨ̀fɔ̀ɔ̀","nigamntsunifoo",NA,"FALSE","{CL}10+{LIG]8",NA,NA,"EAT",TRUE,FALSE,FALSE
"29","numerals-bamb1266-1-nineteen-1","numerals-bamb1266-1","Chan2019","nineteen","19","(nɨ̀ɣám) ntʃù nɨ̀bɛ̀ʔɛ̀","nigamntsunibee",NA,"FALSE","{CL}10+{LIG]9",NA,NA,"EAT",TRUE,FALSE,FALSE
"30","numerals-bebe1250-1-eleven-1","numerals-bebe1250-1","Chan2019","eleven","11","jufi ⁿtʃɔ.mʷɛ̂","jufintsomwe","","FALSE","10+{LIG]1",NA,NA,"EAT",TRUE,FALSE,FALSE
"31","numerals-bebe1250-1-twelve-1","numerals-bebe1250-1","Chan2019","twelve","12","jufi ⁿtʃɔ.bifʷé","jufintsobifwe","","FALSE","10+{LIG]2",NA,NA,"EAT",TRUE,FALSE,FALSE
"32","numerals-bebe1250-1-thirteen-1","numerals-bebe1250-1","Chan2019","thirteen","13","jufi ⁿtʃɔ.bitɔ","jufintsobito","","FALSE","10+{LIG]3",NA,NA,"EAT",TRUE,FALSE,FALSE
"33","numerals-bebe1250-1-fourteen-1","numerals-bebe1250-1","Chan2019","fourteen","14","jufi ⁿtʃɔ.binwà","jufintsobinwa","","FALSE","10+{LIG]4",NA,NA,"EAT",TRUE,FALSE,FALSE
"34","numerals-bebe1250-1-fifteen-1","numerals-bebe1250-1","Chan2019","fifteen","15","jufi ⁿtʃɔ.bitîŋ","jufintsobiting","","FALSE","10+{LIG]5",NA,NA,"EAT",TRUE,FALSE,FALSE
"35","numerals-bebe1250-1-sixteen-1","numerals-bebe1250-1","Chan2019","sixteen","16","jufi ⁿtʃɔ.buɬɔ","jufintsobulo","","FALSE","10+{LIG]6",NA,NA,"EAT",TRUE,FALSE,FALSE
"36","numerals-bebe1250-1-seventeen-1","numerals-bebe1250-1","Chan2019","seventeen","17","jufi ⁿtʃɔ.fùmáɲàŋ","jufintsofumanang","","FALSE","10+{LIG]{LIG}[1]−8",NA,NA,"EAT",TRUE,FALSE,FALSE
"37","numerals-bebe1250-1-eighteen-1","numerals-bebe1250-1","Chan2019","eighteen","18","jufi ⁿtʃɔ.ɲàŋ","jufintsonang","","FALSE","10+{LIG]8",NA,NA,"EAT",TRUE,FALSE,FALSE
"38","numerals-bebe1250-1-nineteen-1","numerals-bebe1250-1","Chan2019","nineteen","19","jufi ⁿtʃɔ.fùmájufi","jufintsofumajufi","","FALSE","10+{LIG]{LIG}[1]−10",NA,NA,"EAT",TRUE,FALSE,FALSE
"39","numerals-bomw1238-1-eleven-1","numerals-bomw1238-1","Chan2019","eleven","11","kamɔ nɛ wɔtɔ́","kamonewoto","","FALSE","10+[and}1",NA,NA,"EAT",TRUE,FALSE,FALSE
"40","numerals-bomw1238-1-twelve-1","numerals-bomw1238-1","Chan2019","twelve","12","kamɔ nɛ ɓeɓa","kamonebeba","","FALSE","10+[and}2",NA,NA,"EAT",TRUE,FALSE,FALSE
"41","numerals-bomw1238-1-thirteen-1","numerals-bomw1238-1","Chan2019","thirteen","13","kamɔ nɛ ɓeláali","kamonebelaali","","FALSE","10+[and}3",NA,NA,"EAT",TRUE,FALSE,FALSE
"42","numerals-bomw1238-1-fourteen-1","numerals-bomw1238-1","Chan2019","fourteen","14","kamɔ nɛ ɓenâ","kamonebena","","FALSE","10+[and}4",NA,NA,"EAT",TRUE,FALSE,FALSE
"43","numerals-bomw1238-1-fifteen-1","numerals-bomw1238-1","Chan2019","fifteen","15","kamɔ nɛ ɓetáani","kamonebetaani","","FALSE","10+[and}5",NA,NA,"EAT",TRUE,FALSE,FALSE
"44","numerals-bomw1238-1-sixteen-1","numerals-bomw1238-1","Chan2019","sixteen","16","kamɔ nɛ tʰoobô","kamonethoobo","","FALSE","10+[and}6",NA,NA,"EAT",TRUE,FALSE,FALSE
"45","numerals-bomw1238-1-seventeen-1","numerals-bomw1238-1","Chan2019","seventeen","17","kamɔ nɛ tʰámalî","kamonethamali","","FALSE","10+[and}7",NA,NA,"EAT",TRUE,FALSE,FALSE
"46","numerals-bomw1238-1-eighteen-1","numerals-bomw1238-1","Chan2019","eighteen","18","kamɔ nɛ mwáambi","kamonemwaambi","","FALSE","10+[and}8",NA,NA,"EAT",TRUE,FALSE,FALSE
"47","numerals-bomw1238-1-nineteen-1","numerals-bomw1238-1","Chan2019","nineteen","19","kamɔ nɛ táani ne ɓinâ","kamonetaaninebina","","FALSE","10+[and}5+4",NA,NA,"EAT",TRUE,FALSE,FALSE
"48","numerals-bong1285-1-twentyone-1","numerals-bong1285-1","Chan2019","twentyone","21","mbàba kɔ̀tʊ́ dɔ̀ː kɔ̀tʊ́","mbabakotudokotu","","FALSE","(20⋅1(+{LIG}1",NA,NA,"EAT",FALSE,TRUE,TRUE
"49","numerals-bong1285-1-twentytwo-1","numerals-bong1285-1","Chan2019","twentytwo","22","mbàba kɔ̀tʊ́ dɔ̀ː ŋɡɔ̀r","mbabakotudonggor","","FALSE","(20⋅1(+{LIG}2",NA,NA,"EAT",FALSE,TRUE,TRUE
"50","numerals-bong1285-1-twentythree-1","numerals-bong1285-1","Chan2019","twentythree","23","mbàba kɔ̀tʊ́ dɔ̀ː mʊ̀tːà","mbabakotudomuta","","FALSE","(20⋅1(+{LIG}3",NA,NA,"EAT",FALSE,TRUE,TRUE
"51","numerals-bong1285-1-twentyfour-1","numerals-bong1285-1","Chan2019","twentyfour","24","mbàba kɔ̀tʊ́ dɔ̀ː ʔɛ́w","mbabakotudoew","","FALSE","(20⋅1(+{LIG}4",NA,NA,"EAT",FALSE,TRUE,TRUE
"52","numerals-bong1285-1-twentyfive-1","numerals-bong1285-1","Chan2019","twentyfive","25","mbàba kɔ̀tʊ́ dɔ̀ː múì","mbabakotudomui","","FALSE","(20⋅1(+{LIG}5",NA,NA,"EAT",FALSE,TRUE,TRUE
"53","numerals-bong1285-1-twentysix-1","numerals-bong1285-1","Chan2019","twentysix","26","mbàba kɔ̀tʊ́ dɔ̀ː dɔ̀kɔtʊ́","mbabakotudodokotu","","FALSE","(20⋅1(+{LIG}5+{LIG}1",NA,NA,"EAT",FALSE,TRUE,TRUE
"54","numerals-bong1285-1-twentyseven-1","numerals-bong1285-1","Chan2019","twentyseven","27","mbàba kɔ̀tʊ́ dɔ̀ː dɔ́ŋɡɔr","mbabakotudodonggor","","FALSE","(20⋅1(+{LIG}5+{LIG}2",NA,NA,"EAT",FALSE,TRUE,TRUE
"55","numerals-bong1285-1-twentyeight-1","numerals-bong1285-1","Chan2019","twentyeight","28","mbàba kɔ̀tʊ́ dɔ̀ː dɔ̀mʊ́tːà","mbabakotudodomuta","","FALSE","(20⋅1(+{LIG}5+{LIG}3",NA,NA,"EAT",FALSE,TRUE,TRUE
"56","numerals-bong1285-1-twentynine-1","numerals-bong1285-1","Chan2019","twentynine","29","mbàba kɔ̀tʊ́ dɔ̀ː dɔ̀mʔɛ́w","mbabakotudodomew","","FALSE","(20⋅1(+{LIG}5+{LIG}4",NA,NA,"EAT",FALSE,TRUE,TRUE
"57","""numerals-dogu1235-1-twentyone-1""","""numerals-dogu1235-1""","Chan2019","""twentyone""","21","""pɛ́nééɡè tɔ́mɔ̀sìɡà""","""peneegetomosiga""",NA,"FALSE","″(10⋅2)+1{LIG]″",NA,NA,"EAT",TRUE,FALSE,FALSE
"58","""numerals-dogu1235-1-twentytwo-1""","""numerals-dogu1235-1""","Chan2019","""twentytwo""","22","""pɛ́nééɡè néɡèsìɡà""","""peneegenegesiga""",NA,"FALSE","″(10⋅2)+2{LIG]″",NA,NA,"EAT",TRUE,FALSE,FALSE
"59","""numerals-dogu1235-1-twentythree-1""","""numerals-dogu1235-1""","Chan2019","""twentythree""","23","""pɛ́nééɡè tándùsìɡà""","""peneegetandusiga""",NA,"FALSE","″(10⋅2)+3{LIG]″",NA,NA,"EAT",TRUE,FALSE,FALSE
"60","""numerals-dogu1235-1-twentyfour-1""","""numerals-dogu1235-1""","Chan2019","""twentyfour""","24","""pɛ́nééɡè kɛ́sɔ́sìɡà""","""peneegekesosiga""",NA,"FALSE","″(10⋅2)+4{LIG]″",NA,NA,"EAT",TRUE,FALSE,FALSE
"61","""numerals-dogu1235-1-twentyfive-1""","""numerals-dogu1235-1""","Chan2019","""twentyfive""","25","""pɛ́nééɡè ǹósìɡà""","""peneegenosiga""",NA,"FALSE","″(10⋅2)+5{LIG]″",NA,NA,"EAT",TRUE,FALSE,FALSE
"62","""numerals-dogu1235-1-twentysix-1""","""numerals-dogu1235-1""","Chan2019","""twentysix""","26","""pɛ́nééɡè kúlèsìɡà""","""peneegekulesiga""",NA,"FALSE","″(10⋅2)+6{LIG]″",NA,NA,"EAT",TRUE,FALSE,FALSE
"63","""numerals-dogu1235-1-twentyseven-1""","""numerals-dogu1235-1""","Chan2019","""twentyseven""","27","""pɛ́nééɡè sɔ́wɛ̀sìɡà""","""peneegesowesiga""",NA,"FALSE","″(10⋅2)+7{LIG]″",NA,NA,"EAT",TRUE,FALSE,FALSE
"64","""numerals-dogu1235-1-twentyeight-1""","""numerals-dogu1235-1""","Chan2019","""twentyeight""","28","""pɛ́nééɡè sèlésìɡà""","""peneegeselesiga""",NA,"FALSE","″(10⋅2)+8{LIG]″",NA,NA,"EAT",TRUE,FALSE,FALSE
"65","""numerals-dogu1235-1-twentynine-1""","""numerals-dogu1235-1""","Chan2019","""twentynine""","29","""pɛ́nééɡè túwɔ́sìɡà""","""peneegetuwosiga""",NA,"FALSE","″(10⋅2)+9{LIG]″",NA,NA,"EAT",TRUE,FALSE,FALSE
"66","numerals-gaan1243-1-hundred-1","numerals-gaan1243-1","Chan2019","hundred","100","kùm(y) cìt kum","kumycitkum","","FALSE","10⋅{LIG″}(10",NA,NA,"EAT",FALSE,TRUE,TRUE
"67","numerals-izie1238-1-thirty-1","numerals-izie1238-1","Chan2019","thirty","30","ʊ̀k͡pɔ́rɔ́ lɛ̀ ìrí","ukporoleiri","","FALSE","20+{LIG]10",NA,NA,"EAT",TRUE,FALSE,FALSE
"68","numerals-jola1262-1-twentyone-1","numerals-jola1262-1","Chan2019","twentyone","21","əyiː lɪ 'jɐnɔ","ayilijano","","FALSE","20+{LIG]1",NA,NA,"EAT",TRUE,FALSE,FALSE
"69","numerals-jola1262-1-twentythree-1","numerals-jola1262-1","Chan2019","twentythree","23","əyiː lɪ si'həːɟi","ayilisihaji","","FALSE","20+{LIG]3",NA,NA,"EAT",TRUE,FALSE,FALSE
"70","numerals-jola1262-1-twentyfour-1","numerals-jola1262-1","Chan2019","twentyfour","24","əyiː lɪ sɪ'bɐkɪː","ayilisibaki","","FALSE","20+{LIG]4",NA,NA,"EAT",TRUE,FALSE,FALSE
"71","numerals-jola1262-1-twentyfive-1","numerals-jola1262-1","Chan2019","twentyfive","25","əyiː lɪ hʊ'tɔk","ayilihutok","","FALSE","20+{LIG]5",NA,NA,"EAT",TRUE,FALSE,FALSE
"72","numerals-jola1263-1-eleven-1","numerals-jola1263-1","Chan2019","eleven","11","uɲɛn di jəkon","unendijakon","","FALSE","10+{LIG]1",NA,NA,"EAT",TRUE,FALSE,FALSE
"73","numerals-jola1263-1-twelve-1","numerals-jola1263-1","Chan2019","twelve","12","uɲɛn di siɡaba","unendisigaba","","FALSE","10+{LIG]2",NA,NA,"EAT",TRUE,FALSE,FALSE
"74","numerals-jola1263-1-thirteen-1","numerals-jola1263-1","Chan2019","thirteen","13","uɲɛn di sifeeɡiir","unendisifeegiir","","FALSE","10+{LIG]3",NA,NA,"EAT",TRUE,FALSE,FALSE
"75","numerals-jola1263-1-fourteen-1","numerals-jola1263-1","Chan2019","fourteen","14","uɲɛn di sibaakiir","unendisibaakiir","","FALSE","10+{LIG]4",NA,NA,"EAT",TRUE,FALSE,FALSE
"76","numerals-kaka1264-1-fifty-1","numerals-kaka1264-1","Chan2019","fifty","50","aráta","arata","","FALSE","(20⋅2)+{LIG}]10",NA,NA,"EAT",TRUE,FALSE,TRUE
"77","numerals-kaka1264-1-seventy-1","numerals-kaka1264-1","Chan2019","seventy","70","ʃìtá bè ɡúwe","sitabeguwe","(20 x 2+10 )","FALSE","(20⋅3)+{LIG}]10",NA,NA,"EAT",TRUE,FALSE,TRUE
"78","numerals-kaka1264-1-ninety-1","numerals-kaka1264-1","Chan2019","ninety","90","ʃìni bè ɡúwe","sinibeguwe","( 40 x 2+10 )","FALSE","(20⋅4)+{LIG}]10",NA,NA,"EAT",TRUE,FALSE,TRUE
"79","numerals-kamm1249-1-twentyone-1","numerals-kamm1249-1","Chan2019","twentyone","21","kpèi mìɡún bĩ́","kpeimigunbi","(lit: 'twenty back one')","FALSE","20+{LIG]1",NA,NA,"EAT",TRUE,FALSE,FALSE
"80","numerals-kamm1249-1-twentytwo-1","numerals-kamm1249-1","Chan2019","twentytwo","22","kpèi mìɡún jíráɡ","kpeimigunjirag","","FALSE","20+{LIG]2",NA,NA,"EAT",TRUE,FALSE,FALSE
"81","numerals-kamm1249-1-twentythree-1","numerals-kamm1249-1","Chan2019","twentythree","23","kpèi mìɡún tʃàr","kpeimiguntsar","","FALSE","20+{LIG]3",NA,NA,"EAT",TRUE,FALSE,FALSE
"82","numerals-kamm1249-1-twentyfour-1","numerals-kamm1249-1","Chan2019","twentyfour","24","kpèi mìɡún ǹdār","kpeimigunndar","","FALSE","20+{LIG]4",NA,NA,"EAT",TRUE,FALSE,FALSE
"83","numerals-kamm1249-1-twentyfive-1","numerals-kamm1249-1","Chan2019","twentyfive","25","kpèi mìɡún ŋ̀wūn","kpeimigunngwun","","FALSE","20+{LIG]5",NA,NA,"EAT",TRUE,FALSE,FALSE
"84","numerals-kamm1249-1-twentysix-1","numerals-kamm1249-1","Chan2019","twentysix","26","kpèi mìɡún dʒùb","kpeimigundzub","","FALSE","20+{LIG]5′+[1]",NA,NA,"EAT",TRUE,FALSE,FALSE
"85","numerals-kamm1249-1-twentyseven-1","numerals-kamm1249-1","Chan2019","twentyseven","27","kpèi mìɡún dʒùbjī̄rāɡ","kpeimigundzubjirag","","FALSE","20+{LIG]5′+2",NA,NA,"EAT",TRUE,FALSE,FALSE
"86","numerals-kamm1249-1-twentyeight-1","numerals-kamm1249-1","Chan2019","twentyeight","28","kpèi mìɡún sár","kpeimigunsar","","FALSE","20+{LIG]8",NA,NA,"EAT",TRUE,FALSE,FALSE
"87","numerals-kamm1249-1-twentynine-1","numerals-kamm1249-1","Chan2019","twentynine","29","kpèi mìɡún ɲǐzā","kpeimigunniza","","FALSE","20+{LIG]9",NA,NA,"EAT",TRUE,FALSE,FALSE
"88","numerals-kuke1242-1-nine-1","numerals-kuke1242-1","Chan2019","nine","9","ɔsɛlɛ zɔɔp","oselezoop","( ? 10 )","FALSE","{LIG)[1]−10",NA,NA,"EAT",FALSE,TRUE,FALSE
"89","numerals-lamn1239-1-eleven-1","numerals-lamn1239-1","Chan2019","eleven","11","nʃɔ̀v mɔ̀ʔɔ́n ē ɣwə̀m","nsovmoonegwam",NA,"FALSE","{LIG}1+{and}]10",NA,NA,"EAT",TRUE,FALSE,TRUE
"90","numerals-lamn1239-1-twelve-1","numerals-lamn1239-1","Chan2019","twelve","12","nʃɔ̀v sìbàà ē ɣwə̀m","nsovsibaaegwam",NA,"FALSE","{LIG}2+{and}]10",NA,NA,"EAT",TRUE,FALSE,TRUE
"91","numerals-lamn1239-1-fourteen-1","numerals-lamn1239-1","Chan2019","fourteen","14","nʃɔ̀v sìkwɛ̀ɛ̀ ē ɣwə̀m","nsovsikweeegwam",NA,"FALSE","{LIG}4+{and}]10",NA,NA,"EAT",TRUE,FALSE,TRUE
"92","numerals-lamn1239-1-fifteen-1","numerals-lamn1239-1","Chan2019","fifteen","15","nʃɔ̀v tàn ē ɣwə̀m","nsovtanegwam",NA,"FALSE","{LIG}5+{and}]10",NA,NA,"EAT",TRUE,FALSE,TRUE
"93","numerals-lamn1239-1-sixteen-1","numerals-lamn1239-1","Chan2019","sixteen","16","nʃɔ̀v ntùùfú ē ɣwə̀m","nsovntuufuegwam",NA,"FALSE","{LIG}6+{and}]10",NA,NA,"EAT",TRUE,FALSE,TRUE
"94","numerals-lamn1239-1-seventeen-1","numerals-lamn1239-1","Chan2019","seventeen","17","nʃɔ̀v sààmbà ē ɣwə̀m","nsovsaambaegwam",NA,"FALSE","{LIG}7+{and}]10",NA,NA,"EAT",TRUE,FALSE,TRUE
"95","numerals-lamn1239-1-eighteen-1","numerals-lamn1239-1","Chan2019","eighteen","18","nʃɔ̀v wāāmɛ́ ē ɣwə̀m","nsovwaameegwam",NA,"FALSE","{LIG}8+{and}]10",NA,NA,"EAT",TRUE,FALSE,TRUE
"96","numerals-lamn1239-1-nineteen-1","numerals-lamn1239-1","Chan2019","nineteen","19","nʃɔ̀v bvə̀ʔə̀ ē ɣwə̀m","nsovbvaaegwam",NA,"FALSE","{LIG}9+{and}]10",NA,NA,"EAT",TRUE,FALSE,TRUE
"97","numerals-lamn1239-1-twentyone-1","numerals-lamn1239-1","Chan2019","twentyone","21","nʃɔ̀v mɔ̀ʔɔ́n ē mbàà","nsovmoonembaa",NA,"FALSE","{LIG}1+{and}]20",NA,NA,"EAT",TRUE,FALSE,TRUE
"98","numerals-lamn1239-1-twentytwo-1","numerals-lamn1239-1","Chan2019","twentytwo","22","nʃɔ̀v sìbàà ē mbàà","nsovsibaaembaa",NA,"FALSE","{LIG}2+{and}]20",NA,NA,"EAT",TRUE,FALSE,TRUE
"99","numerals-lamn1239-1-twentyfour-1","numerals-lamn1239-1","Chan2019","twentyfour","24","nʃɔ̀v sìkwɛ̀ɛ̀ ē mbàà","nsovsikweeembaa",NA,"FALSE","{LIG}4+{and}]20",NA,NA,"EAT",TRUE,FALSE,TRUE
"100","numerals-lamn1239-1-twentyfive-1","numerals-lamn1239-1","Chan2019","twentyfive","25","nʃɔ̀v tàn ē mbàà","nsovtanembaa",NA,"FALSE","{LIG}5+{and}]20",NA,NA,"EAT",TRUE,FALSE,TRUE
"101","numerals-lamn1239-1-twentysix-1","numerals-lamn1239-1","Chan2019","twentysix","26","nʃɔ̀v ntùùfú ē mbàà","nsovntuufuembaa",NA,"FALSE","{LIG}6+{and}]20",NA,NA,"EAT",TRUE,FALSE,TRUE
"102","numerals-lamn1239-1-twentyseven-1","numerals-lamn1239-1","Chan2019","twentyseven","27","nʃɔ̀v sààmbà ē mbàà","nsovsaambaembaa",NA,"FALSE","{LIG}7+{and}]20",NA,NA,"EAT",TRUE,FALSE,TRUE
"103","numerals-lamn1239-1-twentyeight-1","numerals-lamn1239-1","Chan2019","twentyeight","28","nʃɔ̀v wāāmɛ́ ē mbàà","nsovwaameembaa",NA,"FALSE","{LIG}8+{and}]20",NA,NA,"EAT",TRUE,FALSE,TRUE
"104","numerals-lamn1239-1-twentynine-1","numerals-lamn1239-1","Chan2019","twentynine","29","nʃɔ̀v bvə̀ʔə̀ ē mbàà","nsovbvaaembaa",NA,"FALSE","{LIG}9+{and}]20",NA,NA,"EAT",TRUE,FALSE,TRUE
"105","numerals-lukp1238-1-twentyeight-1","numerals-lukp1238-1","Chan2019","twentyeight","28","híú nà pə́lé fɛ́jɪ́","hiunapalefeji","","FALSE","20+{and}((2′−{LIG}[10])",NA,NA,"EAT",FALSE,TRUE,TRUE
"106","numerals-lukp1238-1-twentynine-1","numerals-lukp1238-1","Chan2019","twentynine","29","híú nà pɔ̀ɣɔ̀láɣáfɛ́jɪ́́","hiunapogolagafeji","","FALSE","20+{and}((1′−{LIG}[10])",NA,NA,"EAT",FALSE,TRUE,TRUE
"107","numerals-mank1251-1-twohundred-1","numerals-mank1251-1","Chan2019","twohundred","200","iɲɛ̂ŋ week ŋɨ yás ŋɨtɛp","inengweekngiyasngitep","","FALSE","10⋅10′⋅(LIG}2",NA,NA,"EAT",FALSE,TRUE,FALSE
"108","numerals-masa1300-1-twelve-2","numerals-masa1300-1","Chan2019","twelve","12","tɔ́môn o aré","tomonoare","","FALSE","10+{LIG]{fem}2",NA,NA,"EAT",TRUE,FALSE,FALSE
"109","numerals-nalu1240-1-sixty-1","numerals-nalu1240-1","Chan2019","sixty","60","alafaŋ teːduŋ ti ndeːndɪk","alafangtedungtindendik","","FALSE","10′⋅(5+{{LIG}1)",NA,NA,"EAT",TRUE,TRUE,FALSE
"110","numerals-nalu1240-1-seventy-1","numerals-nalu1240-1","Chan2019","seventy","70","alafaŋ teːduŋ ti bilɛ","alafangtedungtibile","","FALSE","10′⋅(5+{{LIG}2)",NA,NA,"EAT",TRUE,TRUE,FALSE
