"","X","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","FileName","Glosser","Gloss.clean","Gloss.math","Gloss.calc"
"51",139983,"numerals-boun1243-1-six-2","numerals-boun1243-1","Chan2019","six",6,"tɔrɔ fɪ(rɪ) nyʊʊ̀","torofirinyuu","( 5 + 1 )","FALSE","?","error? 5+2'",NA,"boun1243.csv","EAT","?","?",NA
"52",140042,"numerals-buam1238-1-nineteen-1","numerals-buam1238-1","Chan2019","nineteen",19,"ɓóní dàkéní míá","bonidakenimia",NA,"FALSE","20−1′{LIG}?","check",NA,"buam1238.csv","EAT","20−1′?","20−1?",NA
"53",140302,"numerals-bull1247-1-twohundred-1","numerals-bull1247-1","Chan2019","twohundred",200,"kɛ̀mɛ̀","keme",NA,"FALSE","?","same as 100",NA,"bull1247.csv","EAT","?","?",NA
"54",140304,"numerals-bull1247-1-twothousand-1","numerals-bull1247-1","Chan2019","twothousand",2000,"wúlu","wulu",NA,"FALSE","?","same as 1000",NA,"bull1247.csv","EAT","?","?",NA
"55",140446,"numerals-buru1301-1-thousand-2","numerals-buru1301-1","Chan2019","thousand",1000,"mēk mèk d̪ōoc","mekmekdooc",NA,"FALSE","?","overcounting: 20·20·5",NA,"buru1301.csv","EAT","?","?",NA
"56",140841,"numerals-chee1238-1-forty-1","numerals-chee1238-1","Chan2019","forty",40,"ìsɔk ìhak nì nàs","isokihakninas","( 12 x 3 ) + 4","FALSE","(12⋅3)+{and}4?","perhaps error in the form for three",NA,"chee1238.csv","EAT","(12⋅3)+4?","(12⋅3)+4?",NA
"57",140842,"numerals-chee1238-1-fifty-1","numerals-chee1238-1","Chan2019","fifty",50,"ìsɔk ìhak nì hàk","isokihaknihak","( 12 x 4 ) + 2","FALSE","(12⋅4)+{and}2?","perhaps error in the form for three",NA,"chee1238.csv","EAT","(12⋅4)+2?","(12⋅4)+2?",NA
"58",140845,"numerals-chee1238-1-eighty-1","numerals-chee1238-1","Chan2019","eighty",80,"kitu nì taːrat","kitunitarat","( 72 + 8 )","FALSE","72+5′+3?","insufficient data",NA,"chee1238.csv","EAT","72+5′+3?","72+5+3?",NA
"59",140846,"numerals-chee1238-1-ninety-1","numerals-chee1238-1","Chan2019","ninety",90,"kitu nì usɔ́k ni tàiŋ","kituniusoknitaing","( 72+12+ 6 )","FALSE","72+12′+5′+[1]?","insufficient data",NA,"chee1238.csv","EAT","72+12′+5′+[1]?","72+12+5+1?",NA
"60",140847,"numerals-chee1238-1-hundred-1","numerals-chee1238-1","Chan2019","hundred",100,"kitu nì ìsɔk ihak nì nàs","kituniisokihakninas","(72+12 x 2+ 4)","FALSE","?","insufficient data",NA,"chee1238.csv","EAT","?","?",NA
"61",140848,"numerals-chee1238-1-twohundred-1","numerals-chee1238-1","Chan2019","twohundred",200,"atu ahak nì isɔ́k inàs nì hàk nì taːrat","atuahakniisokinasnihaknitarat",NA,"FALSE","?","insufficient data",NA,"chee1238.csv","EAT","?","?",NA
"62",141308,"numerals-como1258-1-eighthundred-1","numerals-como1258-1","Chan2019","eighthundred",800,"kʷã̀kʷànɪ̀","kwakwani",NA,"FALSE","?","overcounting: 20·20·4",NA,"como1258.csv","EAT","?","?",NA
"63",141309,"numerals-como1258-1-thousand-1","numerals-como1258-1","Chan2019","thousand",1000,"kʷã̀kʷànθʷĩ̀","kwakwanthwi",NA,"FALSE","?","overcounting: 20·20·15",NA,"como1258.csv","EAT","?","?",NA
"64",141350,"numerals-cros1244-1-thousand-1","numerals-cros1244-1","Chan2019","thousand",1000,"lelol àfɔŋ bele ɡɛ̀dɔ̀","lelolafongbelegedo",NA,"FALSE","?","check - insufficient data",NA,"cros1244.csv","EAT","?","?",NA
"65",141351,"numerals-cros1244-1-twothousand-1","numerals-cros1244-1","Chan2019","twothousand",2000,"lelol ànnaŋ bele àti d͡zɔ","lelolannangbeleatidzo",NA,"FALSE","?","check - insufficient data",NA,"cros1244.csv","EAT","?","?",NA
"66",141597,"numerals-dege1246-1-thousand-1","numerals-dege1246-1","Chan2019","thousand",1000,"əsí éβə nʊ ɪ́táɲ","asiebanuitan",NA,"FALSE","?","Check: math don’t add up",NA,"dege1246.csv","EAT","?","?",NA
"67",141763,"numerals-deny1238-1-ninety-1","numerals-deny1238-1","Chan2019","ninety",90,"ùsā ónî mēsò ɛ̄fjâ","usaoni",NA,"FALSE","?","edited",NA,"deny1238.csv","EAT","?","?",NA
"68",141989,"numerals-diri1252-1-twothousand-1","numerals-diri1252-1","Chan2019","twothousand",2000,"mayoví muronɡó","mayovimurongo",NA,"FALSE","1000⋅10?","overcounting: 1000·10",NA,"diri1252.csv","EAT","1000⋅10?","1000⋅10?",NA
"69",142513,"numerals-dzaa1238-1-fifty-1","numerals-dzaa1238-1","Chan2019","fifty",50,"nɡwuyunɡ","ngwuyung",NA,"FALSE","?","same form as forty: 20·2’",NA,"dzaa1238.csv","EAT","?","?",NA
"70",142521,"numerals-dzaa1238-1-twothousand-1","numerals-dzaa1238-1","Chan2019","twothousand",2000,"nɡwuhmə kya nɡwutsɨnɡ","ngwuhmakyangwutsing",NA,"FALSE","?","overcounting: 20·50·20·1",NA,"dzaa1238.csv","EAT","?","?",NA
"71",142964,"numerals-ejag1239-1-thousand-1","numerals-ejag1239-1","Chan2019","thousand",1000,"ǹtèm ǹsǎm éβáé ǹjə̀m ǹsǎm ófó","ntemnsamebaenjamnsamofo",NA,"FALSE","?","check: error in form. thousand has more constituents than two thousand.",NA,"ejag1239.csv","EAT","?","?",NA
"72",142965,"numerals-ejag1239-1-twothousand-1","numerals-ejag1239-1","Chan2019","twothousand",2000,"ǹtèm ǹsǎm énôn","ntemnsamenon",NA,"FALSE","?","error in form",NA,"ejag1239.csv","EAT","?","?",NA
"73",143005,"numerals-ekaj1238-1-thousand-1","numerals-ekaj1238-1","Chan2019","thousand",1000,"atəltəl nkpel ebal atəl awubu","ataltalnkpelebalatalawubu",NA,"FALSE","?","overcounting:20·20·2+20+10",NA,"ekaj1238.csv","EAT","?","?",NA
"74",143410,"numerals-fali1264-1-onemillion-1","numerals-fali1264-1","Chan2019","onemillion",1000000,"t͡ʃĩ̀ːt̚tʌ́ ɓɛ̀l","tsittbel",NA,"TRUE","?","100·10000? insufficient data",NA,"fali1264.csv","EAT","?","?",NA
"75",143620,"numerals-fung1245-1-twohundred-1","numerals-fung1245-1","Chan2019","twohundred",200,"ìkùdʒò mújó","ikudzomujo",NA,"FALSE","?","Check: maths don’t add up: 10·4·2",NA,"fung1245.csv","EAT","?","?",NA
"76",143621,"numerals-fung1245-1-fivehundred-1","numerals-fung1245-1","Chan2019","fivehundred",500,"ìkùdʒò mùtá","ikudzomuta",NA,"FALSE","?","maths don’t add up: 10·4·5",NA,"fung1245.csv","EAT","?","?",NA
"77",143826,"numerals-gabr1253-1-hundred-1","numerals-gabr1253-1","Chan2019","hundred",100,"àrū wɔ̄","aruwo",NA,"FALSE","?","100·2 = 200",NA,"gabr1253.csv","EAT","?","?",NA
"78",143948,"numerals-ganz1246-2-onehundredandthirtythree-1","numerals-ganz1246-2","Chan2019","onehundredandthirtythree",133,"k’wísʼí ásí ꜜk’jóò kʼwàtʼ ó tʼíꜜzí kónsó-bá","kwisiasikjookwatotizikonsoba","( kʼwàtʼ-ó tʼíꜜzí)","FALSE","(5⋅20)+(20+10)?","maths don’t add up",NA,"ganz1246.csv","EAT","(5⋅20)+(20+10)?","(5⋅20)+(20+10)?",NA
"79",144154,"numerals-gban1260-1-nine-1","numerals-gban1260-1","Chan2019","nine",9,"mbìɛ́ k͡póm kɛ́ ɓú mbiɛ k͡pom kɛ ɓúà","mbiekpomkebumbiekpomkebua",NA,"FALSE","{LIG}1−{LIG}10?","check: bu=OR??",NA,"gban1260.csv","EAT","1−10?","1−10?",NA
"80",144982,"numerals-huns1239-1-sixteen-1","numerals-huns1239-1","Chan2019","sixteen",16,"o̠pp táán","opptaan",NA,"FALSE","?","10+5!=16",NA,"huns1239.csv","EAT","?","?",NA
"81",145802,"numerals-jiba1237-1-thousand-1","numerals-jiba1237-1","Chan2019","thousand",1000,"də̀ri də̀ri pyèːnà ábàn wāː dùb","daridaripyenaabanwadub",NA,"FALSE","?","math don’t add up: 20·20·2+10",NA,"jiba1237.csv","EAT","?","?",NA
"82",146456,"numerals-kamm1249-1-onemillion-1","numerals-kamm1249-1","Chan2019","onemillion",1000000,"mīljɛ́n","miljen","< English","TRUE","?","concept?",NA,"kamm1249.csv","EAT","?","?",NA
"83",146596,"numerals-kara1483-2-thousand-1","numerals-kara1483-2","Chan2019","thousand",1000,"ŋámíáé ŋatɔmɔn","ngamiaengatomon",NA,"FALSE","?","200·10=2000",NA,"kara1483.csv","EAT","?","?",NA
"84",147579,"numerals-kuke1242-1-thousand-1","numerals-kuke1242-1","Chan2019","thousand",1000,"lalɔɔp lalɔɔp","lalooplaloop",NA,"FALSE","?","20·20 = 1000?",NA,"kuke1242.csv","EAT","?","?",NA
"85",147580,"numerals-kuke1242-1-twothousand-1","numerals-kuke1242-1","Chan2019","twothousand",2000,"ilɔɔp ifa","iloopifa",NA,"FALSE","?","20·2 = 1000?",NA,"kuke1242.csv","EAT","?","?",NA
"86",148141,"numerals-kwan1273-1-twothousand-1","numerals-kwan1273-1","Chan2019","twothousand",2000,"mayuvi nomronɡo","mayuvinomrongo",NA,"FALSE","?","1000·10{?}",NA,"kwan1273.csv","EAT","?","?",NA
"87",148519,"numerals-lamn1239-1-thirteen-1","numerals-lamn1239-1","Chan2019","thirteen",13,"nʃɔ̀v sìbàà ē ɣwə̀m","nsovsibaaegwam",NA,"FALSE","?","{LIG}2+{and}10",NA,"lamn1239-1.csv","EAT","?","?",NA
"88",148529,"numerals-lamn1239-1-twentythree-1","numerals-lamn1239-1","Chan2019","twentythree",23,"nʃɔ̀v sìbàà ē mbàà","nsovsibaaembaa",NA,"FALSE","?","{LIG}2+{and}20",NA,"lamn1239-1.csv","EAT","?","?",NA
"89",148802,"numerals-leng1258-1-twentyfive-1","numerals-leng1258-1","Chan2019","twentyfive",25,"mitukhu tifvu nifvu","mitukhutifvunifvu",NA,"FALSE","?","(10·2)+{and}5{?}: five occurs twice, perhaps should be replaced with two.",NA,"leng1258.csv","EAT","?","?",NA
"90",149436,"numerals-lufu1237-1-eleven-1","numerals-lufu1237-1","Chan2019","eleven",11,"úwó","uwo",NA,"FALSE","?","same form as ten - error from source",NA,"lufu1237.csv","EAT","?","?",NA
"91",151625,"numerals-nafa1258-1-twohundred-1","numerals-nafa1258-1","Chan2019","twohundred",200,"lafɛɛ","lafee",NA,"FALSE","?","same forms - 200 and 400",NA,"nafa1258.csv","EAT","?","?",NA
"92",151626,"numerals-nafa1258-1-fourhundred-1","numerals-nafa1258-1","Chan2019","fourhundred",400,"lafɛɛ","lafee",NA,"FALSE","?","same forms - 200 and 400",NA,"nafa1258.csv","EAT","?","?",NA
"93",151669,"numerals-naki1238-1-onemillion-1","numerals-naki1238-1","Chan2019","onemillion",1000000,"ǹtáʔdzófú","ntadzofu",NA,"FALSE","?","1000·10 = undercounting",NA,"naki1238.csv","EAT","?","?",NA
"94",152399,"numerals-ngie1241-1-hundred-1","numerals-ngie1241-1","Chan2019","hundred",100,"ŋ̩̀kxɰò m̩̀bɯ́á","ngkxwombwa",NA,"FALSE","?","probably x·2 but x sems 100 because it re-appears in 200 as a 100",NA,"ngie1241.csv","EAT","?","?",NA
"95",152449,"numerals-ngit1239-1-seven-1","numerals-ngit1239-1","Chan2019","seven",7,"àrʊ̀ɓʊ̀","arubu",NA,"FALSE","?","4’+3 or 8+3 - aru can either be interpreted as eight or four but based on majority rule - it is taken for an eight.",NA,"ngit1239.csv","EAT","?","?",NA
"96",152461,"numerals-ngit1239-1-seventeen-1","numerals-ngit1239-1","Chan2019","seventeen",17,"ɪdrɛ dɔ̀ná àrʊ̀ɓʊ̀ nà","idredonaarubuna",NA,"FALSE","?","se comments for seven",NA,"ngit1239.csv","EAT","?","?",NA
"97",152471,"numerals-ngit1239-1-twentyseven-1","numerals-ngit1239-1","Chan2019","twentyseven",27,"ɔ́yɔ᷆ kumì dɔ̀ná àrʊ̀ɓʊ̀ nà","oyokumidonaarubuna",NA,"FALSE","?","se comments for seven",NA,"ngit1239.csv","EAT","?","?",NA
"98",152478,"numerals-ngit1239-1-seventy-1","numerals-ngit1239-1","Chan2019","seventy",70,"àrʊ̀ɓʊ̀ kumì","arubukumi",NA,"FALSE","?","see comments for seven",NA,"ngit1239.csv","EAT","?","?",NA
"99",152832,"numerals-nkem1242-1-thousand-1","numerals-nkem1242-1","Chan2019","thousand",1000,"ánô⃬ ábâl nè⃬ àtə̂l","anoabalneatal",NA,"FALSE","?","(400·2)+{and}20 undercounting - probably 10 is removed",NA,"nkem1242.csv","EAT","?","?",NA
"100",153205,"numerals-nort2787-1-thousand-1","numerals-nort2787-1","Chan2019","thousand",1000,"cīk͡pe᷆nàɣkɔ̀tɔ̃᷆","cikpenagkoto",NA,"FALSE","?","same form as 800",NA,"nort2787.csv","EAT","?","?",NA
"101",153315,"numerals-nsar1238-1-seventy-1","numerals-nsar1238-1","Chan2019","seventy",70,"ɡwiː4ɱfo2mɛ4ɲaːŋ2","gwi4mfo2me4nang2",NA,"FALSE","?","100·({LIG}1’-8) - gwi:4 is some the same form as 100 and 10",NA,"nsar1238.csv","EAT","?","?",NA
"102",153316,"numerals-nsar1238-1-eighty-1","numerals-nsar1238-1","Chan2019","eighty",80,"ɡwiː4ɲaːŋ2","gwi4nang2",NA,"FALSE","?","100·8 - overcounting unless gwi:4 is some the same form as 100 and 10",NA,"nsar1238.csv","EAT","?","?",NA
"103",153317,"numerals-nsar1238-1-ninety-1","numerals-nsar1238-1","Chan2019","ninety",90,"ɡwiː4ɱfo2mɛ4joː24fi42","gwi4mfo2me4jo24fi42",NA,"FALSE","?","100·({LIG}1’-10) - gwi:4 is some the same form as 100 and 10",NA,"nsar1238.csv","EAT","?","?",NA
"104",153446,"numerals-nuba1241-1-forty-1","numerals-nuba1241-1","Chan2019","forty",40,"mà wó má tát","mawomatat",NA,"FALSE","?","10·4 - the form for four replaced probably",NA,"nuba1241.csv","EAT","?","?",NA
"105",153935,"aghe1239-1-1-1","aghe1239-1",NA,"1",NA,"mɔ̀ʔ","mɔ̀ʔ",NA,NA,"1",NA,NA,"numerals-aghe1239-1.csv","EAT","1","1","1"
"106",153936,"aghe1239-1-2-1","aghe1239-1",NA,"2",NA,"bə̀ˠà","bə̀ˠà",NA,NA,"2",NA,NA,"numerals-aghe1239-1.csv","EAT","2","2","2"
"107",153937,"aghe1239-1-3-1","aghe1239-1",NA,"3",NA,"tə́ˠá","tə́ˠá",NA,NA,"3",NA,NA,"numerals-aghe1239-1.csv","EAT","3","3","3"
"108",153938,"aghe1239-1-4-1","aghe1239-1",NA,"4",NA,"tʃʲàkò","tʃʲàkò",NA,NA,"4",NA,NA,"numerals-aghe1239-1.csv","EAT","4","4","4"
"109",153939,"aghe1239-1-5-1","aghe1239-1",NA,"5",NA,"tɛ̀ʲ","tɛ̀ʲ",NA,NA,"5",NA,NA,"numerals-aghe1239-1.csv","EAT","5","5","5"
"110",153940,"aghe1239-1-6-1","aghe1239-1",NA,"6",NA,"tǔ̞ː","tǔ̞ː",NA,NA,"6",NA,NA,"numerals-aghe1239-1.csv","EAT","6","6","6"
"111",153941,"aghe1239-1-7-1","aghe1239-1",NA,"7",NA,"sə̀ˠàⁿbə̄ˠā","sə̀ˠàⁿbə̄ˠā",NA,NA,"3′⋅2{?}","5 = 3?",NA,"numerals-aghe1239-1.csv","EAT","3′⋅2","3⋅2","abs(3*2)"
"112",153942,"aghe1239-1-8-1","aghe1239-1",NA,"8",NA,"ɪ́fǎː","ɪ́fǎː",NA,NA,"8",NA,NA,"numerals-aghe1239-1.csv","EAT","8","8","8"
"113",153943,"aghe1239-1-9-1","aghe1239-1",NA,"9",NA,"tɛ̄ⁿdzū̞ˠū̞","tɛ̄ⁿdzū̞ˠū̞",NA,NA,"9",NA,NA,"numerals-aghe1239-1.csv","EAT","9","9","9"
"114",153944,"aghe1239-1-10-1","aghe1239-1",NA,"10",NA,"ɪ́ɣə̄m","ɪ́ɣə̄m",NA,NA,"10",NA,NA,"numerals-aghe1239-1.csv","EAT","10","10","10"
