Language_ID,ID,Parameter_ID,Value,Form,Gloss,,Comment_Glosser
nyan1307-1,nyan1307-1-26-1,26,ɑ̀ːβìɾí nɑ̀mùkɑ̂ːɡɑ̀,ɑ̀ːβìɾí nɑ̀mùkɑ̂ːɡɑ̀,([10]·{CL”’}2)+{and}{CL”}6,,
nyan1307-1,nyan1307-1-27-1,27,ɑ̀ːβìɾí nɑ̀mùʃɑ̀ˑⁿʒù,ɑ̀ːβìɾí nɑ̀mùʃɑ̀ˑⁿʒù,([10]·{CL”’}2)+{and}{CL”}7,,
nyan1307-1,nyan1307-1-28-1,28,ɑ̀ːβìɾí nɑ̀mùnɑ̂ːnɑ̀,ɑ̀ːβìɾí nɑ̀mùnɑ̂ːnɑ̀,([10]·{CL”’}2)+{and}{CL”}4+4,,
nyan1307-1,nyan1307-1-29-1,29,ɑ̀ːβìɾí nɑ̀mʷèˑⁿdɑ̀,ɑ̀ːβìɾí nɑ̀mʷèˑⁿdɑ̀,([10]·{CL”’}2)+{and}9,,
nyan1307-1,nyan1307-1-30-1,30,(mɑ̀kúmì) ɑ̀ːʃɑ̀tù,(mɑ̀kúmì) ɑ̀ːʃɑ̀tù,"{CL”’}10·{CL""'}3",,
nyan1307-1,nyan1307-1-40-1,40,(mɑ̀kúmì) ɑ́ːnɑ̀,(mɑ̀kúmì) ɑ́ːnɑ̀,"{CL”’}10·{CL""'}4",,
nyan1307-1,nyan1307-1-50-1,50,(mɑ̀kúmì) ɑ̀ːtɑ̀ːnò,(mɑ̀kúmì) ɑ̀ːtɑ̀ːnò,"{CL”’}10·{CL""'}5",,
nyan1307-1,nyan1307-1-60-1,60,n̩kɑ̂ːɡɑ̀,n̩kɑ̂ːɡɑ̀,[10]·{CL””}6,,
nyan1307-1,nyan1307-1-70-1,70,n̩ʃɑ̀ˑⁿʒù,n̩ʃɑ̀ˑⁿʒù,[10]·{CL””}7,,
nyan1307-1,nyan1307-1-80-1,80,kìnɑ̂ːnɑ̀,kìnɑ̂ːnɑ̀,[10]·{CL””}4’+4,,
nyan1307-1,nyan1307-1-90-1,90,t͡ʃêˑⁿdɑ̀,t͡ʃêˑⁿdɑ̀,[10]·9’,,
nyan1307-1,nyan1307-1-100-1,100,kìkúmì,kìkúmì,{CL””’}100,,
nyan1307-1,nyan1307-1-200-1,200,βìkúmì βíβìɾi,βìkúmì βíβìɾi,([10]·{CL”””}10)·{CL”””}2,,
nyan1307-1,nyan1307-1-1000-1,1000,ɾùkúmì,ɾùkúmì,{CL””’’}1000,,the forms for hundred has interfered with other forms
nyan1307-1,nyan1307-1-2000-1,2000,ŋ̩̀kúmì ìːβìɾì,ŋ̩̀kúmì ìːβìɾì,{CL””’’}1000·2,,
nyan1307-2,nyan1307-2-1-1,1,emwe,emwe,{CL}1,,two class markers combined i and e?
nyan1307-2,nyan1307-2-2-1,2,eibiri,eibiri,{CL}2,,
nyan1307-2,nyan1307-2-3-1,3,eishatu,eishatu,{CL}3,,
nyan1307-2,nyan1307-2-4-1,4,eina,eina,{CL}4,,
nyan1307-2,nyan1307-2-5-1,5,etaano,etaano,{CL}5,,
nyan1307-2,nyan1307-2-6-1,6,mukaaɡa,mukaaɡa,{CL’}6,,
nyan1307-2,nyan1307-2-7-1,7,mushanju,mushanju,{CL’}7,,
nyan1307-2,nyan1307-2-8-1,8,munaana,munaana,{CL’}4+4,,mu - class marker? na = reduplicator
nyan1307-2,nyan1307-2-9-1,9,mwenda,mwenda,{CL’}9,,
nyan1307-2,nyan1307-2-10-1,10,eikumi,eikumi,{CL}10,,
nyan1307-2,nyan1307-2-11-1,11,ikumi n'emwe,ikumi n'emwe,{CL}10+{LIG}1,,
nyan1307-2,nyan1307-2-12-1,12,ikumi n'eibiri,ikumi n'eibiri,{CL}10+{LIG}2,,
nyan1307-2,nyan1307-2-13-1,13,ikumi n'eishatu,ikumi n'eishatu,{CL}10+{LIG}3,,
nyan1307-2,nyan1307-2-14-1,14,ikumi n'eina,ikumi n'eina,{CL}10+{LIG}4,,
nyan1307-2,nyan1307-2-15-1,15,ikumi n'eitaano,ikumi n'eitaano,{CL}10+{LIG}5,,
nyan1307-2,nyan1307-2-16-1,16,ikumi na mukaaɡa,ikumi na mukaaɡa,{CL}10+{LIG}6,,
nyan1307-2,nyan1307-2-17-1,17,ikumi na mushanju,ikumi na mushanju,{CL}10+{LIG}7,,
nyan1307-2,nyan1307-2-18-1,18,ikumi na munaana,ikumi na munaana,{CL}10+{LIG}8,,
nyan1307-2,nyan1307-2-19-1,19,ikumi na mwenda,ikumi na mwenda,{CL}10+{LIG}9,,
nyan1307-2,nyan1307-2-20-1,20,(makumi) abiri,(makumi) abiri,{CL’}10·{CL’}2,,
nyan1307-2,nyan1307-2-21-1,21,abiri n'ewe,abiri n'ewe,({CL’}10·{CL’}2)+{LIG}1,,
nyan1307-2,nyan1307-2-22-1,22,abiri n'eibiri,abiri n'eibiri,({CL’}10·{CL’}2)+{LIG}2,,
nyan1307-2,nyan1307-2-23-1,23,abiri n'eishatu,abiri n'eishatu,({CL’}10·{CL’}2)+{LIG}3,,
nyan1307-2,nyan1307-2-24-1,24,abiri n'eina,abiri n'eina,({CL’}10·{CL’}2)+{LIG}4,,
nyan1307-2,nyan1307-2-25-1,25,abiri n'etaano,abiri n'etaano,({CL’}10·{CL’}2)+{LIG}5,,
nyan1307-2,nyan1307-2-26-1,26,abiri na mukaaɡa,abiri na mukaaɡa,({CL’}10·{CL’}2)+{LIG}6,,
nyan1307-2,nyan1307-2-27-1,27,abiri na mushanju,abiri na mushanju,({CL’}10·{CL’}2)+{LIG}7,,
nyan1307-2,nyan1307-2-28-1,28,abiri na munaana,abiri na munaana,({CL’}10·{CL’}2)+{LIG}8,,
nyan1307-2,nyan1307-2-29-1,29,abiri na mwenda,abiri na mwenda,({CL’}10·{CL’}2)+{LIG}9,,
nyan1307-2,nyan1307-2-30-1,30,ashatu,ashatu,[10]·{CL’}3,,
nyan1307-2,nyan1307-2-40-1,40,ana,ana,[10]·{CL’}4,,
nyan1307-2,nyan1307-2-50-1,50,ataano,ataano,[10]·{CL’}5,,
nyan1307-2,nyan1307-2-60-1,60,n̩kaaɡa,n̩kaaɡa,[10]·{CL”}6,,
nyan1307-2,nyan1307-2-70-1,70,nshanju,nshanju,[10]·{CL”}7,,
nyan1307-2,nyan1307-2-80-1,80,kinaana,kinaana,[10]·{CL”’}4+4,,
nyan1307-2,nyan1307-2-90-1,90,kyenda,kyenda,[10]·9,,
nyan1307-2,nyan1307-2-100-1,100,kikumi,kikumi,[10]·{CL””}10,,
nyan1307-2,nyan1307-2-200-1,200,ikumi bibir,ikumi bibir,[10]·{CL}10·{CL””’}2,,
nyan1307-2,nyan1307-2-1000-1,1000,rukumi,rukumi,1000,,
nyan1307-2,nyan1307-2-2000-1,2000,enkumi ibiri,enkumi ibiri,1000·2,,
