glottocode,Parameter_ID,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
baga1272,twentyfour,wɨt͡ʃɔ mɛrɨŋ kɔ maŋkɨlɛ,witsomeringkomangkile,,FALSE,(10·2)+4,,
baga1272,twentyfive,wɨt͡ʃɔ mɛrɨŋ kɔ kɨt͡ʃamɨt,witsomeringkokitsamit,,FALSE,(10·2)+5,,
baga1272,twentysix,wɨt͡ʃɔ mɛrɨŋ kɔ t͡ʃamɨtin,witsomeringkotsamitin,,FALSE,(10·2)+5+1,,
baga1272,twentyseven,wɨt͡ʃɔ mɛrɨŋ kɔ t͡ʃamɨmɛrɨŋ,witsomeringkotsamimering,,FALSE,(10·2)+5+2,,
baga1272,twentyeight,wɨt͡ʃɔ mɛrɨŋ kɔ t͡ʃamɨmaːs,witsomeringkotsamimas,,FALSE,(10·2)+5+3,,
baga1272,twentynine,wɨt͡ʃɔ mɛrɨŋ kɔ t͡ʃamɨmaŋkɨlɛ,witsomeringkotsamimangkile,,FALSE,(10·2)+5+4,,
baga1272,thirty,wɨt͡ʃɔ maːs,witsomas,,FALSE,10·3,,
baga1272,forty,wɨt͡ʃɔ maŋkɨlɛ,witsomangkile,,FALSE,10·4,,
baga1272,fifty,wɨt͡ʃɔ kɨt͡ʃamɨt,witsokitsamit,,FALSE,10·5,,
baga1272,sixty,wɨt͡ʃɔ t͡ʃamɨtin,witsotsamitin,,FALSE,10·(5+1’),,
baga1272,seventy,wɨt͡ʃɔ t͡ʃamɨmɛrɨŋ,witsotsamimering,,FALSE,10·(5+2),,
baga1272,eighty,wɨt͡ʃɔ t͡ʃamɨmaːs,witsotsamimas,,FALSE,10·(5+3),,
baga1272,ninety,wɨt͡ʃɔ t͡ʃamɨmaŋkɨlɛ,witsotsamimangkile,,FALSE,10·(5+4),,
baga1272,hundred,kɛmɛ,keme,,FALSE,100,,
baga1272,hundred,tasar tin,tasartin,,FALSE,100’·1,,
baga1272,twohundred,kɛmɛ mɛrɨŋ,kememering,,FALSE,100·2,,
baga1272,twohundred,tasar mɛrɨŋ,tasarmering,,FALSE,100’·2,,
baga1272,thousand,wul,wul,( from Susu ),FALSE,1000,,
baga1272,thousand,mɛt͡ʃɛpsɛ,metsepse,,FALSE,1000’,,
baga1272,twothousand,wul mɛrɨŋ,wulmering,,FALSE,1000·2,,
baga1272,twothousand,mɛt͡ʃɛpsɛ mɛrɨŋ,metsepsemering,,FALSE,1000’·3,,
bull1247,one,nìmbúl,nimbul,,FALSE,{CL}1,,
bull1247,two,nìncə́ŋ,nincang,,FALSE,{CL}2,,
bull1247,three,nìnrá,ninra,,FALSE,{CL}3,,
bull1247,four,nìŋnyɔ́l,ningnyol,,FALSE,{CL}4,,
bull1247,four,-nyɔ́l,nyol,,FALSE,4,,
bull1247,five,nìmán,niman,,FALSE,{CL}5,,
