,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
39,numerals-bumb1241-1-fourteen-1,numerals-bumb1241-1,Chan2019,fourteen,14,sɔmbrɔp iʔirine sɔmbrɔp iʔirine mbɔmbɔhɪtɔm,sombropiirinesombropiirinembombohitom,I; (5+5+4),FALSE,(5[⋅]1′)[+](5[⋅]1′)[+]2[+]2,,
40,numerals-bumb1241-1-fourteen-2,numerals-bumb1241-1,Chan2019,fourteen,14,reŋger iʔirine reŋger iʔirine mbɔmbɔhɪtɔm,renggeriirinerenggeriirinembombohitom,II; (5+5+4),FALSE,(5′[⋅]1′)[+](5′[⋅]1′)[+]2[+]2,,
41,numerals-bumb1241-1-fifteen-1,numerals-bumb1241-1,Chan2019,fifteen,15,sɔmbrɔp iʔirine sɔmbrɔp iʔirine sɔmbrɔp iʔirine,sombropiirinesombropiirinesombropiirine,I; (5+5+5),FALSE,(5[⋅]1′)[+](5[⋅]1′)[+](5[⋅]1′),,
42,numerals-bumb1241-1-fifteen-2,numerals-bumb1241-1,Chan2019,fifteen,15,sɔmbres wenihɪtɔm,sombreswenihitom,II; (3 palms),FALSE,5⋅3,,
43,numerals-bumb1241-1-fifteen-3,numerals-bumb1241-1,Chan2019,fifteen,15,reŋger iʔirine reŋger iʔirine reŋger iʔirine,renggeriirinerenggeriirinerenggeriirine,II; (5+5+5),FALSE,(5′[⋅]1′)[+](5′[⋅]1′)[+](5′[⋅]1′),,
44,numerals-bumb1241-1-sixteen-1,numerals-bumb1241-1,Chan2019,sixteen,16,sɔmbrɔp iʔirine sɔmbrɔp iʔirine sɔmbrɔp iʔirine tihɪtene,sombropiirinesombropiirinesombropiirinetihitene,I; (5+5+5+1),FALSE,(5[⋅]1′)[+](5[⋅]1′)[+](5[⋅]1′)[+]1,,
45,numerals-bumb1241-1-sixteen-2,numerals-bumb1241-1,Chan2019,sixteen,16,reŋger iʔirine reŋger iʔirine reŋger iʔirine tihɪtene,renggeriirinerenggeriirinerenggeriirinetihitene,II; (5+5+5+1),FALSE,(5′[⋅]1′)[+](5′[⋅]1′)[+](5′[⋅]1′)[+]1,,
46,numerals-bumb1241-1-seventeen-1,numerals-bumb1241-1,Chan2019,seventeen,17,sɔmbrɔp iʔirine sɔmbrɔp iʔirine sɔmbrɔp iʔirine mbɔhɪtɔm,sombropiirinesombropiirinesombropiirinembohitom,I; (5+5+5+2),FALSE,(5[⋅]1′)[+](5[⋅]1′)[+](5[⋅]1′)[+]2,,
47,numerals-bumb1241-1-seventeen-2,numerals-bumb1241-1,Chan2019,seventeen,17,reŋger iʔirine reŋger iʔirine reŋger iʔirine mbɔhɪtɔm,renggeriirinerenggeriirinerenggeriirinembohitom,II; (5+5+5+2),FALSE,(5′[⋅]1′)[+](5′[⋅]1′)[+](5′[⋅]1′)[+]2,,
48,numerals-bumb1241-1-eighteen-1,numerals-bumb1241-1,Chan2019,eighteen,18,sɔmbrɔp iʔirine sɔmbrɔp iʔirine sɔmbrɔp iʔirine wenihɪtɔm,sombropiirinesombropiirinesombropiirinewenihitom,I; (5+5+5+3),FALSE,(5[⋅]1′)[+](5[⋅]1′)[+](5[⋅]1)′[+]3,,
49,numerals-bumb1241-1-eighteen-2,numerals-bumb1241-1,Chan2019,eighteen,18,reŋger iʔirine reŋger iʔirine reŋger iʔirine wenihɪtɔm,renggeriirinerenggeriirinerenggeriirinewenihitom,II; (5+5+5+3),FALSE,(5′[⋅]1′)[+](5′[⋅]1′)[+](5′[⋅]1′)[+]3,,
50,numerals-bumb1241-1-nineteen-1,numerals-bumb1241-1,Chan2019,nineteen,19,sɔmbrɔp iʔirine sɔmbrɔp iʔirine sɔmbrɔp iʔirine mbɔmbɔhɪtɔm,sombropiirinesombropiirinesombropiirinembombohitom,I; (5+5+5+4),FALSE,(5[⋅]1′)[+](5[⋅]1′)[+](5[⋅]1′)[+]2[+]2,,
51,numerals-bumb1241-1-nineteen-2,numerals-bumb1241-1,Chan2019,nineteen,19,reŋger iʔirine reŋger iʔirine reŋger iʔirine mbɔmbɔhɪtɔm,renggeriirinerenggeriirinerenggeriirinembombohitom,II; (5+5+5+4),FALSE,(5′[⋅]1′)[+](5′[⋅]1′)[+](5′[⋅]1′)[+]2[+]2,,
52,numerals-bumb1241-1-twenty-1,numerals-bumb1241-1,Chan2019,twenty,20,sɔmbrɔp iʔirine sɔmbrɔp iʔirine sɔmbrɔp iʔirine sɔmbrɔp iʔirine,sombropiirinesombropiirinesombropiirinesombropiirine,I; (5+5+5+5),FALSE,(5[⋅]1′)[+](5[⋅]1′)[+](5[⋅]1′)[+](5[⋅]1′),,
53,numerals-bumb1241-1-twenty-2,numerals-bumb1241-1,Chan2019,twenty,20,sɔmbres mbɔmbɔhɪtɔm,sombresmbombohitom,II; (4 palms),FALSE,5⋅(2[+]2),,
54,numerals-bumb1241-1-twenty-3,numerals-bumb1241-1,Chan2019,twenty,20,reŋger iʔirine reŋger iʔirine reŋger iʔirine reŋger iʔirine,renggeriirinerenggeriirinerenggeriirinerenggeriirine,II; (5+5+5+5),FALSE,(5′[⋅]1′)[+](5′[⋅]1′)[+](5′[⋅]1′)[+](5′[⋅]1′),,
