"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss","FileName","Glosser","Gloss.clean","Gloss.math","Gloss.calc","Math.well.defined","Math.check","Does.math.work"
"25","numerals-sang1331-1-eighty-1","numerals-sang1331-1","Chan2019","eighty",80,"mákùmí múnáːnè","makumimunane","","false","{CL″}10⋅{CL′}4+4′","","","Africa074-AtlanticCongo-numerals-sang1331-1.csv","EAT","10⋅4+4′","10⋅4+4","abs(10*4)+4",1,44,FALSE
"26","numerals-nkoy1244-1-twentysix-1","numerals-nkoy1244-1","Chan2019","twentysix",26,"makumi abili na mutanu na kamo","makumiabilinamutanunakamo","","false","({CL‴}10⋅{CL″″}2)+{and}6+{and}1",NA,NA,"Africa078-AtlanticCongo-numerals-nkoy1244-1.csv","EAT","(10⋅2)+6+1","(10⋅2)+6+1","abs(abs(10*2))+6+1",1,27,FALSE
"27","numerals-nkoy1244-1-twentyseven-1","numerals-nkoy1244-1","Chan2019","twentyseven",27,"makumi abili na mutanu na tubili","makumiabilinamutanunatubili","","false","({CL‴}10⋅{CL″″}2)+{and}6+{and}{CL}2",NA,NA,"Africa078-AtlanticCongo-numerals-nkoy1244-1.csv","EAT","(10⋅2)+6+2","(10⋅2)+6+2","abs(abs(10*2))+6+2",1,28,FALSE
"28","numerals-nkoy1244-1-twentyeight-1","numerals-nkoy1244-1","Chan2019","twentyeight",28,"makumi abili na mutanu na tahatu","makumiabilinamutanunatahatu","","false","({CL‴}10⋅{CL″″}2)+{and}6+{and}{CL}3",NA,NA,"Africa078-AtlanticCongo-numerals-nkoy1244-1.csv","EAT","(10⋅2)+6+3","(10⋅2)+6+3","abs(abs(10*2))+6+3",1,29,FALSE
"29","numerals-nkoy1244-1-twentynine-1","numerals-nkoy1244-1","Chan2019","twentynine",29,"makumi abili na mutanu na tuna","makumiabilinamutanunatuna","","false","({CL‴}10⋅{CL″″}2)+{and}6+{and}{CL}4",NA,NA,"Africa078-AtlanticCongo-numerals-nkoy1244-1.csv","EAT","(10⋅2)+6+4","(10⋅2)+6+4","abs(abs(10*2))+6+4",1,30,FALSE
"30","numerals-komo1260-1-fourteen-2","numerals-komo1260-1","Chan2019","fourteen",14,"nkámá na","nkamana","","false","10+{+}5","",NA,"Africa105-AtlanticCongo-numerals-komo1260-1.csv","EAT","10+5","10+5","10+5",1,15,FALSE
"31","numerals-komo1260-1-eighty-1","numerals-komo1260-1","Chan2019","eighty",80,"nkámá monánɛ","nkamamonane","","false","10⋅{CL}4+4′","",NA,"Africa105-AtlanticCongo-numerals-komo1260-1.csv","EAT","10⋅4+4′","10⋅4+4","abs(10*4)+4",1,44,FALSE
"32","numerals-pagi1243-2-forty-1","numerals-pagi1243-2","Chan2019","forty",40,"ⁿtúkú mínɛ","ntukumine","","false","10′⋅{CL″}3","",NA,"Africa107-AtlanticCongo-numerals-pagi1243-2.csv","EAT","10′⋅3","10⋅3","abs(10*3)",1,30,FALSE
"33","numerals-pagi1243-2-thousand-1","numerals-pagi1243-2","Chan2019","thousand",1000,"ᵑkɔ́tɔ jɔ́kɔ́","kotojoko","","false","100⋅1′","",NA,"Africa107-AtlanticCongo-numerals-pagi1243-2.csv","EAT","100⋅1′","100⋅1","abs(100*1)",1,100,FALSE
"34","numerals-pagi1243-2-twothousand-1","numerals-pagi1243-2","Chan2019","twothousand",2000,"ᵑkɔ́tɔ iɓale","kotoibale","","false","100⋅{CL‴}2","",NA,"Africa107-AtlanticCongo-numerals-pagi1243-2.csv","EAT","100⋅2","100⋅2","abs(100*2)",1,200,FALSE
"35","numerals-hung1278-1-sixty-1","numerals-hung1278-1","Chan2019","sixty",60,"mákum másámwán","makummasamwan",NA,"false","{CL′}10′⋅{CL′}5′+1′",NA,NA,"Africa143-AtlanticCongo-numerals-hung1278-1.csv","EAT","10′⋅5′+1′","10⋅5+1","abs(10*5)+1",1,51,FALSE
"36","numerals-hung1278-1-seventy-1","numerals-hung1278-1","Chan2019","seventy",70,"mákum má sámbwár","makummasambwar",NA,"false","{CL′}10′⋅{CL′}5′+2′",NA,NA,"Africa143-AtlanticCongo-numerals-hung1278-1.csv","EAT","10′⋅5′+2′","10⋅5+2","abs(10*5)+2",1,52,FALSE
"37","numerals-tien1242-1-thirteen-1","numerals-tien1242-1","Chan2019","thirteen",13,"dími á isáti","dimiaisati",NA,"false","{CL′}10+[+]{CL}2",NA,"","Africa149-AtlanticCongo-numerals-tien1242-1.csv","EAT","10+[+]2","10++2","10++2",1,12,FALSE
"38","numerals-tien1242-1-fourteen-1","numerals-tien1242-1","Chan2019","fourteen",14,"dími á iníi","dimiainii",NA,"false","{CL′}10+[+]{CL}3",NA,"","Africa149-AtlanticCongo-numerals-tien1242-1.csv","EAT","10+[+]3","10++3","10++3",1,13,FALSE
"39","numerals-omba1241-1-two-2","numerals-omba1241-1","Chan2019","two",2,"d͡ʒʲɛ́lɛ́","dzjele",NA,"false","3","",NA,"Africa159-AtlanticCongo-numerals-omba1241-1.csv","EAT","3","3","3",1,3,FALSE
"40","numerals-omba1241-1-three-1","numerals-omba1241-1","Chan2019","three",3,"tárí","tari",NA,"false","4","",NA,"Africa159-AtlanticCongo-numerals-omba1241-1.csv","EAT","4","4","4",1,4,FALSE
"41","numerals-omba1241-1-four-1","numerals-omba1241-1","Chan2019","four",4,"nà","na",NA,"false","5","",NA,"Africa159-AtlanticCongo-numerals-omba1241-1.csv","EAT","5","5","5",1,5,FALSE
"42","numerals-omba1241-1-five-1","numerals-omba1241-1","Chan2019","five",5,"táání","taani",NA,"false","6","",NA,"Africa159-AtlanticCongo-numerals-omba1241-1.csv","EAT","6","6","6",1,6,FALSE
"43","numerals-teke1275-2-twothousand-1","numerals-teke1275-2","Chan2019","twothousand",2000,"ekámá pfúúmi dzyɛɛlɛ","ekamapfuumidzyeele",NA,"false","{CL′}1000⋅10⋅{CL′}2","",NA,"Africa160-AtlanticCongo-numerals-teke1275-2.csv","EAT","1000⋅10⋅2","1000⋅10⋅2","abs(1000*10)*2",1,20000,FALSE
"44","numerals-ngaz1238-1-nineteen-1","numerals-ngaz1238-1","Chan2019","nineteen",19,"kume na ʃenɗa","kumenasenda",NA,"false","10+{and}5",NA,NA,"Africa172-AtlanticCongo-numerals-ngaz1238-1.csv","EAT","10+5","10+5","10+5",1,15,FALSE
"45","numerals-ngaz1238-1-eighty-1","numerals-ngaz1238-1","Chan2019","eighty",80,"meŋɡo minane","menggominane",NA,"false","{CL}10′⋅{CL}4′+4",NA,NA,"Africa172-AtlanticCongo-numerals-ngaz1238-1.csv","EAT","10′⋅4′+4","10⋅4+4","abs(10*4)+4",1,44,FALSE
"46","numerals-kagu1239-1-ninety-1","numerals-kagu1239-1","Chan2019","ninety",90,"makumi ikenda","makumiikenda",NA,"false","{CL′}10⋅8","","","Africa184-AtlanticCongo-numerals-kagu1239-1.csv","EAT","10⋅8","10⋅8","abs(10*8)",1,80,FALSE
"47","numerals-embu1241-1-sixty-1","numerals-embu1241-1","Chan2019","sixty",60,"mironɡo ithathatu","mirongoithathatu","","false","{CL″}10′⋅{CL}3′+3","",NA,"Africa196-AtlanticCongo-numerals-embu1241-1.csv","EAT","10′⋅3′+3","10⋅3+3","abs(10*3)+3",1,33,FALSE
"48","numerals-embu1241-1-eighty-1","numerals-embu1241-1","Chan2019","eighty",80,"mironɡo inyanya","mirongoinyanya","","false","{CL″}10′⋅{CL}4′+4′","",NA,"Africa196-AtlanticCongo-numerals-embu1241-1.csv","EAT","10′⋅4′+4′","10⋅4+4","abs(10*4)+4",1,44,FALSE
"49","numerals-kiku1240-1-sixty-1","numerals-kiku1240-1","Chan2019","sixty",60,"mèrɔnɡɔ́ èðaðató","merongoedadato","","false","{CL″}10⋅{CL}3′+3","",NA,"Africa197-AtlanticCongo-numerals-kiku1240-1.csv","EAT","10⋅3′+3","10⋅3+3","abs(10*3)+3",1,33,FALSE
"50","numerals-vunj1238-1-hundred-1","numerals-vunj1238-1","Chan2019","hundred",100,"iɡana","igana",NA,"false","10","",NA,"Africa201-AtlanticCongo-numerals-vunj1238-1.csv","EAT","10","10","10",1,10,FALSE
"51","numerals-vunj1238-1-twohundred-1","numerals-vunj1238-1","Chan2019","twohundred",200,"maɡana ɡawi","maganagawi",NA,"false","10′⋅{?}2","",NA,"Africa201-AtlanticCongo-numerals-vunj1238-1.csv","EAT","10′⋅2","10⋅2","abs(10*2)",1,20,FALSE
"52","numerals-bend1258-2-eighty-1","numerals-bend1258-2","Chan2019","eighty",80,"makumí múnaané","makumimunaane","","false","{CL‴}10⋅{CL′}4′+4",NA,NA,"Africa205-AtlanticCongo-numerals-bend1258-2.csv","EAT","10⋅4′+4","10⋅4+4","abs(10*4)+4",1,44,FALSE
"53","numerals-saam1283-1-twohundred-1","numerals-saam1283-1","Chan2019","twohundred",200,"efixumi tsiβili","efixumitsibili",NA,"false","{CL″″}10⋅{CL″‴}10","","","Africa209-AtlanticCongo-numerals-saam1283-1.csv","EAT","10⋅10","10⋅10","abs(10*10)",1,100,FALSE
"54","numerals-nyan1307-1-eighty-1","numerals-nyan1307-1","Chan2019","eighty",80,"kìnɑ̂ːnɑ̀","kinana",NA,"false","[10]⋅{CL″″}4′+4","",NA,"Africa214-AtlanticCongo-numerals-nyan1307-1.csv","EAT","[10]⋅4′+4","10⋅4+4","abs(10*4)+4",1,44,FALSE
"55","numerals-nyam1277-1-sixty-1","numerals-nyam1277-1","Chan2019","sixty",60,"ŋ̩kâːɡa","ngkaga",NA,"false","[10]+6","",NA,"Africa220-AtlanticCongo-numerals-nyam1277-1.csv","EAT","[10]+6","10+6","10+6",1,16,FALSE
"56","numerals-nyam1277-1-seventy-1","numerals-nyam1277-1","Chan2019","seventy",70,"n̩saːnɟu","nsanju",NA,"false","[10]+7","",NA,"Africa220-AtlanticCongo-numerals-nyam1277-1.csv","EAT","[10]+7","10+7","10+7",1,17,FALSE
"57","numerals-nyam1277-1-eighty-1","numerals-nyam1277-1","Chan2019","eighty",80,"cinâːna","cinana",NA,"false","[10]+4+4","",NA,"Africa220-AtlanticCongo-numerals-nyam1277-1.csv","EAT","[10]+4+4","10+4+4","10+4+4",1,18,FALSE
"58","numerals-nyam1277-1-ninety-1","numerals-nyam1277-1","Chan2019","ninety",90,"cenda","cenda",NA,"false","[10]+9","",NA,"Africa220-AtlanticCongo-numerals-nyam1277-1.csv","EAT","[10]+9","10+9","10+9",1,19,FALSE
"59","numerals-kere1283-1-eighty-1","numerals-kere1283-1","Chan2019","eighty",80,"ma.kumi mu.nana","makumimunana",NA,"false","{CL′}10⋅{CL}4+4",NA,NA,"Africa222-AtlanticCongo-numerals-kere1283-1.csv","EAT","10⋅4+4","10⋅4+4","abs(10*4)+4",1,44,FALSE
"60","numerals-gusi1247-1-thousand-1","numerals-gusi1247-1","Chan2019","thousand",1000,"eɾiβu ɛjɛmɔ","eribuejemo","( 'ɾiβu' < Austronesian ?)","true","{CL″}100⋅{CL}2",NA,NA,"Africa227-AtlanticCongo-numerals-gusi1247-1.csv","EAT","100⋅2","100⋅2","abs(100*2)",1,200,FALSE
"61","numerals-gusi1247-1-twothousand-1","numerals-gusi1247-1","Chan2019","twothousand",2000,"tʃɾiβu iβeɾe","tsribuibere","","false","{CL″″}100⋅{CL′}2",NA,NA,"Africa227-AtlanticCongo-numerals-gusi1247-1.csv","EAT","100⋅2","100⋅2","abs(100*2)",1,200,FALSE
"62","numerals-ikom1245-1-eighty-1","numerals-ikom1245-1","Chan2019","eighty",80,"muɾoᵑɡo enane","murogoenane","","false","{CL″}10⋅{CL″}4′+4",NA,NA,"Africa234-AtlanticCongo-numerals-ikom1245-1.csv","EAT","10⋅4′+4","10⋅4+4","abs(10*4)+4",1,44,FALSE
"63","numerals-shii1238-1-hundred-1","numerals-shii1238-1","Chan2019","hundred",100,"iɡana","igana",NA,"false","{CL″}10","",NA,"Africa240-AtlanticCongo-numerals-shii1238-1.csv","EAT","10","10","10",1,10,FALSE
"64","numerals-shii1238-1-twohundred-1","numerals-shii1238-1","Chan2019","twohundred",200,"maɡána abiri","maganaabiri",NA,"false","{CL‴}10⋅{CL⁗}2","",NA,"Africa240-AtlanticCongo-numerals-shii1238-1.csv","EAT","10⋅2","10⋅2","abs(10*2)",1,20,FALSE
"65","numerals-haaa1252-1-forty-2","numerals-haaa1252-1","Chan2019","forty",40,"amatʃúmi anné","amatsumianne",NA,"false","{CL″″″}10⋅{CL‴}5","",NA,"Africa242-AtlanticCongo-numerals-haaa1252-1.csv","EAT","10⋅5","10⋅5","abs(10*5)",1,50,FALSE
"66","numerals-rund1242-1-hundred-1","numerals-rund1242-1","Chan2019","hundred",100,"iʒana","izana",NA,"false","{CL″′}10","","","Africa243-AtlanticCongo-numerals-rund1242-1.csv","EAT","10","10","10",1,10,FALSE
"67","numerals-nyam1276-1-six-1","numerals-nyam1276-1","Chan2019","six",6,"handatu","handatu","","false","3′⋅3","elsewhere - tan dat = leave three members",NA,"Africa246-AtlanticCongo-numerals-nyam1276-1.csv","EAT","3′⋅3","3⋅3","abs(3*3)",1,9,FALSE
"68","numerals-nyam1276-1-sixteen-1","numerals-nyam1276-1","Chan2019","sixteen",16,"ikumi ni handatu","ikuminihandatu","","false","{CL}10+{and}(3′⋅3)","",NA,"Africa246-AtlanticCongo-numerals-nyam1276-1.csv","EAT","10+(3′⋅3)","10+(3⋅3)","10+abs(abs(3*3))",1,19,FALSE
"69","numerals-nyam1276-1-twentysix-1","numerals-nyam1276-1","Chan2019","twentysix",26,"makumi abili ni handatu","makumiabilinihandatu","","false","({CL′}10⋅{CL′}2)+{and}(3⋅3)","",NA,"Africa246-AtlanticCongo-numerals-nyam1276-1.csv","EAT","(10⋅2)+(3⋅3)","(10⋅2)+(3⋅3)","abs(abs(10*2))+abs(abs(3*3))",1,29,FALSE
"70","numerals-nyam1276-1-sixty-1","numerals-nyam1276-1","Chan2019","sixty",60,"makumi handatu","makumihandatu","","false","{CL′}10⋅{CL′}3′⋅3","",NA,"Africa246-AtlanticCongo-numerals-nyam1276-1.csv","EAT","10⋅3′⋅3","10⋅3⋅3","abs(10*3)*3",1,90,FALSE
"71","numerals-suku1261-1-eighty-1","numerals-suku1261-1","Chan2019","eighty",80,"makʊmi anaáne","makumianaane","","false","{CL′}10⋅{CL″}4′+4",NA,NA,"Africa247-AtlanticCongo-numerals-suku1261-1.csv","EAT","10⋅4′+4","10⋅4+4","abs(10*4)+4",1,44,FALSE
"72","numerals-bemb1257-1-nineteen-1","numerals-bemb1257-1","Chan2019","nineteen",19,"íkúmí nà pààbúlá","ikuminapaabula","","false","{CL″}10+{+}0",NA,"","Africa249-AtlanticCongo-numerals-bemb1257-1.csv","EAT","10+0","10+0","10+0",1,10,FALSE
"73","numerals-bemb1257-1-hundred-1","numerals-bemb1257-1","Chan2019","hundred",100,"ùmwándá ùmò","umwandaumo","","false","{CL″⁗}1000⋅{CL″⁗}1",NA,"","Africa249-AtlanticCongo-numerals-bemb1257-1.csv","EAT","1000⋅1","1000⋅1","abs(1000*1)",1,1000,FALSE
"74","numerals-lala1264-1-twentynine-1","numerals-lala1264-1","Chan2019","twentynine",29,"ifintu amakumi aŵili nasanu nafine","ifintuamakumiawilinasanunafine","","false","({LIG?}{CL}10⋅2)+{and}5+{and}3",NA,NA,"Africa250-AtlanticCongo-numerals-lala1264-1.csv","EAT","(10⋅2)+5+3","(10⋅2)+5+3","abs(abs(10*2))+5+3",1,28,FALSE
"75","numerals-nyat1246-1-eighty-1","numerals-nyat1246-1","Chan2019","eighty",80,"makumi monana","makumimonana",NA,"false","{CL″″}10⋅{CL″}4+4","",NA,"Africa260-AtlanticCongo-numerals-nyat1246-1.csv","EAT","10⋅4+4","10⋅4+4","abs(10*4)+4",1,44,FALSE
"76","numerals-nyat1246-1-twothousand-1","numerals-nyat1246-1","Chan2019","twothousand",2000,"alufu ivere","alufuivere",NA,"false","{CL″‴}1000⋅{CL′}1","",NA,"Africa260-AtlanticCongo-numerals-nyat1246-1.csv","EAT","1000⋅1","1000⋅1","abs(1000*1)",1,1000,FALSE
"77","numerals-nila1242-1-thousand-1","numerals-nila1242-1","Chan2019","thousand",1000,"ɡana lya nzoɡu","ganalyanzogu",NA,"false","100⋅[⋅]10","","","Africa261-AtlanticCongo-numerals-nila1242-1.csv","EAT","100⋅[⋅]10","100⋅⋅10","100**10",1,100000000000000000000,FALSE
"78","numerals-nila1242-1-twothousand-1","numerals-nila1242-1","Chan2019","twothousand",2000,"maɡana manzoɡu mabeli","maganamanzogumabeli",NA,"false","{CL‴}100⋅[⋅]{CL″″}10","","","Africa261-AtlanticCongo-numerals-nila1242-1.csv","EAT","100⋅[⋅]10","100⋅⋅10","100**10",1,100000000000000000000,FALSE
"79","numerals-mako1251-1-twentysix-1","numerals-mako1251-1","Chan2019","twentysix",26,"makuúmi maviíli na mwaánu na iímo","makuumimaviilinamwaanunaiimo","","false","10⋅(5+{and}1)",NA,NA,"Africa263-AtlanticCongo-numerals-mako1251-1.csv","EAT","10⋅(5+1)","10⋅(5+1)","10*abs(5+1)",1,60,FALSE
"80","numerals-mako1251-1-twentyseven-1","numerals-mako1251-1","Chan2019","twentyseven",27,"makuúmi maviíli na mwaánu na mbiíli","makuumimaviilinamwaanunambiili","","false","10⋅(5+{and}2)",NA,NA,"Africa263-AtlanticCongo-numerals-mako1251-1.csv","EAT","10⋅(5+2)","10⋅(5+2)","10*abs(5+2)",1,70,FALSE
"81","numerals-mako1251-1-twentyeight-1","numerals-mako1251-1","Chan2019","twentyeight",28,"makuúmi maviíli na mwaánu na naátu","makuumimaviilinamwaanunanaatu","","false","10⋅(5+{and}3)",NA,NA,"Africa263-AtlanticCongo-numerals-mako1251-1.csv","EAT","10⋅(5+3)","10⋅(5+3)","10*abs(5+3)",1,80,FALSE
"82","numerals-mako1251-1-twentynine-1","numerals-mako1251-1","Chan2019","twentynine",29,"makuúmi maviíli na mwaánu na nt͡ʃe:ʃɛ","makuumimaviilinamwaanunantsese","","false","10⋅(5+{and}4)",NA,NA,"Africa263-AtlanticCongo-numerals-mako1251-1.csv","EAT","10⋅(5+4)","10⋅(5+4)","10*abs(5+4)",1,90,FALSE
"83","numerals-nden1248-1-twohundred-1","numerals-nden1248-1","Chan2019","twohundred",200,"mia ibeele","miaibeele","","false","100⋅{CL}1",NA,NA,"Africa266-AtlanticCongo-numerals-nden1248-1.csv","EAT","100⋅1","100⋅1","abs(100*1)",1,100,FALSE
"84","numerals-kund1255-1-fifteen-1","numerals-kund1255-1","Chan2019","fifteen",15,"kʰumi na -sano","khuminasano","","false","10+{and}4",NA,NA,"Africa269-AtlanticCongo-numerals-kund1255-1.csv","EAT","10+4","10+4","10+4",1,14,FALSE
"85","numerals-tong1321-1-sixty-1","numerals-tong1321-1","Chan2019","sixty",60,"mà-chùmí nɡá-nkʰòóndè ndí mòòza","machumingankhoondendimooza","","false","{CL}10⋅{CL′}5+{+}1",NA,NA,"Africa271-AtlanticCongo-numerals-tong1321-1.csv","EAT","10⋅5+1","10⋅5+1","abs(10*5)+1",1,51,FALSE
"86","numerals-tong1321-1-seventy-1","numerals-tong1321-1","Chan2019","seventy",70,"mà-chùmí nɡá-nkʰòóndè ndí víí","machumingankhoondendivii","","false","{CL}10⋅{CL′}5+{+}2",NA,NA,"Africa271-AtlanticCongo-numerals-tong1321-1.csv","EAT","10⋅5+2","10⋅5+2","abs(10*5)+2",1,52,FALSE
