,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Alternate_Gloss,Comment_Glosser
17,numerals-tumb1250-1-seventeen-1,numerals-tumb1250-1,Chan2019,seventeen,17,kʰûmi na tu-nkʰonde na tu-ŵîr,khuminatunkhondenatuwir,,FALSE,10+{+}{CL}5+{+}{CL}2’,10 + (5 + 2),NA
18,numerals-tumb1250-1-eighteen-1,numerals-tumb1250-1,Chan2019,eighteen,18,kʰûmi na tu-nkʰonde na tu-tâtu,khuminatunkhondenatutatu,,FALSE,10+{+}{CL}5+{+}{CL}3,10 + (5 + 3),NA
19,numerals-tumb1250-1-nineteen-1,numerals-tumb1250-1,Chan2019,nineteen,19,kʰûmi na tu-nkʰonde na tu-nâyi,khuminatunkhondenatunayi,,FALSE,10+{+}{CL}5+{+}{CL}4,10 + (5 + 4),NA
20,numerals-tumb1250-1-twenty-1,numerals-tumb1250-1,Chan2019,twenty,20,makúmí ɡʰá-ŵîri,makumighawiri,,FALSE,{PLU}10·{LIG}2,10 · 2,or 10’·2
21,numerals-tumb1250-1-twenty-2,numerals-tumb1250-1,Chan2019,twenty,20,ɣá-ŵîri,gawiri,???,FALSE,10′·2,,NA
22,numerals-tumb1250-1-twentyone-1,numerals-tumb1250-1,Chan2019,twentyone,21,makúmí ɡʰá-ŵîri na ka-môza,makumighawirinakamoza,,FALSE,({PLU}10·{LIG}2)+{+}1,(10 · 2) + 1,NA
23,numerals-tumb1250-1-twentytwo-1,numerals-tumb1250-1,Chan2019,twentytwo,22,makúmí ɡʰá-ŵîrí na tu-ŵîri,makumighawirinatuwiri,,FALSE,({PLU}10·{LIG}2)+{+}{CL}2,(10 · 2) + 2,NA
24,numerals-tumb1250-1-twentythree-1,numerals-tumb1250-1,Chan2019,twentythree,23,makúmí ɡʰá-ŵîrí na tu-tâtu,makumighawirinatutatu,,FALSE,({PLU}10·{LIG}2)+{+}{CL}3,(10 · 2) + 3,NA
25,numerals-tumb1250-1-twentyfour-1,numerals-tumb1250-1,Chan2019,twentyfour,24,makúmí ɡʰá-ŵîrí na tu-nâyi,makumighawirinatunayi,,FALSE,({PLU}10·{LIG}2)+{+}{CL}4,(10 · 2) + 4,NA
26,numerals-tumb1250-1-twentyfive-1,numerals-tumb1250-1,Chan2019,twentyfive,25,makúmí ɡʰá-ŵîrí na tu-nkʰonde,makumighawirinatunkhonde,,FALSE,({PLU}10·{LIG}2)+{+}{CL}5,(10 · 2) + 5,NA
27,numerals-tumb1250-1-twentysix-1,numerals-tumb1250-1,Chan2019,twentysix,26,makúmí ɡʰá-ŵîrí na tu-nkʰonde na ka-môza,makumighawirinatunkhondenakamoza,,FALSE,({PLU}10·{LIG}2)+{+}{CL}5+{+}{CL}1,(10 · 2) + (5 + 1),NA
28,numerals-tumb1250-1-twentyseven-1,numerals-tumb1250-1,Chan2019,twentyseven,27,makúmí ɡʰá-ŵîrí na tu-nkʰonde na tu-ŵîri,makumighawirinatunkhondenatuwiri,,FALSE,({PLU}10·{LIG}2)+{+}{CL}5+{+}{CL}2’,(10 · 2) + (5 + 2),NA
29,numerals-tumb1250-1-twentyeight-1,numerals-tumb1250-1,Chan2019,twentyeight,28,makúmí ɡʰá-ŵîrí na tu-nkʰonde na tu-tâtu,makumighawirinatunkhondenatutatu,,FALSE,({PLU}10·{LIG}2)+{+}{CL}5+{+}{CL}3,(10 · 2) + (5 + 3),NA
30,numerals-tumb1250-1-twentynine-1,numerals-tumb1250-1,Chan2019,twentynine,29,makúmí ɡʰá-ŵîrí na tu-nkʰonde na tu-nâyi,makumighawirinatunkhondenatunayi,,FALSE,({PLU}10·{LIG}2)+{+}{CL}5+{+}{CL}4,(10 · 2) + (5 + 4),NA
31,numerals-tumb1250-1-thirty-1,numerals-tumb1250-1,Chan2019,thirty,30,makúmí ɡʰá-tátu,makumighatatu,,FALSE,{PLU}10·{LIG}3,10 · 3,NA
32,numerals-tumb1250-1-forty-1,numerals-tumb1250-1,Chan2019,forty,40,makúmí ɡʰá-nâyi,makumighanayi,,FALSE,{PLU}10·{LIG}4,10 · 4,NA
33,numerals-tumb1250-1-fifty-1,numerals-tumb1250-1,Chan2019,fifty,50,makúmí ɡʰá-nkʰonde,makumighankhonde,,FALSE,{PLU}10·{LIG}5,10 · 5,NA
34,numerals-tumb1250-1-sixty-1,numerals-tumb1250-1,Chan2019,sixty,60,makúmí ɡʰá-nkʰonde na li-môza,makumighankhondenalimoza,,FALSE,{PLU}10·{LIG}5+{?}1,10 · (5 + 1),NA
35,numerals-tumb1250-1-seventy-1,numerals-tumb1250-1,Chan2019,seventy,70,makúmí ɡʰá-nkʰonde na ɡʰá-ŵîri,makumighankhondenaghawiri,,FALSE,{PLU}10·{LIG}5+{LIG}2,10 · (5 + 2),NA
36,numerals-tumb1250-1-eighty-1,numerals-tumb1250-1,Chan2019,eighty,80,makúmí ɡʰá-nkʰonde na ɡʰá-tâtu,makumighankhondenaghatatu,,FALSE,{PLU}10·{LIG}5+{LIG}3,10 · (5 + 3),NA
37,numerals-tumb1250-1-ninety-1,numerals-tumb1250-1,Chan2019,ninety,90,makúmí ɡʰá-nkʰonde na ɡʰá-nâyi,makumighankhondenaghanayi,,FALSE,{PLU}10·{LIG}5+{LIG}4,10 · (5 + 4),NA
38,numerals-tumb1250-1-hundred-1,numerals-tumb1250-1,Chan2019,hundred,100,makúmí kʰûmi,makumikhumi,( 10 x 10 ),FALSE,{PLU}10·10,10 · 10,NA
39,numerals-tumb1250-1-twohundred-1,numerals-tumb1250-1,Chan2019,twohundred,200,makúmí kʰûmi na ɡʰáŵîri,makumikhuminaghawiri,,FALSE,{PLU}10·10·{·}{LIG}2,(10 · 10) · 2,NA
40,numerals-tumb1250-1-thousand-1,numerals-tumb1250-1,Chan2019,thousand,1000,tʃikwi,tsikwi,?,FALSE,1000,,two forms
41,numerals-tumb1250-1-twothousand-1,numerals-tumb1250-1,Chan2019,twothousand,2000,vi-kwi ví-ŵîri,vikwiviwiri,,FALSE,1000·{?}2,?,v-ligature
