;ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Alternate_Gloss;Comment_Glosser
29;numerals-wong1247-1-twentyeight-1;numerals-wong1247-1;Chan2019;twentyeight;28;makwem mapé inana;makwemmapeinana;;FALSE;({CL’}10’·{CL’}2)+{CL}8;;NA
30;numerals-wong1247-1-twentynine-1;numerals-wong1247-1;Chan2019;twentynine;29;makwem mapé ibwa;makwemmapeibwa;;FALSE;({CL’}10’·{CL’}2)+{CL}9;;NA
31;numerals-wong1247-1-thirty-1;numerals-wong1247-1;Chan2019;thirty;30;makwem masat;makwemmasat;;FALSE;{CL’}10’·{CL’}3;;NA
32;numerals-wong1247-1-forty-1;numerals-wong1247-1;Chan2019;forty;40;makwem mané;makwemmane;;FALSE;{CL’}10’·{CL’}4;;NA
33;numerals-wong1247-1-fifty-1;numerals-wong1247-1;Chan2019;fifty;50;makwem matan;makwemmatan;;FALSE;{CL’}10’·{CL’}5;;NA
34;numerals-wong1247-1-sixty-1;numerals-wong1247-1;Chan2019;sixty;60;makwem masyam;makwemmasyam;;FALSE;{CL’}10’·{CL’}6;;NA
35;numerals-wong1247-1-seventy-1;numerals-wong1247-1;Chan2019;seventy;70;makwem mampwaré;makwemmampware;;FALSE;{CL’}10’·({CL’}6+1”);;NA
36;numerals-wong1247-1-eighty-1;numerals-wong1247-1;Chan2019;eighty;80;makwem inana;makweminana;;FALSE;{CL’}10’·{CL}8;;NA
37;numerals-wong1247-1-ninety-1;numerals-wong1247-1;Chan2019;ninety;90;makwem ibwa;makwemibwa;;FALSE;{CL’}10’·{CL}9;;NA
38;numerals-wong1247-1-hundred-1;numerals-wong1247-1;Chan2019;hundred;100;kàmà;kama;;FALSE;100;;NA
