;ID;Language_ID;Source;Parameter_ID;NumberValue;Value;Form;Comment_contributor;Loan;Gloss;Alternate_Gloss;Comment_Glosser
14;numerals-tete1250-1-fourteen-1;numerals-tete1250-1;Chan2019;fourteen;14;díkumi lá anéy;dikumilaaney;;FALSE;"{CL""}10+{and}4";NA;NA
15;numerals-tete1250-1-fifteen-1;numerals-tete1250-1;Chan2019;fifteen;15;díkumi lá atánu;dikumilaatanu;;FALSE;"{CL""}10+{and}5";NA;NA
16;numerals-tete1250-1-sixteen-1;numerals-tete1250-1;Chan2019;sixteen;16;díkumi lá isamánu;dikumilaisamanu;;FALSE;{CL”}10+{and}5’+1';NA;NA
17;numerals-tete1250-1-seventeen-1;numerals-tete1250-1;Chan2019;seventeen;17;díkumi lá esambɛ́ɛ́lé;dikumilaesambeele;;FALSE;{CL”}10+{and}5’+2';NA;NA
18;numerals-tete1250-1-eighteen-1;numerals-tete1250-1;Chan2019;eighteen;18;díkumi lá enáánéyi;dikumilaenaaneyi;;FALSE;{CL”}10+{and}4’+4;NA;NA
19;numerals-tete1250-1-nineteen-1;numerals-tete1250-1;Chan2019;nineteen;19;díkumi lá divwá;dikumiladivwa;;FALSE;{CL”}10+{and}9;NA;NA
20;numerals-tete1250-1-twenty-1;numerals-tete1250-1;Chan2019;twenty;20;ákumi áende;akumiaende;;FALSE;{CL”’}10·{CL”’}2;NA;NA
21;numerals-tete1250-1-twentyone-1;numerals-tete1250-1;Chan2019;twentyone;21;ákumi áende ló ótɔy;akumiaendelootoy;;FALSE;({CL”’}10·{CL”’}2)+{+}1;NA;NA
22;numerals-tete1250-1-twentytwo-1;numerals-tete1250-1;Chan2019;twentytwo;22;ákumi áende lá énde;akumiaendelaende;;FALSE;({CL”’}10·{CL”’}2)+{+}2;NA;NA
23;numerals-tete1250-1-twentythree-1;numerals-tete1250-1;Chan2019;twentythree;23;ákumi áende lá asátu;akumiaendelaasatu;;FALSE;({CL”’}10·{CL”’}2)+{+}3;NA;NA
24;numerals-tete1250-1-twentyfour-1;numerals-tete1250-1;Chan2019;twentyfour;24;ákumi áende lá anéy;akumiaendelaaney;;FALSE;({CL”’}10·{CL”’}2)+{+}4;NA;NA
25;numerals-tete1250-1-twentyfive-1;numerals-tete1250-1;Chan2019;twentyfive;25;ákumi áende lá atánu;akumiaendelaatanu;;FALSE;({CL”’}10·{CL”’}2)+{+}5;NA;NA
26;numerals-tete1250-1-twentysix-1;numerals-tete1250-1;Chan2019;twentysix;26;ákumi áende lá isamánu;akumiaendelaisamanu;;FALSE;({CL”’}10·{CL”’}2)+{+}6;NA;NA
27;numerals-tete1250-1-twentyseven-1;numerals-tete1250-1;Chan2019;twentyseven;27;ákumi áende lá esambɛ́ɛ́le;akumiaendelaesambeele;;FALSE;({CL”’}10·{CL”’}2)+{+}7;NA;NA
28;numerals-tete1250-1-twentyeight-1;numerals-tete1250-1;Chan2019;twentyeight;28;ákumi áende lá enáánéyi;akumiaendelaenaaneyi;;FALSE;({CL”’}10·{CL”’}2)+{+}8;NA;NA
29;numerals-tete1250-1-twentynine-1;numerals-tete1250-1;Chan2019;twentynine;29;ákumi áende lá divwá;akumiaendeladivwa;;FALSE;({CL”’}10·{CL”’}2)+{+}9;NA;NA
30;numerals-tete1250-1-thirty-1;numerals-tete1250-1;Chan2019;thirty;30;ákumi asátu;akumiasatu;;FALSE;{CL”’}10·{CL”’}3;NA;NA
31;numerals-tete1250-1-forty-1;numerals-tete1250-1;Chan2019;forty;40;ákumi anéy;akumianey;;FALSE;{CL”’}10·{CL”’}4;NA;NA
32;numerals-tete1250-1-fifty-1;numerals-tete1250-1;Chan2019;fifty;50;ákumi atánu;akumiatanu;;FALSE;{CL”’}10·{CL”’}5;NA;NA
33;numerals-tete1250-1-sixty-1;numerals-tete1250-1;Chan2019;sixty;60;ákumi isamánu;akumiisamanu;;FALSE;{CL”’}10·{CL”’}6;NA;NA
34;numerals-tete1250-1-seventy-1;numerals-tete1250-1;Chan2019;seventy;70;ákumi esambɛ́ɛ́le;akumiesambeele;;FALSE;{CL”’}10·{CL”’}7;NA;NA
35;numerals-tete1250-1-eighty-1;numerals-tete1250-1;Chan2019;eighty;80;ákumi enáánéy;akumienaaney;;FALSE;{CL”’}10·({CL”’}4’+4);NA;NA
36;numerals-tete1250-1-ninety-1;numerals-tete1250-1;Chan2019;ninety;90;ákumi divwá;akumidivwa;;FALSE;{CL”’}10·{CL”’}9;NA;NA
37;numerals-tete1250-1-hundred-1;numerals-tete1250-1;Chan2019;hundred;100;lokámá;lokama;;FALSE;{CL””}100;NA;NA
38;numerals-tete1250-1-twohundred-1;numerals-tete1250-1;Chan2019;twohundred;200;nkámá yéndé;nkamayende;;FALSE;{CL””’}100·2;NA;NA
39;numerals-tete1250-1-thousand-1;numerals-tete1250-1;Chan2019;thousand;1000;kinùnu yínŋa;kinunuyinnga;;FALSE;{CL”””}1000·1'';NA;NA
40;numerals-tete1250-1-twothousand-1;numerals-tete1250-1;Chan2019;twothousand;2000;nunu pénde;nunupende;;FALSE;1000’·1’';NA;NA
