,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Comment_contributor,Form,Gloss,Alternate_Gloss,Comment_Glosser
31,numerals-tivv1240-1-twentynine-1,numerals-tivv1240-1,Chan2019,twentynine,29,íkyúnꜜdu kàː útã́ː kàː únjì:,,íkyúnꜜdu kàː útã́ː kàː únjì:,{CL”}20+{CL}5+{+}{CL}4,,
32,numerals-tivv1240-1-thirty-1,numerals-tivv1240-1,Chan2019,thirty,30,íkyúnꜜdu ɡ͡bèr̀,,íkyúnꜜdu ɡ͡bèr̀,{CL”}20+10”,,
33,numerals-tivv1240-1-forty-1,numerals-tivv1240-1,Chan2019,forty,40,ákúnꜜdu áháꜜr,( 20 x 2 ),ákúnꜜdu áháꜜr,{CL”}20·2,,
34,numerals-tivv1240-1-fifty-1,numerals-tivv1240-1,Chan2019,fifty,50,ákúnꜜdu áháꜜr ɡ͡bèr̀,,ákúnꜜdu áháꜜr ɡ͡bèr̀,({CL”}20·2)+{+}10”,,
35,numerals-tivv1240-1-sixty-1,numerals-tivv1240-1,Chan2019,sixty,60,ákúnꜜdu átáŕ,( 20 x 3 ),ákúnꜜdu átáŕ,{CL”}20·3,,
36,numerals-tivv1240-1-seventy-1,numerals-tivv1240-1,Chan2019,seventy,70,ákúnꜜdu átáŕ ɡ͡bèr̀,,ákúnꜜdu átáŕ ɡ͡bèr̀,({CL”}20·3)+{+}10”,,
37,numerals-tivv1240-1-eighty-1,numerals-tivv1240-1,Chan2019,eighty,80,ákúnꜜdu ánjíː,( 20 x 4 ),ákúnꜜdu ánjíː,{CL”}20·4,,
38,numerals-tivv1240-1-ninety-1,numerals-tivv1240-1,Chan2019,ninety,90,ákúnꜜdu ánjíː ɡ͡bèr̀,,ákúnꜜdu ánjíː ɡ͡bèr̀,({CL”}20·4)+{+}10”,,
39,numerals-tivv1240-1-hundred-1,numerals-tivv1240-1,Chan2019,hundred,100,ákúnꜜdu átáàǹ,( 20 x 5 ),ákúnꜜdu átáàǹ,{CL”}20·5,,edited the form: “ákúnꜜdu ánjíː átáàǹ”
40,numerals-tivv1240-1-twohundred-1,numerals-tivv1240-1,Chan2019,twohundred,200,ákúnꜜdú púè,,ákúnꜜdú púè,{CL”}20·10,,
41,numerals-tivv1240-1-twohundred-2,numerals-tivv1240-1,Chan2019,twohundred,200,deri úháꜜr,(deri<Hausa),deri úháꜜr,100’·{CL}2,,
42,numerals-tivv1240-1-thousand-1,numerals-tivv1240-1,Chan2019,thousand,1000,dúbù mɔ́ꜜm,,dúbù mɔ́ꜜm,1000·1,,
43,numerals-tivv1240-1-twothousand-1,numerals-tivv1240-1,Chan2019,twothousand,2000,dúbù úháꜜr,( dúbù < Hausa),dúbù úháꜜr,1000·{CL}2,,
