Entry_from_source	Concept	NumberValue	Gloss	Comment	ID	Language	Source
negen, efm, jujfun	nine	9	9		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
tien, az,bau, Afban	ten	10	10		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
elf, negen ozban	eleven	11	1+10		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
twaelf, chojer azban, orban koer 10+2	twelve	12	2+10'		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
dertien , gurban azban	thirteen	13	3+10		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
veertien, derben azban 4+10	fourteen	14	4+10		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
vyftien, tabun azban	fifteen	15	5+10		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
zeftient, zurgan (or atziny) azban	sixteen	16	5'+10		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
zeventien, dolon azban,	seventeen	17	7'+10		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
achtien, naiman azban 8+10	eighteen	18	8+10		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
negentien, eʃun (or fuʃʃun) azban, naya man,	nineteen	19	9+10		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
twintig , chozin (or korin)	twenty	20	2·10'		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
dertig , gutzin (or guczin)	thirty	30	3·10'		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
viertig , Dutzin (or deczin)	forty	40	4·10'		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
vyftig , tabin	fifty	50	5·10'		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
zeʃtig , atziyap (or zyran)	sixty	60	6·10"		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
xeventig, dalan	seventy	70	7·10"		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
tachentig, najan	eighty	80	8·10"		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
negentig, reren	ninety	90	9·10"		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
honderd, zon (or dynip)	hundred	100	100		kalm1243 (?)	Kalmyk (?) Mongloian	witsen_tartarye1705_o.pdf
nigen, niykân, P.yak	one	1	1		midd1351	Mongolian	saito_mugali2006_o.pdf
koyar, quyaâr	two	2	2		midd1351	Mongolian	saito_mugali2006_o.pdf
gurban, ğurbaân	three	3	3		midd1351	Mongolian	saito_mugali2006_o.pdf
dörben, drbaân, P.dah,	four	4	4		midd1351	Mongolian	saito_mugali2006_o.pdf
tabun, taâbuwn, P.bnj	five	5	5		midd1351	Mongolian	saito_mugali2006_o.pdf
jirugugan, jirğaân, P.šaš	six	6	6		midd1351	Mongolian	saito_mugali2006_o.pdf
dolugan, dwlân, P.hft,	seven	7	7		midd1351	Mongolian	saito_mugali2006_o.pdf
naiman, nymân, P.hast(hašt)	eight	8	8		midd1351	Mongolian	saito_mugali2006_o.pdf
yisün, yiysuwn, P.nuh	nine	9	9		midd1351	Mongolian	saito_mugali2006_o.pdf
arban, harbaân	ten	10	10		midd1351	Mongolian	saito_mugali2006_o.pdf
nigen, nykâ, P.yaâzdah	eleven	11	1+10'		midd1351	Mongolian	saito_mugali2006_o.pdf
gurba, ğarbah, P.duwaâzdh	twelve	12	2+10'		midd1351	Mongolian	saito_mugali2006_o.pdf
koyar, qyâr, P.syzdah	thirteen	13	3+10'		midd1351	Mongolian	saito_mugali2006_o.pdf
dörben, drbaân, P.jhaâdah	fourteen	14	4+10		midd1351	Mongolian	saito_mugali2006_o.pdf
tabun, taâbuwn, P.baâzdah	fifteen	15	5+10		midd1351	Mongolian	saito_mugali2006_o.pdf
jirgugan, jrgaân, P. saâzadh	sixteen	16	6+10		midd1351	Mongolian	saito_mugali2006_o.pdf
dolugan, dwlân	seventeen	17	7+10		midd1351	Mongolian	saito_mugali2006_o.pdf
naiman, naymaân, P.hajdh	eighteen	18	8+10		midd1351	Mongolian	saito_mugali2006_o.pdf
yisün, yysun, P.nuwzdah	nineteen	19	9+10'		midd1351	Mongolian	saito_mugali2006_o.pdf
korin, quwrin, P.biyst	twenty	20	2·10"		midd1351	Mongolian	saito_mugali2006_o.pdf
gučcin, quwjin, P.siy	thirty	30	3·10"		midd1351	Mongolian	saito_mugali2006_o.pdf
döčin, dwxin, P.jihil	forty	40	4·10"		midd1351	Mongolian	saito_mugali2006_o.pdf
tabin, taâbiyn, P.banjâh	fifty	50	5·10"		midd1351	Mongolian	saito_mugali2006_o.pdf
jiran, jiyrân, A.stuwn	sixty	60	6·10		midd1351	Mongolian	saito_mugali2006_o.pdf
dalan, dalân, A.sabwn	seventy	70	7·10"		midd1351	Mongolian	saito_mugali2006_o.pdf
nayan, nyân, A.tmânwn	eighty	80	8·10"		midd1351	Mongolian	saito_mugali2006_o.pdf
yiren, yiyrân, A.ts'wn	ninety	90	9·10"		midd1351	Mongolian	saito_mugali2006_o.pdf
jagun, jaâwun, A.maâyah	hundred	100	100		midd1351	Mongolian	saito_mugali2006_o.pdf
wāhid, yakē einer, yw	one	1	1		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
ihnān, du, dw	two	2	2		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
dalāsa, si, šy	three	3	3		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
arba'a, čahār, cf'r	four	4	4		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
xamsa, panj, pne	five	5	5		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
sitta, šaš, 'x	six	6	6		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
sab'a, haft, ßd	seven	7	7		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
samāniya, hašt, št	eight	8	8		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
tis'a, nuh, š'o	nine	9	9		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
ašara, dah, dys	ten	10	10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
ahad ašar	eleven	11	1+10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
usbā ašar 2+10	twelve	12	2+10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
salāda ašar 3+10	thirteen	13	3+10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
arba'a ašar	fourteen	14	4+10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
zamsa ašar	fifteen	15	5+10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
sitta ašar	sixteen	16	6+10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
sab'a ašar	seventeen	17	7+10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
samāniya ašar	eighteen	18	8+10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
tis'a ašar	nineteen	19	9+10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
išrūn, bist, šys	twenty	20	20		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
ahadun wa išrūna, bist yak, yw dwsy	twenty one	21	1+20	also 20+1	khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
dalāsūn, sī	thirty	30	3·10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
arba'ūn, čihi, cf'rys	forty	40	4·10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
xamsūn, panjāh, pne's	fifty	50	5·10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
sittūn, šașd, xye	sixty	60	6·10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
sab'ūn, haftā, ßd'c	seventy	70	7·10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
samānūn, haštād, št'c	eighty	80	8·10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
tis'ūn, nwye	ninety	90	9·10		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
mi'a, syd	hundred	100	100		khwa1238	Sogdian	benzing_chwaresmische1968_o.pdf
