,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss,,,,,,,,xxx,xxx
59,barlowpacific-cham1312-1-twentyfive-2,barlowpacific-cham1312-1,Barlow2024,twentyfive,25,huguiyai nga fulu nga guai limiyai,huguiyai nga fulu nga guai limiyai,Numeral for inanimate things,FALSE,(2{CLF.INAN}{LIG}⋅10′){?}{EXIST?}+5{CLF.INAN},,,,,,,,,,,
60,barlowpacific-cham1312-1-thirty-1,barlowpacific-cham1312-1,Barlow2024,thirty,30,tulu nga fulu,tulu nga fulu,Simple numeral for time,FALSE,3{LIG}⋅10′,,,,,,,,,,,
61,barlowpacific-cham1312-1-thirty-2,barlowpacific-cham1312-1,Barlow2024,thirty,30,tato nga fulu,tato nga fulu,Numeral for living things,FALSE,{3}3{LIG}⋅10′,,,,,,,,,,,
62,barlowpacific-cham1312-1-thirty-3,barlowpacific-cham1312-1,Barlow2024,thirty,30,taktulu nga fulu,taktulu nga fulu,Numeral for measurements,FALSE,{CLF}3{LIG}⋅10′,,,,,,,,,,,
63,barlowpacific-cham1312-1-thirty-4,barlowpacific-cham1312-1,Barlow2024,thirty,30,tolgiyai nga fulu,tolgiyai nga fulu,Numeral for inanimate things,FALSE,3{CLF.INAN}{LIG}⋅10′,,,,,,,,,,,
64,barlowpacific-cham1312-1-thirtythree-1,barlowpacific-cham1312-1,Barlow2024,thirtythree,33,tulu nga fulu nga guai tulo,tulu nga fulu nga guai tulo,Simple numeral for time,FALSE,(3{LIG}⋅10′){?}{EXIST?}+3,,,,,,,,,,,
65,barlowpacific-cham1312-1-thirtythree-2,barlowpacific-cham1312-1,Barlow2024,thirtythree,33,tato nga fulu nga guai tato,tato nga fulu nga guai tato,Numeral for living things,FALSE,({3}3{LIG}⋅10′){?}{EXIST?}+{3}3,,,,,,,,,,,
66,barlowpacific-cham1312-1-thirtythree-3,barlowpacific-cham1312-1,Barlow2024,thirtythree,33,tolgiyai nga fulu nga guai tolgiyai,tolgiyai nga fulu nga guai tolgiyai,Numeral for inanimate things,FALSE,(3{CLF.INAN}{LIG}⋅10′){?}{EXIST?}+3{CLF.INAN},,,,,,,,,,,
67,barlowpacific-cham1312-1-forty-1,barlowpacific-cham1312-1,Barlow2024,forty,40,fatfat nga fulu,fatfat nga fulu,Simple numeral for time,FALSE,4{LIG}⋅10′,,,,,,,,,,,
68,barlowpacific-cham1312-1-forty-2,barlowpacific-cham1312-1,Barlow2024,forty,40,fatfat nga fulu,fatfat nga fulu,Numeral for living things,FALSE,4{LIG}⋅10′,,,,,,,,,,,
69,barlowpacific-cham1312-1-forty-3,barlowpacific-cham1312-1,Barlow2024,forty,40,takfatu nga fulu,takfatu nga fulu,Numeral for measurements,FALSE,{CLF}4{LIG}⋅10′,,,,,,,,,,,
70,barlowpacific-cham1312-1-forty-4,barlowpacific-cham1312-1,Barlow2024,forty,40,farfatai nga fulu,farfatai nga fulu,Numeral for inanimate things,FALSE,4{LIG}⋅10′,,,,,,,,,,,
71,barlowpacific-cham1312-1-hundred-1,barlowpacific-cham1312-1,Barlow2024,hundred,100,gatus,gatus,Simple numeral for time,FALSE,100,,,,,,,,,,,
72,barlowpacific-cham1312-1-hundred-2,barlowpacific-cham1312-1,Barlow2024,hundred,100,gatus,gatus,Numeral for living things,FALSE,100,,,,,,,,,,,
73,barlowpacific-cham1312-1-hundred-3,barlowpacific-cham1312-1,Barlow2024,hundred,100,manapo,manapo,Numeral for measurements,FALSE,100′,,,,,,,,,,,
74,barlowpacific-cham1312-1-hundred-4,barlowpacific-cham1312-1,Barlow2024,hundred,100,gatus,gatus,Numeral for inanimate things,FALSE,100,,,,,,,,,,,
75,barlowpacific-cham1312-1-onehundredandten-1,barlowpacific-cham1312-1,Barlow2024,onehundredandten,110,gatus nga guai takmaonton,gatus nga guai takmaonton,Numeral for measurements,FALSE,100{LIG}{EXIST?}+{CLF}10{?},,,,,,,,,,,
76,barlowpacific-cham1312-1-threehundredandone-1,barlowpacific-cham1312-1,Barlow2024,threehundredandone,301,tulu nga gatus nga guai hacha,tulu nga gatus nga guai hacha,Simple numeral for time,FALSE,(3{LIG}⋅100){LIG}{EXIST?}+1,,,,,,,,,,,
77,barlowpacific-cham1312-1-threehundredandone-2,barlowpacific-cham1312-1,Barlow2024,threehundredandone,301,tolgiyai nga gatus nga guai hachiyai,tolgiyai nga gatus nga guai hachiyai,Numeral for inanimate things,FALSE,(3{CLF.INAN}{LIG}⋅100){LIG}{EXIST?}+1{CLF.INAN},,,,,,,,,,,
78,barlowpacific-cham1312-1-threehundredandfive-1,barlowpacific-cham1312-1,Barlow2024,threehundredandfive,305,tato nga gatus nga guai lalima,tato nga gatus nga guai lalima,Numeral for living things,FALSE,({3}3{LIG}⋅100){LIG}{EXIST?}+{5}5,,,,,,,,,,,
79,barlowpacific-cham1312-1-threehundredandfiftytwo-1,barlowpacific-cham1312-1,Barlow2024,threehundredandfiftytwo,352,tulu nga gatus nga guai lima nga fulu nga guai hugua,tulu nga gatus nga guai lima nga fulu nga guai hugua,Simple numeral for time,FALSE,(3{LIG}⋅100){LIG}{EXIST?}+(5{LIG}⋅10′){LIG}{EXIST?}+2,,,,,,,,,,,
80,barlowpacific-cham1312-1-thousand-1,barlowpacific-cham1312-1,Barlow2024,thousand,1000,chalan,chalan,Simple numeral for time,FALSE,1000,,,,,,,,,,,
81,barlowpacific-cham1312-1-thousand-2,barlowpacific-cham1312-1,Barlow2024,thousand,1000,chalan,chalan,Numeral for living things,FALSE,1000,,,,,,,,,,,
82,barlowpacific-cham1312-1-thousand-3,barlowpacific-cham1312-1,Barlow2024,thousand,1000,takchalan,takchalan,Numeral for measurements,FALSE,{CLF}1000,,,,,,,,,,,
83,barlowpacific-cham1312-1-thousand-4,barlowpacific-cham1312-1,Barlow2024,thousand,1000,chalan,chalan,Numeral for inanimate things,FALSE,1000,,,,,,,,,,,
84,barlowpacific-cham1312-1-tenthousand-1,barlowpacific-cham1312-1,Barlow2024,tenthousand,10000,manutu,manutu,,FALSE,10[⋅]1000′,,10000,,,,,,,,,
