,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,′,Comment_glosser,Alternate_gloss
22,numerals-bart1238-1-twentyone-1,numerals-bart1238-1,Chan2019,twentyone,21,bistu yak,bistuyak,,false,20+1,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
23,numerals-bart1238-1-twentytwo-1,numerals-bart1238-1,Chan2019,twentytwo,22,bistu da,bistuda,,false,20+2,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
24,numerals-bart1238-1-twentythree-1,numerals-bart1238-1,Chan2019,twentythree,23,bistu se,bistuse,,false,20+3′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
25,numerals-bart1238-1-twentyfour-1,numerals-bart1238-1,Chan2019,twentyfour,24,bistu čor,bistucor,,false,20+4,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
26,numerals-bart1238-1-twentyfive-1,numerals-bart1238-1,Chan2019,twentyfive,25,bistu panǰ,bistupanj,,false,20+5,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
27,numerals-bart1238-1-twentysix-1,numerals-bart1238-1,Chan2019,twentysix,26,bistu šaš,bistusas,,false,20+6,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
28,numerals-bart1238-1-twentyseven-1,numerals-bart1238-1,Chan2019,twentyseven,27,bistu aft,bistuaft,,false,20+7′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
29,numerals-bart1238-1-twentyeight-1,numerals-bart1238-1,Chan2019,twentyeight,28,bistu ašt,bistuast,,false,20+8′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
30,numerals-bart1238-1-twentynine-1,numerals-bart1238-1,Chan2019,twentynine,29,bistu nu,bistunu,,false,20+9,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
31,numerals-bart1238-1-thirty-1,numerals-bart1238-1,Chan2019,thirty,30,si,si,,false,30,borrowed from Tajik (a fellow Indo-Iranian Indo-European language); historically 3⋅10,
32,numerals-bart1238-1-forty-1,numerals-bart1238-1,Chan2019,forty,40,čol t͡ʃol,coltsol,,false,40,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),4⋅10′′
33,numerals-bart1238-1-fifty-1,numerals-bart1238-1,Chan2019,fifty,50,pand͡ʒo,pandzo,,false,50,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),5⋅10′′′
34,numerals-bart1238-1-sixty-1,numerals-bart1238-1,Chan2019,sixty,60,ʃast,sast,,false,60,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),6⋅10′′′′
35,numerals-bart1238-1-seventy-1,numerals-bart1238-1,Chan2019,seventy,70,aftod,aftod,,false,7′⋅10′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),70
36,numerals-bart1238-1-eighty-1,numerals-bart1238-1,Chan2019,eighty,80,aʃtod,astod,,false,8′⋅10′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),80
37,numerals-bart1238-1-ninety-1,numerals-bart1238-1,Chan2019,ninety,90,nawad,nawad,,false,9⋅10′,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),90
38,numerals-bart1238-1-hundred-1,numerals-bart1238-1,Chan2019,hundred,100,sad,sad,,false,100,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
39,numerals-bart1238-1-twohundred-1,numerals-bart1238-1,Chan2019,twohundred,200,dusad,dusad,,false,2⋅100,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
40,numerals-bart1238-1-thousand-1,numerals-bart1238-1,Chan2019,thousand,1000,hazor,hazor,,false,1000,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
41,numerals-bart1238-1-twothousand-1,numerals-bart1238-1,Chan2019,twothousand,2000,du hazor,duhazor,,false,2⋅1000,borrowed from Tajik (a fellow Indo-Iranian Indo-European language),
