File,Glottocode,Language-level_Glottocode,Use_in_analyses
Africa112-AtlanticCongo-numerals-bamw1238-1.csv,bamw1238,bamw1238,YES
Africa113-AtlanticCongo-numerals-likw1239-1.csv,likw1239,likw1239,YES
Africa114-AtlanticCongo-numerals-bang1353-1.csv,bang1353,bang1353,YES
Africa115-AtlanticCongo-numerals-ling1263-1.csv,ling1263,ling1263,YES
Africa116-AtlanticCongo-numerals-loba1239-1.csv,loba1239,loba1239,YES
Africa117-AtlanticCongo-numerals-bolo1263-1.csv,bolo1263,bolo1263,YES
Africa118-AtlanticCongo-numerals-budz1238-1.csv,budz1238,budz1238,YES
Africa119-AtlanticCongo-numerals-yaka1272-1.csv,yaka1272,yaka1272,YES
Africa120-AtlanticCongo-numerals-bong1284-1.csv,bong1284,bong1284,YES
Africa121-AtlanticCongo-numerals-nyal1250-1.csv,nyal1250,nyal1250,YES
Africa122-AtlanticCongo-numerals-budu1250-1.csv,budu1250,budu1250,YES
Africa123-AtlanticCongo-numerals-leng1258-1.csv,leng1258,leng1258,YES
Africa124-AtlanticCongo-numerals-seng1278-1.csv,seng1278,seng1278,YES
Africa125-AtlanticCongo-numerals-mong1338-1.csv,mong1338,mong1338,YES
Africa126-AtlanticCongo-numerals-deng1250-1.csv,deng1250,deng1250,YES
Africa127-AtlanticCongo-numerals-bush1247-1.csv,bush1247,bush1247,YES
Africa128-AtlanticCongo-numerals-lele1265-1.csv,lele1265,lele1265,YES
Africa129-AtlanticCongo-numerals-wong1247-1.csv,wong1247,wong1247,YES
Africa130-AtlanticCongo-numerals-tete1250-1.csv,tete1250,tete1250,YES
Africa131-AtlanticCongo-numerals-bara1362-1.csv,bara1362,bara1362,YES
Africa132-AtlanticCongo-numerals-sira1266-1.csv,sira1266,sira1266,YES
Africa133-AtlanticCongo-numerals-sang1333-1.csv,sang1333,sang1333,YES
Africa134-AtlanticCongo-numerals-punu1239-1.csv,punu1239,punu1239,YES
Africa135-AtlanticCongo-numerals-lumb1249-1.csv,lumb1249,lumb1249,YES
Africa136-AtlanticCongo-numerals-vili1238-1.csv,vili1238,vili1238,YES
Africa137-AtlanticCongo-numerals-yomb1244-1.csv,yomb1244,yomb1244,YES
Africa138-AtlanticCongo-numerals-koon1244-1.csv,koon1244,koon1244,YES
Africa139-AtlanticCongo-numerals-doon1238-1.csv,doon1238,doon1238,YES
Africa140-AtlanticCongo-numerals-laar1238-1.csv,laar1238,laar1238,YES
Africa141-AtlanticCongo-numerals-beem1239-1.csv,beem1239,beem1239,YES
Africa142-AtlanticCongo-numerals-suku1259-1.csv,suku1259,suku1259,YES
Africa143-AtlanticCongo-numerals-hung1278-1.csv,hung1278,hung1278,YES
Africa144-AtlanticCongo-numerals-mpuo1241-2.csv,mpuo1241,mpuo1241,YES
Africa145-AtlanticCongo-numerals-ngon1267-1.csv,ngon1267,ngon1267,YES
Africa146-AtlanticCongo-numerals-song1299-2.csv,song1299,song1299,YES
Africa147-AtlanticCongo-numerals-yans1239-1.csv,yans1239,yans1239,YES
Africa148-AtlanticCongo-numerals-saka1287-1.csv,saka1287,saka1287,YES
Africa149-AtlanticCongo-numerals-tien1242-1.csv,tien1242,tien1242,YES
Africa150-AtlanticCongo-numerals-kemp1234-1.csv,kemp1234,kemp1234,YES
Africa151-AtlanticCongo-numerals-ngun1272-1.csv,ngun1272,ngun1272,YES
Africa152-AtlanticCongo-numerals-teke1278-1.csv,teke1278,teke1278,YES
Africa153-AtlanticCongo-numerals-teke1280-1.csv,teke1280,teke1280,YES
Africa154-AtlanticCongo-numerals-teke1276-1.csv,teke1276,teke1276,YES
Africa155-AtlanticCongo-numerals-duma1253-1.csv,duma1253,duma1253,YES
Africa156-AtlanticCongo-numerals-njeb1242-1.csv,njeb1242,njeb1242,YES
Africa157-AtlanticCongo-numerals-kani1279-1.csv,kani1279,kani1279,YES
Africa158-AtlanticCongo-numerals-ndum1239-1.csv,ndum1239,ndum1239,YES
Africa159-AtlanticCongo-numerals-omba1241-1.csv,omba1241,mber1257,YES
Africa160-AtlanticCongo-numerals-teke1275-2.csv,teke1275,teke1275,YES
Africa161-AtlanticCongo-numerals-ding1239-1.csv,ding1239,ding1239,YES
Africa162-AtlanticCongo-numerals-ngul1247-1.csv,ngul1247,ngul1247,YES
Africa163-AtlanticCongo-numerals-yeyi1239-1.csv,yeyi1239,yeyi1239,YES
Africa164-AtlanticCongo-numerals-asut1235-1.csv,asut1235,asut1235,YES
Africa165-AtlanticCongo-numerals-swah1253-1.csv,swah1253,swah1253,YES
Africa166-AtlanticCongo-numerals-mwan1247-1.csv,mwan1247,mwan1247,YES
Africa167-AtlanticCongo-numerals-ilwa1237-1.csv,ilwa1237,ilwa1237,YES
Africa168-AtlanticCongo-numerals-duru1249-1.csv,duru1249,duru1249,YES
Africa169-AtlanticCongo-numerals-giry1241-1.csv,giry1241,giry1241,YES
Africa170-AtlanticCongo-numerals-digo1243-1.csv,digo1243,digo1243,YES
Africa171-AtlanticCongo-numerals-maor1244-1.csv,maor1244,maor1244,YES
Africa172-AtlanticCongo-numerals-ngaz1238-1.csv,ngaz1238,ngaz1238,YES
Africa173-AtlanticCongo-numerals-poko1261-1.csv,poko1261,poko1261,YES
Africa174-AtlanticCongo-numerals-bond1247-1.csv,bond1247,bond1247,YES
Africa175-AtlanticCongo-numerals-sham1280-1.csv,sham1280,sham1280,YES
Africa176-AtlanticCongo-numerals-ngul1246-1.csv,ngul1246,ngul1246,YES
Africa177-AtlanticCongo-numerals-mush1238-1.csv,mush1238,zigu1244,YES
Africa178-AtlanticCongo-numerals-gogo1263-1.csv,gogo1263,gogo1263,YES
Africa179-AtlanticCongo-numerals-vidu1238-1.csv,vidu1238,vidu1238,YES
Africa180-AtlanticCongo-numerals-lugu1238-1.csv,lugu1238,lugu1238,YES
Africa181-AtlanticCongo-numerals-kutu1263-1.csv,kutu1263,kutu1263,YES
Africa182-AtlanticCongo-numerals-zara1247-1.csv,zara1247,zara1247,YES
Africa183-AtlanticCongo-numerals-kwer1261-1.csv,kwer1261,kwer1261,YES
Africa184-AtlanticCongo-numerals-kagu1239-1.csv,kagu1239,kagu1239,YES
Africa185-AtlanticCongo-numerals-bena1262-1.csv,bena1262,bena1262,YES
Africa186-AtlanticCongo-numerals-hehe1240-1.csv,hehe1240,hehe1240,YES
Africa187-AtlanticCongo-numerals-kisi1243-1.csv,kisi1243,kisi1243,YES
Africa188-AtlanticCongo-numerals-pang1287-1.csv,pang1287,pang1287,YES
Africa189-AtlanticCongo-numerals-nucl1379-1.csv,nucl1379,nucl1379,YES
Africa190-AtlanticCongo-numerals-vwan1235-1.csv,vwan1235,vwan1235,YES
Africa191-AtlanticCongo-numerals-mand1423-1.csv,mand1423,mand1423,YES
Africa192-AtlanticCongo-numerals-chuk1274-1.csv,chuk1274,chuk1274,YES
Africa193-AtlanticCongo-numerals-thar1283-1.csv,thar1283,thar1283,YES
Africa194-AtlanticCongo-numerals-meru1245-1.csv,meru1245,meru1245,YES
Africa195-AtlanticCongo-numerals-kamb1297-1.csv,kamb1297,kamb1297,YES
Africa196-AtlanticCongo-numerals-embu1241-1.csv,embu1241,embu1241,YES
Africa197-AtlanticCongo-numerals-kiku1240-1.csv,kiku1240,kiku1240,YES
Africa198-AtlanticCongo-numerals-temi1247-1.csv,temi1247,temi1247,YES
Africa199-AtlanticCongo-numerals-gwen1239-1.csv,gwen1239,gwen1239,YES
Africa200-AtlanticCongo-numerals-moch1256-1.csv,moch1256,moch1256,YES
Africa201-AtlanticCongo-numerals-vunj1238-1.csv,vunj1238,vunj1238,YES
Africa202-AtlanticCongo-numerals-mach1266-1.csv,mach1266,mach1266,YES
Africa203-AtlanticCongo-numerals-rwaa1238-1.csv,rwaa1238,rwaa1238,YES
Africa204-AtlanticCongo-numerals-tait1250-1.csv,tait1250,tait1250,YES
Africa205-AtlanticCongo-numerals-bend1258-2.csv,bend1258,bend1258,YES
Africa206-AtlanticCongo-numerals-buku1249-1.csv,buku1249,buku1249,YES
Africa207-AtlanticCongo-numerals-masa1299-1.csv,masa1299,masa1299,YES
Africa208-AtlanticCongo-numerals-nyor1244-1.csv,nyor1244,nyor1244,YES
Africa209-AtlanticCongo-numerals-saam1283-1.csv,saam1283,saam1283,YES
Africa210-AtlanticCongo-numerals-nyol1238-1.csv,nyol1238,nyol1238,YES
Africa211-AtlanticCongo-numerals-idak1243-1.csv,idak1243,idak1243,YES
Africa212-AtlanticCongo-numerals-logo1258-1.csv,logo1258,logo1258,YES
Africa213-AtlanticCongo-numerals-chig1238-1.csv,chig1238,chig1238,YES
Africa214-AtlanticCongo-numerals-nyan1307-1.csv,nyan1307,nyan1307,YES
Africa215-AtlanticCongo-numerals-nyor1246-1.csv,nyor1246,nyor1246,YES
Africa216-AtlanticCongo-numerals-toor1238-1.csv,toor1238,toor1238,YES
Africa217-AtlanticCongo-numerals-hema1238-1.csv,hema1238,hema1238,YES
Africa218-AtlanticCongo-numerals-tali1258-1.csv,tali1258,tali1258,YES
Africa219-AtlanticCongo-numerals-haya1250-1.csv,haya1250,haya1250,YES
Africa220-AtlanticCongo-numerals-nyam1277-1.csv,nyam1277,nyam1277,YES
Africa221-AtlanticCongo-numerals-zinz1238-1.csv,zinz1238,zinz1238,YES
Africa222-AtlanticCongo-numerals-kere1283-1.csv,kere1283,kere1283,YES
Africa223-AtlanticCongo-numerals-gand1255-1.csv,gand1255,gand1255,YES
Africa224-AtlanticCongo-numerals-soga1242-1.csv,soga1242,soga1242,YES
Africa225-AtlanticCongo-numerals-gwer1238-1.csv,gwer1238,gwer1238,YES
Africa226-AtlanticCongo-numerals-gung1250-1.csv,gung1250,gung1250,YES
Africa227-AtlanticCongo-numerals-gusi1247-1.csv,gusi1247,gusi1247,YES
Africa228-AtlanticCongo-numerals-kuri1259-1.csv,kuri1259,kuri1259,YES
Africa229-AtlanticCongo-numerals-suba1252-1.csv,suba1252,suba1252,YES
Africa230-AtlanticCongo-numerals-suba1238-1.csv,suba1238,suba1238,YES
Africa231-AtlanticCongo-numerals-kabw1241-1.csv,kabw1241,kabw1241,YES
