Glottocode	Language_ID	Parameter_ID	Form	Gloss	Comments	Source	Coder
nort2945	nort2945-1	20	inuinaq	20	naq is common suffix for 15 too	Channumerals	EAT
nort2945	nort2945-1	21	inuinaqatausiq	20+1		Channumerals	EAT
nort2945	nort2945-1	22	inuinaqmalguk	20+2		Channumerals	EAT
nort2945	nort2945-1	23	inuinaqpingasut	20+3		Channumerals	EAT
nort2945	nort2945-1	24	inuinaqsisamat	20+4		Channumerals	EAT
nort2945	nort2945-1	25	inuinaqtallimat	20+5		Channumerals	EAT
nort2945	nort2945-1	26	inuinaqitchaksraq	20+6		Channumerals	EAT
nort2945	nort2945-1	27	inuinaqtallimatmalguk	20+5+2		Channumerals	EAT
nort2945	nort2945-1	28	inuinaqtallimatpingasut	20+5+3		Channumerals	EAT
nort2945	nort2945-1	29	inuinaqqulingugutailaq	(20+10)-[1]{LIG}		Channumerals	EAT
nort2945	nort2945-1	30	inuinaqqulit	20+10		Channumerals	EAT
nort2945	nort2945-1	40	malgukipiaq	2·20’		Channumerals	EAT
nort2945	nort2945-1	50	malgukipiaqqulit	(2·20’)+10		Channumerals	EAT
nort2945	nort2945-1	60	pingasukipiaq	3·20’		Channumerals	EAT
nort2945	nort2945-1	70	pingasukipiaqqulit	(3·20’)+10		Channumerals	EAT
nort2945	nort2945-1	80	sisamakipiaq	4·20’	4 score	Channumerals	EAT
nort2945	nort2945-1	90	sisamakipiaqqulit	(4·20’)+10		Channumerals	EAT
nort2945	nort2945-1	100	tallimakipiaq	5·20’		Channumerals	EAT
nort2945	nort2945-1	200	tallimaktallimakipiak	5·5·20’		Channumerals	EAT
nort2945	nort2945-1	1000	kavluutit	1000		Channumerals	EAT
nort2945	nort2945-1	2000	malgukkavluutit	2·1000		Channumerals	EAT
anga1293	anga1293-1	1	pombor	1		Barlowpacific	EAT
anga1293	anga1293-1	1	mend	1		Barlowpacific	EAT
anga1293	anga1293-1	2	kap	2		Barlowpacific	EAT
anga1293	anga1293-1	2	lap	2		Barlowpacific	EAT
anga1293	anga1293-1	3	tep	3		Barlowpacific	EAT
anga1293	anga1293-1	4	mal	4		Barlowpacific	EAT
anga1293	anga1293-1	4	mak	4		Barlowpacific	EAT
anga1293	anga1293-1	4	makl	4		Barlowpacific	EAT
anga1293	anga1293-1	5	su	5		Barlowpacific	EAT
